"cell","side","eff","lo","hi","p","n_pre","n_post"
"DA15_DA CCGT","real",-1.42151197670123,-29.7744412423951,28.0969924675801,0.45045045045045,1066,92
"DA15_DA CCGT","placebo",-8.32135124726556,-25.9313176944822,9.40379758428008,0.177191328934967,701,92
"DA15_DA Hydro","real",0.532085926941801,-1.10651736505271,2.19460646599201,0.253222137983321,1066,92
"DA15_DA Hydro","placebo",1.43392159965908,0.540226691023771,2.26128296455967,0.00277469478357381,701,92
"DA15_DA Hydro_pump","real",-0.0929288016765294,-0.996866404601097,0.757393056882944,0.409143518518519,1066,92
"DA15_DA Hydro_pump","placebo",0.394655933341942,-0.535907980487673,1.34123861581381,0.213023725391217,701,92
"ID15_DA CCGT","real",22.3807824278736,3.23246992814755,42.3991911236935,0.0126239855725879,870,40
"ID15_DA CCGT","placebo",0.767717597808101,-4.92614555657718,7.16089715146921,0.428936605316973,505,40
"ID15_IDA Hydro","real",0.999982767585186,0.0555939677425627,2.01550875457375,0.0187341772151899,813,38
"ID15_IDA Hydro","placebo",-0.856311987711438,-1.79718456012001,0.0662941812462809,0.0320121951219512,497,27
"ID15_IDA Hydro_pump","real",0.072526160701334,-1.00177367014575,1.19675869990069,0.437,804,38
"ID15_IDA Hydro_pump","placebo",-0.0529478481684488,-2.21492029791036,1.42171940281039,0.4825,491,27
