tech,outcome,theta,se,t,n,pre_crit,post_crit,pre_flat,post_flat,reform,market
CCGT,sigma_p,4.169476247789464,0.44263262103985757,9.419722021378124,74711,3.8471985173458814,3.254066058694893,2.648093489579437,0.23359359684411884,ID15,da
CCGT,n_eff,-0.08359234806344062,0.21176488771667218,-0.394741304683531,74711,4.576408782382777,3.050397977311354,3.3430478022270385,1.2424224366192225,ID15,da
Hydro,sigma_p,-0.5253161623324756,0.2852018842024736,-1.8419098590510623,66316,9.213388375226135,6.736225399694603,8.99401584319223,6.571867294292193,ID15,da
Hydro,n_eff,-0.2367382036721568,0.05570003032255369,-4.250234735981793,66316,3.738266583632629,2.837510191519591,3.6991720849248897,2.922428808928759,ID15,da
Hydro_pump,sigma_p,-0.7295125160645395,0.26459964714899564,-2.7570426639826624,12801,2.6371213346345463,1.794264578442812,2.1748605711535514,1.9916934828229267,ID15,da
Hydro_pump,n_eff,0.06844102128757008,0.05025531559604326,1.3618663115700071,12801,2.7150971274563904,2.3724012334989677,3.167346780389894,2.40943282418588,ID15,da
Wind,sigma_p,-0.09963418847434595,0.033678769263692454,-2.9583678576329993,11456,0.7538497294833236,0.6723029742969281,0.6259419938847299,0.6876951940503199,ID15,da
Wind,n_eff,0.015082650180150536,0.014860775376176331,1.0149302306479848,11456,1.3096905132836887,1.2873348330213825,1.2999821020684195,1.2811616000281185,ID15,da
CCGT,sigma_p,0.09961920728153141,0.5286215409504118,0.18845090402942236,59979,5.616321865351757,4.167323569291627,7.429646181119143,6.245966275149677,ID15,ida
CCGT,n_eff,0.7860373540889858,0.7251701426794457,1.083935076511342,59979,7.1009498015523365,6.346142510197444,9.017349577074025,7.449247749574376,ID15,ida
Hydro,sigma_p,0.428746122924005,0.25250042018164853,1.6980016216035025,106009,4.655549466608818,3.941112291812518,5.125056408033883,3.8292664367185107,ID15,ida
Hydro,n_eff,0.1749466715918237,0.0489151546882427,3.5765331359337207,106009,2.316073229645108,1.9748855724296033,2.5986483467430266,2.0503324180712093,ID15,ida
Hydro_pump,sigma_p,-0.013342060048045154,0.1803369238120876,-0.0739840725127799,24638,2.4197867469148155,1.6632603202946696,1.9211105438796814,1.441195482276254,ID15,ida
Hydro_pump,n_eff,0.1226376460698557,0.07003150291201261,1.751178269355968,24638,1.9693887074829095,1.695889972973164,2.0863776500366633,1.8255095084645678,ID15,ida
Wind,sigma_p,0.04378125923018954,0.02063110280460836,2.1220998045926143,48068,0.05673819374256148,0.12375101907494429,0.03183576118821705,0.07076527047121453,ID15,ida
Wind,n_eff,0.031214138505712807,0.00850810647415626,3.668752689041574,48068,1.0284846220847563,1.0757376713245304,1.0220953606385195,1.0453900834529721,ID15,ida
CCGT,sigma_p,0.6777005272858595,0.21983134324392403,3.0828202988956197,76373,2.865122156585244,3.146676550486449,2.3343016776317906,2.074542025602765,DA15,da
CCGT,n_eff,1.8899180871360257,0.15010199265814583,12.590892723458207,76373,3.5387113852234546,4.0563517826903635,3.7297904811657747,2.3927984171106362,DA15,da
Hydro,sigma_p,1.8017371629375962,0.34113563407142977,5.281585923563569,65625,7.452179050796286,8.849518102363758,8.320519315367903,7.888808884809147,DA15,da
Hydro,n_eff,0.5058258639099507,0.0873185577682521,5.792879278336665,65625,3.077604070106376,3.2711313947403644,3.4253274243388327,3.1031165454811056,DA15,da
Hydro_pump,sigma_p,0.9204363511761356,0.35244081467506533,2.611605446505215,13021,2.9390643402278345,4.3004969700209354,2.20054951123512,2.7956311924522415,DA15,da
Hydro_pump,n_eff,-0.06448197559324793,0.07257563777366371,-0.8884796272041469,13021,2.789037789862456,3.8083670471423874,2.575905082502308,4.499573824824075,DA15,da
Wind,sigma_p,-0.015156519754172978,0.034132069401634435,-0.4440551077001853,18475,0.5025586691574055,0.46850179493727767,0.4867069715697357,0.44787511170327854,DA15,da
Wind,n_eff,-0.014967486213028503,0.012476128522738682,-1.199689966783296,18475,1.1945452778137458,1.1519927140755042,1.1846788442910017,1.1505490493146782,DA15,da
CCGT,sigma_p,-0.6823789675789221,0.364068333191826,-1.8743156307950013,205587,4.187738051975137,4.515123214545377,4.88468729101398,5.928957156979404,DA15,ida
CCGT,n_eff,-0.17293644747511067,0.534495824330717,-0.32355060526741736,205587,7.71272416581029,9.135136278127954,8.129876318843282,10.037788228426733,DA15,ida
Hydro,sigma_p,0.296034706995662,0.25090407650580465,1.1798720495831132,183877,4.22303378416895,4.033200952936676,4.838123825621959,4.339244624188612,DA15,ida
Hydro,n_eff,0.0031484682735020055,0.06230766580929151,0.050530993780744334,183877,2.0883603945373665,1.967821329773931,2.331670847052608,2.225215680489131,DA15,ida
Hydro_pump,sigma_p,0.31598904010710854,0.18914191618944642,1.6706452301699788,32305,1.6863645256085118,1.0491285688637506,1.8807784940845267,0.871388121626843,DA15,ida
Hydro_pump,n_eff,-0.1592618984163796,0.12962761182244809,-1.228610912268613,32305,1.7960296776381146,1.6833338966544273,2.1139866189594105,2.07785038590388,DA15,ida
Wind,sigma_p,-0.01693530295079662,0.0034790407006173255,-4.867808228800428,151544,0.02246170790783701,0.005889175234824367,0.00091662972471255,0.0008332445151361212,DA15,ida
Wind,n_eff,-0.005769474579269326,0.008474750598137652,-0.680783996231958,151544,1.0313135400017956,1.0172603131584428,1.0088127701812521,1.0073274973525894,DA15,ida
