outcome,tech,market,critical_net,flat_net,diff,se_diff,lo,hi,survives,reform
p,ccgt,da,41.73160418035066,-8.77272788885051,50.50433206920117,14.668903814734506,21.753280592321538,79.2553835460808,True,ID15
p,ccgt,ida,-14.05588248443382,-24.443220426197,10.387337941763182,9.584127141516758,-8.397551255609663,29.172227139136027,False,ID15
p,hydro,da,-6.33728832637912,1.2699916326408403,-7.6072799590199605,27.84174904365671,-62.17710808458711,46.96254816654719,False,ID15
p,hydro,ida,-16.56238237529884,0.8386717953571301,-17.401054170655968,27.40148257813321,-71.10796002379706,36.30585168248512,False,ID15
p,hydro_pump,da,-23.6203018592223,-35.8471621347538,12.2268602755315,45.173998299519944,-76.31417639152758,100.7678969425906,False,ID15
p,hydro_pump,ida,-57.589269307863205,-57.92507860252869,0.3358092946654878,22.206969572378707,-43.18985106719678,43.86146965652775,False,ID15
q,ccgt,da,32550.2638550895,-1906.68475595063,34456.94861104013,17268.58739891153,610.5173091735269,68303.37991290673,True,ID15
q,ccgt,ida,132592.989630852,43749.38748615726,88843.60214469474,6156.997726809005,76775.8866001491,100911.31768924039,True,ID15
q,hydro,da,-8630.64404175995,2839.6438787543398,-11470.287920514289,9271.851914909614,-29643.11767373713,6702.541832708554,False,ID15
q,hydro,ida,222121.40531850568,53387.61172546907,168733.79359303662,9847.486264257293,149432.7205150923,188034.86667098093,True,ID15
q,hydro_pump,da,5010.519660883419,530.132856308169,4480.386804575251,3959.614919368119,-3280.4584373862626,12241.232046536763,False,ID15
q,hydro_pump,ida,26451.0500544767,7539.42781006236,18911.62224441434,4022.6882675908455,11027.15323993628,26796.091248892397,True,ID15
p,ccgt,da,9.88519726566747,-8.583941408489821,18.469138674157293,6.667630791214322,5.400582323377222,31.537695024937364,True,DA15
p,ccgt,ida,-1.6459246889037051,-3.922909302722133,2.2769846138184278,5.106109743861477,-7.730990484150068,12.284959711786923,False,DA15
p,hydro,da,24.82324728506345,26.7618398428409,-1.9385925577774508,17.846863592751617,-36.91844519957063,33.04126008401572,False,DA15
p,hydro,ida,27.0827136734971,38.0234625218748,-10.940748848377698,16.521444185247077,-43.32277945146197,21.44128175470657,False,DA15
p,hydro_pump,da,5.55843486468651,10.52696294782575,-4.9685280831392395,25.78501348103964,-55.507154505976935,45.570098339698454,False,DA15
p,hydro_pump,ida,30.635859878631102,17.2276443988419,13.408215479789202,17.30673520696091,-20.51298552585418,47.32941648543259,False,DA15
q,ccgt,da,568841.1452856379,103796.52957349621,465044.61571214173,16263.999036784553,433167.177600044,496922.05382423947,True,DA15
q,ccgt,ida,-55205.8168179598,-14784.378837967659,-40421.437979992144,19807.45502869333,-79244.04983623108,-1598.8261237532206,True,DA15
q,hydro,da,296988.937630522,77546.26037947515,219442.67725104687,5202.007024933284,209246.74348217764,229638.6110199161,True,DA15
q,hydro,ida,-73270.8657375005,-8845.7655295649,-64425.1002079356,26768.954522235148,-116892.25107151648,-11957.94934435471,True,DA15
q,hydro_pump,da,65758.04959950065,16823.828021959645,48934.221577541,1200.9348848423192,46580.38920325005,51288.05395183195,True,DA15
q,hydro_pump,ida,-11767.19202022291,-2519.6628022066498,-9247.529218016261,5619.369976523002,-20261.494372001347,1766.4359359688224,False,DA15
