reform,label,tech,outcome,n,theta_crit,se,t,mean_flat,mean_crit,ratio
ID15,IDA per-unit shape,CCGT,D_sigma,8292,0.4199891210790602,0.0659035894099837,6.372780676122571,0.18131407333199184,0.5727342726632388,3.1587965685076425
ID15,IDA per-unit shape,CCGT,D_neff,8292,0.14572873199301012,0.02280996621050645,6.38881840718757,0.021788404656458076,0.15954272361980776,7.322368302560387
ID15,IDA per-unit shape,Hydro,D_sigma,12722,0.3351641089679237,0.0412368303815202,8.127785425480313,0.10979668490976921,0.434613066387363,3.9583441589746315
ID15,IDA per-unit shape,Hydro,D_neff,12722,0.030989403075764716,0.0032265650385184816,9.604456350891937,0.010509938510253008,0.04103328842440109,3.904236774018318
ID15,IDA per-unit shape,Hydro_pump,D_sigma,2783,0.07736896686342917,0.02164387622981061,3.574635432301498,0.0011929169159944025,0.07720496597655911,64.71948292576762
ID15,IDA per-unit shape,Hydro_pump,D_neff,2783,0.018596906337941383,0.003456369251949735,5.380474417613478,0.008117665780835432,0.025644461686233033,3.15909306672562
ID15,IDA per-unit shape,Wind,D_sigma,119045,-0.031743015364952665,0.04787933279982052,-0.662979484231068,0.3555160660182136,0.3209370410683398,0.9027356897336328
ID15,IDA per-unit shape,Wind,D_neff,119045,0.005981200630812407,0.0016672205950075312,3.58752803841497,0.01942878444189225,0.025008299064825643,1.2871777511156524
DA15,DA per-unit shape,CCGT,D_sigma,31373,1.9516699955466168,0.14793529572226372,13.192727171821902,0.047278139149604576,1.924428773288707,40.704410281444055
DA15,DA per-unit shape,CCGT,D_neff,31373,0.19739004978757138,0.014932106476791638,13.219169719581538,0.0013411284755137632,0.1937222367800728,144.44718781014708
DA15,DA per-unit shape,Hydro,D_sigma,26124,0.3255581856064408,0.05434240142211917,5.990868586715194,0.2697515548218106,0.5959141216059294,2.209122101259329
DA15,DA per-unit shape,Hydro,D_neff,26124,0.028516455044250672,0.0050671755683636,5.6276824553485545,0.028773423021297102,0.057139908912897074,1.9858571873983875
DA15,DA per-unit shape,Hydro_pump,D_sigma,4882,-0.0019002036309097483,0.013654060426566089,-0.1391676594028109,0.01335113484646195,0.013893735021249253,1.0406407530915691
DA15,DA per-unit shape,Hydro_pump,D_neff,4882,0.0003928152639754789,0.0014460962090279527,0.27163840242657455,0.0013351134846461949,0.001959536315018803,1.4676926999490836
DA15,DA per-unit shape,Wind,D_sigma,365882,0.10192756662036698,0.012043351960661624,8.463388511213733,0.08460112652280173,0.17243637237882226,2.0382278518755554
DA15,DA per-unit shape,Wind,D_neff,365882,0.005642204057050991,0.000687260512795834,8.209702073669309,0.005594447167040813,0.010418832623776166,1.8623524921564707
