label,outcome,n,DiD,se,t,pre_crit,post_crit,pre_flat,post_flat,beta_xb,se_xb
R1_ID15_ext_pre,sigma_p,258043,0.9960829135170819,0.2795620119965182,3.5630123935775924,8.380887249014782,7.524410747768914,10.419327272210356,8.840870744509704,,
R1_ID15_ext_pre,n_eff,258043,-0.13692700252903767,0.10466879346976604,-1.308193187194706,3.8203859135151923,5.074492855460845,5.398790837368594,7.308523352256338,,
R2a_ID15_placebo,sigma_p,50842,-0.3144925818742079,0.4623527710654989,-0.6802004909572729,9.06143819326298,8.501181083637533,11.361821887033479,11.68590165269697,,
R2a_ID15_placebo,n_eff,50842,-0.4122950986375935,0.13573862734525094,-3.0374190950739592,3.9905781132334237,3.966195179463704,5.7300018080705115,6.204730808348516,,
R2b_DA15_placebo,sigma_p,63833,1.4492945054343398,0.40562239529870636,3.5730140205080585,19.309085993132307,18.950241900507578,16.80224530434059,15.85386650102342,,
R2b_DA15_placebo,n_eff,63833,0.10937608965752568,0.040166557128999324,2.723063600055447,3.22715843560282,3.20541205271843,3.141077336604111,2.9839758011942545,,
R3a_ID15_weekday,sigma_p,103460,1.9079538112517183,0.45154269035621253,4.225411798265572,8.471323579242693,7.471319655028201,11.477530876472454,8.850864357321282,,
R3a_ID15_weekday,n_eff,103460,0.09090350278547277,0.13843509462637793,0.6566507071838392,3.7874167297748995,4.922625604411957,5.877119888846252,7.2485285159145265,,
R3b_DA15_weekday,sigma_p,228415,1.3402016177944596,0.4096053925557241,3.2719335295668355,19.19418592114694,20.90523450986748,16.576404149962553,16.978963934282145,,
R3b_DA15_weekday,n_eff,228415,0.12714706974426304,0.043258339335213426,2.9392499041395697,3.2534605071901614,3.588337111430874,3.092877968793854,3.289830650492676,,
R4a_ID15_flat0,sigma_p,160848,1.5351182850917007,0.3165492690550427,4.849539819423082,8.780195680265164,7.524410747768914,11.364804547838782,8.856388813830275,,
R4a_ID15_flat0,n_eff,160848,-0.01511070597733033,0.11425734456402468,-0.13225150676298947,3.9783381658060013,5.074492855460845,5.853636298971479,7.27201957419421,,
R4a_DA15_flat0,sigma_p,335650,1.7170472959934955,0.33749543582413594,5.087616345982896,19.131945314395253,21.0603795102016,16.46593164740164,16.917216084486526,,
R4a_DA15_flat0,n_eff,335650,0.12460652150147966,0.035033745701995335,3.556757035385535,3.2164234977749726,3.5756147377578427,3.051656346536958,3.280153884159864,,
R4b_ID15_flat023,sigma_p,172132,1.1451007968340368,0.2569880185723205,4.455852857248234,8.780195680265164,7.524410747768914,10.622367092096425,8.487380844037418,,
R4b_ID15_flat023,n_eff,172132,-0.06541182779595744,0.09955510699126678,-0.6570414092538269,3.9783381658060013,5.074492855460845,5.253848606958093,6.6214046338550965,,
R4b_DA15_flat023,sigma_p,359891,2.627498245203073,0.30455967303220693,8.627203395129786,19.131945314395253,21.0603795102016,18.74435802635036,18.079849594695258,,
R4b_DA15_flat023,n_eff,359891,0.17903247007174106,0.03123288848568693,5.7321778020558725,3.2164234977749726,3.5756147377578427,3.169615155432577,3.3459265692650044,,
R5_ID15_xb_control,sigma_p,150350,1.575688213814002,0.34191530883993543,4.608416684120003,,,,,1.655868863819863e-05,5.686160689785167e-06
R5_ID15_xb_control,n_eff,150350,-0.01082319562397771,0.11445054767221288,-0.09456656909126739,,,,,1.3033240457785086e-05,2.266812205587275e-06
