reform,market,tech,DiD,se,t,n,pre_mean_level
ID15,da,CCGT,28.75121364085461,6.788883213276124,4.235043193058565,27956,118.00389520771164
ID15,da,Hydro,-6.095817572359298,2.098299571237065,-2.905122631639043,27885,112.41012531291888
ID15,da,Hydro_pump,-8.028033484124546,2.5132810385927375,-3.194244241232841,5345,120.52699235499028
ID15,ida,CCGT,0.05355798204474915,4.525890760901404,0.01183368863151311,32880,117.10185177562109
ID15,ida,Hydro,-7.885077828669317,2.6623895117381844,-2.9616544813990857,58985,129.48884116456927
ID15,ida,Hydro_pump,0.36438602288217226,2.6698949282722135,0.13647953671269744,14764,113.70685902142465
DA15,da,CCGT,10.961394938799955,1.9630974511450616,5.583724298763796,128593,98.16766221077195
DA15,da,Hydro,18.7588602622711,1.8336571931096601,10.230298407336623,94151,91.10375764824313
DA15,da,Hydro_pump,2.0339057327958656,1.853135908782443,1.0975480660413044,20053,87.64262738547444
DA15,ida,CCGT,9.28943310628221,1.378809040308861,6.737287640789854,215632,92.98523985536183
DA15,ida,Hydro,9.720069227137442,1.5207019834454845,6.391830439462234,184352,117.07788482997606
DA15,ida,Hydro_pump,5.775803569039381,2.5417300234336824,2.2723906613955456,26866,86.28731115572303
