reform,outcome,n,DiD,se,t,pre_crit,post_crit,pre_flat,post_flat
ID15,net_mw,1819,8964.720072998918,1751.3170793041006,5.11884465636635,-9564.477575757577,-1498.6363636363637,-1565.6177777777777,-2464.496638655462
ID15,gross_mw,1819,-3134.2701921172775,1497.8959950179767,-2.092448476090399,15555.220202020202,6677.041818181818,10383.514074074074,4639.605882352941
DA15,net_mw,2562,792.5647490190972,1083.0298189474709,0.7318032570786845,418.8911067193676,-246.38986013986013,1349.323188405797,-108.52252747252747
DA15,gross_mw,2562,-1329.6623941276048,898.320746794595,-1.4801644055000747,8523.698814229248,2050.2316183816183,6628.113043478261,1484.3082417582418
