cell,tech,sigma_p,sigma_p_t,sigma_p_n,hhi_tr,hhi_tr_t,hhi_tr_n,hhi_price,hhi_price_t,hhi_price_n,hhi_price_pretrend_slope,hhi_price_pretrend_t
ID15 IDA,CCGT,0.9561492399640246,1.6554720515846029,39706,-5.068255044935636,-1.414916878352198,39706,-7.3078581415949335,-2.881774059336767,24063,0.0309128634205381,0.4212728471624851
ID15 IDA,Hydro,0.09831052521041095,0.375529406638027,70305,-2.585099679387188,-1.9860166449829413,70305,-2.7387293397143346,-1.7443059613275136,34690,0.015447741704878643,0.29123658811674774
ID15 IDA,Hydro_pump,-0.3924698060530579,-1.5727282203044723,18609,0.8518101821440158,0.4329525191065319,18609,-2.4886870311373865,-1.0533068564643637,9544,0.12613340209734275,1.606161410471491
ID15 IDA,Wind,,,0,,,0,,,0,,
DA15 DA,CCGT,1.3859893678823196,9.749108499244352,163615,-16.398382452791022,-13.528902065654862,163615,-6.2487040336888136,-5.458708162104972,100210,-0.12227528586801141,-2.265936799868813
DA15 DA,Hydro,1.2339341120524119,6.444763679105983,117653,-6.003160647028533,-8.672788470755041,117653,-2.450537771927473,-3.390038905329517,77662,-0.02372567708532032,-1.1588986359757423
DA15 DA,Hydro_pump,-0.03899492147223915,-0.14012282888339167,25440,0.5888094479316042,0.4188738770041747,25440,-5.492665747400341,-4.400233172141497,19309,0.06044248945902625,1.1757745051319242
DA15 DA,Wind,,,0,,,0,,,0,,
