"tag","eff","se","p","n"
"ID15 IDA --- morning_ramp",-32.8897041139934,12.5800172685183,0.00897456579571099,3636
"ID15 IDA --- evening_ramp",-24.5420731721027,10.0840974759908,0.0149711972237862,6363
"ID15 IDA --- midday",-38.5826077438264,9.32424893660268,3.5853802955494e-05,3636
"ID15 IDA --- flat",-33.573236307671,12.5859553502777,0.00768715432546518,2724
"ID15 DA --- morning_ramp",-32.0092806552433,13.0830902482189,0.0144679237552586,3636
"ID15 DA --- evening_ramp",-23.7757739602936,10.1314388691656,0.0189695214143439,6363
"ID15 DA --- midday",-37.1326127433861,9.18674673653693,5.41091997920348e-05,3636
"ID15 DA --- flat",-29.9457842633218,13.5541113599124,0.0272340710958387,2724
"DA15 DA --- morning_ramp",2.55250937708009,13.1799404317258,0.846445790197704,4628
"DA15 DA --- evening_ramp",0.666002292292694,10.857386062587,0.951089204688704,8099
"DA15 DA --- midday",-2.55626129418821,12.6041602513616,0.83929179855873,4628
"DA15 DA --- flat",2.37768843817757,13.5004209886395,0.860210370640927,3468
"DA15 IDA --- morning_ramp",1.35208029292015,13.0938923811271,0.917760831338164,4620
"DA15 IDA --- evening_ramp",-1.29095317803095,11.1403061655799,0.90774950229532,8092
"DA15 IDA --- midday",-4.78740803799409,12.6323166040479,0.704719487597456,4623
"DA15 IDA --- flat",2.60406937627509,13.0856043070704,0.842272489633853,3462
