market,reform,tech,firm,unit_code,theta,se,t,n
DA,DA15,CCGT,IB,ARCOS1,4.324111296846718,1.5950354942206355,2.71098123679032,9280
DA,DA15,CCGT,IB,ARCOS2,-6.299721423734825,1.561052952734636,-4.035559083821622,8393
DA,DA15,CCGT,IB,ARCOS3,29.388618680770833,5.902288585515419,4.979190403006101,6588
DA,DA15,CCGT,GE,BES3,-11.571662562407809,1.3928249115210378,-8.308052553260946,8506
DA,DA15,CCGT,GN,BES4,37.96384867833774,4.247516122427904,8.937893955923913,4810
DA,DA15,CCGT,GE,BES5,-9.179209389991222,1.6702898795287784,-5.49557864325973,5258
DA,DA15,CCGT,GN,CAMGI10,27.316280727540118,4.575964263580773,5.969513561315412,5250
DA,DA15,CCGT,GE,COL4,7.237708038677548,1.4108759212338213,5.12993944382304,1981
DA,DA15,CCGT,GN,CTGN1,32.45896793270845,2.8227015319037423,11.499256143747095,5074
DA,DA15,CCGT,GN,CTGN3,38.72063474737479,4.552132870089893,8.506042299817613,5036
DA,DA15,CCGT,IB,CTJON2,14.75393399754963,2.379599057853948,6.200176432602697,9387
DA,DA15,CCGT,IB,CTN3,8.802949771891178,3.2863080556536253,2.67867455601034,9695
DA,DA15,CCGT,IB,CTN4,11.942650377119207,4.438017237464945,2.6909878303990116,9494
DA,DA15,CCGT,IB,ESC6,5.464698027126644,2.5192573228527233,2.169170246149608,7663
DA,DA15,CCGT,HC,LARES1,-3.8652599128960787,2.2644935107146047,-1.706898206864952,9231
DA,DA15,CCGT,HC,LARES2,-0.14348804971967866,1.5242308947185004,-0.09413800114987071,9277
DA,DA15,CCGT,GN,PALOS1,36.2819214056384,7.273274783361186,4.988388653848094,5083
DA,DA15,CCGT,GN,PALOS2,35.427064731746896,4.390751085071277,8.068565957245967,4648
DA,DA15,CCGT,GN,PALOS3,48.85808988246754,4.79553535712998,10.188245158035496,5456
DA,DA15,CCGT,GN,PBCN1,42.62312013728206,7.9794445105110405,5.341614955920319,4493
DA,DA15,CCGT,GN,PBCN2,49.02144576952014,1.3967168254251872,35.09762671799782,4670
DA,DA15,CCGT,GE,PEGO3,1.4218219251351911,2.146924627447144,0.6622598236370529,8133
DA,DA15,CCGT,GE,PEGO4,4.3464344755366895,1.8780696229662706,2.3143095561451132,8909
DA,DA15,CCGT,GE,PGR5,-7.218758124735739,1.2305270409095437,-5.866395361291692,7313
DA,DA15,CCGT,HC,RIBATE1,-20.120228136505716,2.489242662158442,-8.082871325634162,10289
DA,DA15,CCGT,HC,RIBATE2,-20.505804724168627,2.798706827299248,-7.326885590212651,9936
DA,DA15,CCGT,HC,RIBATE3,-23.34608967064196,2.2105990695201196,-10.56097869240032,10631
DA,DA15,CCGT,GN,SAGU1,38.83561789021678,4.436305010517605,8.754045945476062,4612
DA,DA15,CCGT,GN,SAGU2,36.20222765885558,4.102906709321862,8.823556133168616,5059
DA,DA15,CCGT,GN,SAGU3,50.963523863799765,3.352596385381987,15.201210645579426,5243
DA,DA15,CCGT,GN,SBO3,45.80975921475783,1.500011386957992,30.53960764101902,4613
DA,DA15,CCGT,HC,SRI4R,-16.17252022506426,3.2254881074530877,-5.013976082470947,10611
DA,DA15,CCGT,HC,SRI5R,-6.210215618748634,1.9628943271396198,-3.1638053729557214,9379
DA,DA15,CCGT,GE,SROQ2,-2.818940056631261,0.7829443394558866,-3.6004348132720465,7645
DA,DA15,CCGT,IB,STC4,8.539849773207967,4.144205940519268,2.060672151861721,5582
DA,DA15,CCGT,IB,TAPOWER,-4.34083783143933,3.0454000625266544,-1.425375235540614,6360
DA,DA15,Hydro,HC,ACAVADO,4.33484234870798,0.6157695438927456,7.039715412529432,11788
DA,DA15,Hydro,GE,ACC1EBR,0.10690244795117465,0.15721574957190793,0.679972892297786,7619
DA,DA15,Hydro,GE,ACC2EBR,0.07077878256051058,0.08971722888926087,0.7889095933610895,5308
DA,DA15,Hydro,HC,ADOURO,3.826927542552255,0.6802995930441496,5.625356213176358,11788
DA,DA15,Hydro,HC,ALIMA,0.7582125826449158,0.39614362560754024,1.9139840543492108,11781
DA,DA15,Hydro,HC,DOUSUP,6.730592595448314,1.866683689717035,3.6056417230862423,10372
DA,DA15,Hydro,IB,DUER,0.9716744716282335,0.8150092908480352,1.1922250243517896,11691
DA,DA15,Hydro,GE,EBRERZ,-2.7957421149889597e-10,2.794365136395688e-10,-1.0004927697441317,4135
DA,DA15,Hydro,GE,EBRFEN,2.5756380156880994,1.0418757640329437,2.4721162585817273,8663
DA,DA15,Hydro,GE,GDLQ,0.15408379330911526,0.1268862651659453,1.2143457221914467,7541
DA,DA15,Hydro,GE,GDNA,2.2703941451099636,0.7254113800300526,3.129802216524236,6118
DA,DA15,Hydro,HC,GUADIA,0.31418490743641314,0.3396666451309845,0.9249801590475717,11718
DA,DA15,Hydro,HC,HCHI,1.7440463212120676,0.1937827458620471,9.000008300293386,10822
DA,DA15,Hydro,IB,JUCA,1.301240089005729,0.6156676786178118,2.113542961889835,5538
DA,DA15,Hydro,HC,MONDEGO,-3.18427483074629,0.48334107453200764,-6.588049306236691,11787
DA,DA15,Hydro,GE,SBEU,8.799517130261648,1.4945496787345578,5.887738129730315,10490
