"reform","side","outcome","eff","lo","hi","p","n_pre","n_post","n_cov"
"ISP15","real","n_trades",-4309.83603451823,-124431.662059575,106916.945953897,0.234625668449198,772,98,9
"ISP15","real","gwh",3.72895429058242,-344.852053903003,339.308537807518,0.351030927835052,772,98,9
"ISP15","real","vw_price",-18.1186248730259,-580.752687873686,562.222516040515,0.387878787878788,772,98,9
"ISP15","placebo","n_trades",1478.16261349923,-85091.1067225329,87136.689807204,0.2925,406,99,7
"ISP15","placebo","gwh",-0.192025310872644,-249.104641132696,253.5737992983,0.382382892057026,406,99,7
"ISP15","placebo","vw_price",-39.5667178354522,-919.033720539768,826.689802758626,0.276127612761276,406,99,7
"ID15","real","n_trades",24690.1461226623,21707.3117274519,27742.2829411609,0.000668449197860963,870,40,9
"ID15","real","gwh",-8.27086835148388,-11.3337136777459,-5.29863532158964,0.000506842372022301,870,40,9
"ID15","real","vw_price",-43.6116391278105,-96.0863420905215,11.4721399534866,0.0604623592175459,870,40,9
"ID15","placebo","n_trades",420.776573562505,-831.775214096478,1648.77664441888,0.262678803641092,505,40,7
"ID15","placebo","gwh",4.08798846644899,0.805397050911531,7.53007933383322,0.0064343163538874,505,40,7
"ID15","placebo","vw_price",-25.331429025205,-76.3357429305599,17.3396977529988,0.11501210653753,505,40,7
"DA15","real","n_trades",8121.80062693155,-1619.27340727588,17933.4002250406,0.0493612078977933,1065,92,9
"DA15","real","gwh",4.89130426187243,-0.570033437886816,12.1625881527425,0.0597014925373134,1065,92,9
"DA15","real","vw_price",-0.907619731198196,-80.3999940621349,79.2629468478083,0.495299647473561,1065,92,9
"DA15","placebo","n_trades",2729.96156039514,1629.46372337802,3673.42321040758,0.0005005005005005,701,92,7
"DA15","placebo","gwh",3.74910628209048,1.26279864206571,6.17046349684891,0.002,701,92,7
"DA15","placebo","vw_price",32.8176147430291,-41.6782677266084,106.385161792312,0.185871453387377,701,92,7
