"reform","side","outcome","eff","lo","hi","p"
"ID15","real","da_p_critical",-53.113995718532,-75.4657497766607,-28.6173547273213,0.000617665225447807
"ID15","real","da_p_midday",-26.5706817010702,-49.711515363656,-1.43284616110663,0.0203252032520325
"ID15","real","da_p_flat",-54.2796791580264,-69.1101322228313,-37.5300749747512,0.000618429189857761
"ID15","real","ida_p_critical",-51.1501718954692,-73.6060657208277,-26.2086801665326,0.000557413600891862
"ID15","real","ida_p_midday",-24.0108517877457,-47.381553834209,1.04082234239334,0.0289687137891078
"ID15","real","ida_p_flat",-59.6524455160819,-74.3782761911117,-41.6267722905842,0.000618429189857761
"ID15","placebo","da_p_critical",-24.2864834576125,-52.0005469132299,1.3998294760887,0.0346534653465347
"ID15","placebo","da_p_midday",-5.77303768347479,-21.6535767999789,12.1479039160741,0.238571428571429
"ID15","placebo","da_p_flat",-13.9222089117737,-29.523028503334,3.4459767553595,0.0558698727015559
"ID15","placebo","ida_p_critical",-26.7061417504198,-56.8540925216069,0.874487644983567,0.0316656111462951
"ID15","placebo","ida_p_midday",-7.96797263065122,-24.2653314369254,10.3394679626826,0.168466522678186
"ID15","placebo","ida_p_flat",-13.472869109275,-30.5157579962863,4.40836966442693,0.0586572438162544
