"reform","side","tech","market","hour_class","eff","lo","hi","p"
"ID15","real","ccgt","da","critical",-13355.5173479631,-27421.9247353501,761.554276006937,0.0336514314414867
"ID15","real","ccgt","ida","critical",-4800.06797287641,-6253.97761886889,-3424.24359214724,0.000507872016251904
"ID15","real","ccgt","ida","midday",-828.768292832403,-1574.59312221624,-56.7916453358878,0.0194594594594595
"ID15","real","ccgt","ida","flat",-182.402405547984,-1013.05910250755,995.228608576039,0.324675324675325
"ID15","real","hydro","da","critical",-1240.0297473062,-8651.61578790374,5566.05133746213,0.370731707317073
"ID15","real","hydro","da","midday",2933.18399383642,1951.80069904114,3542.35196103271,0.000583090379008746
"ID15","real","hydro","da","flat",-1436.28048440754,-4166.81417041782,1731.93312169573,0.181102362204724
"ID15","real","hydro","ida","critical",-757.040613530049,-1168.56009279409,-336.072063055842,0.000504540867810293
"ID15","real","hydro","ida","midday",-153.476654985253,-373.821323621221,72.1241222637629,0.089904570567554
"ID15","real","hydro","ida","flat",-59.2874013920015,-211.084614777901,98.1104019802859,0.223003515821195
"ID15","real","hydro_pump","da","critical",-1812.96111042759,-2782.96975085998,-774.821106297073,0.000517063081695967
"ID15","real","hydro_pump","da","midday",-152.83902551789,-1129.99331481083,867.14001318568,0.374874874874875
"ID15","real","hydro_pump","da","flat",662.410719574389,371.981916855028,962.344719758141,0.000565930956423316
"ID15","real","hydro_pump","ida","critical",-241.643066294443,-578.00118495716,81.0972282021372,0.0679959100204499
"ID15","real","hydro_pump","ida","midday",79.1744339187163,-280.641335580572,443.227480181357,0.316106372303061
"ID15","real","hydro_pump","ida","flat",45.2957939755277,-105.121359347379,219.196926781284,0.301650540694365
"ID15","real","wind","da","critical",7155.46157522299,1309.36077287531,12485.335083529,0.0116514690982776
"ID15","real","wind","da","midday",-3438.66955705399,-6106.36700051907,-832.45386878715,0.00556117290192113
"ID15","real","wind","da","flat",4107.9806248275,1905.21667046886,6179.96092528768,0.000503018108651912
"ID15","real","wind","ida","critical",2322.16069824503,1602.52271772339,3074.99662190944,0.0005005005005005
"ID15","real","wind","ida","midday",1226.07004188586,850.079105966126,1615.61208424228,0.0005005005005005
"ID15","real","wind","ida","flat",481.513531203656,274.221722782369,701.670363519492,0.000501756146512795
"ID15","real","solar","da","critical",11188.2946424325,7645.90463585726,14523.4309369218,0.000521648408972353
"ID15","real","solar","da","midday",-497.797138178306,-3486.79139746112,2543.35149728146,0.372216330858961
