"reform","side","outcome","eff","lo","hi","rel","p","n_pre","n_post"
"ID15","real","wedge_sd",1.13672233231002,0.159564773950622,2.1534271886393,0.187627501362763,0.0121334681496461,278,40
"ID15","real","wedge_abs",0.589838263313458,-0.422245637827731,1.62637510375847,0.111900010008035,0.133098945253641,278,40
"ID15","real","wedge_iqr",1.62510236506238,-0.824312182019485,4.09597907181464,0.120071552279311,0.0970677451971689,278,40
"ID15","placebo","wedge_sd",-1.02022420586565,-2.17598026044277,0.155492200026962,-0.204546216606085,0.045,279,40
"ID15","placebo","wedge_abs",-1.30265129556501,-2.7408000873726,0.0383090391156647,-0.258583480136623,0.0315,279,40
"ID15","placebo","wedge_iqr",-2.26528146680715,-5.19982741256305,0.543078285097574,-0.208150516451648,0.0620620620620621,279,40
"DA15","real","wedge_sd",-0.531524556968472,-1.82774730984051,0.508977324970985,-0.0629674275550901,0.164664664664665,154,92
"DA15","real","wedge_abs",-0.228325987859282,-1.51917035284379,0.786851797085993,-0.0266211126764022,0.356856856856857,154,92
"DA15","real","wedge_iqr",-0.800956408817623,-3.77471102107723,1.6736553366602,-0.039950154416621,0.276962025316456,154,92
"DA15","placebo","wedge_sd",-0.483172397920892,-1.42879985752531,0.541627955050378,-0.0695761326376343,0.158976930792377,156,92
"DA15","placebo","wedge_abs",0.0652553503418964,-1.07335501970167,1.63956904524761,0.0248006945931298,0.493993993993994,156,92
"DA15","placebo","wedge_iqr",-0.795991551680396,-3.60145877788453,2.35676417562798,-0.0441707025014968,0.26355421686747,156,92
