window,market,hour_class,n_hours,mcp_sd_mean,rd_sd_mean,local_slope_mean,local_slope_median
post_ID15_IDA,IDA,critical,430,6.861646747497409,1053.3287686048748,0.010807670794346217,0.004202311569805994
post_ID15_IDA,IDA,flat,108,4.665753185342709,332.71088485006015,0.0213085110060725,0.010434447133750292
post_ID15_IDA,IDA,other,384,5.913695159349035,583.4176813884933,0.01396527723436571,0.006220471038262887
pre_DA15_IDA,IDA,critical,1607,10.10730820004863,1132.0430449144258,0.014274331053404877,0.0061244421477636675
pre_DA15_IDA,IDA,flat,417,6.573619995797981,298.68991642053925,0.03871341313696427,0.02320810069635589
pre_DA15_IDA,IDA,other,1416,9.262647924276422,555.4858050673794,0.03619894666176031,0.014689078089197359
post_DA15_DA,DA,critical,1657,5.5752877182576865,916.2784413860736,0.012144307297816553,0.005005377082536911
post_DA15_DA,DA,flat,447,3.096344475857,285.50404244064714,0.014989321781003786,0.009993671697318074
post_DA15_DA,DA,other,1491,4.359582768346047,715.1649395861781,0.010570871058967554,0.005117221215688939
post_DA15_IDA,IDA,critical,1657,6.572217628835753,916.2784413860736,0.014400677926369784,0.006112917515020217
post_DA15_IDA,IDA,flat,447,4.2473614355995855,285.50404244064714,0.021310825486513252,0.013398565529379746
post_DA15_IDA,IDA,other,1491,5.623991845501251,715.1649395861781,0.01596037117890098,0.0070342185494322515
