"reform","side","response","eff","lo","hi","p"
"ID15","real","da_price_eur",-32.1111220133753,-49.6496120120837,-13.5909773131382,0.00124069478908189
"ID15","real","ida_price_eur",-31.2232885606245,-49.9960315817939,-11.6290178458305,0.00287150035893754
"ID15","placebo","da_price_eur",-10.3092961371727,-28.3426097414405,8.90814005773697,0.147122692725299
"ID15","placebo","ida_price_eur",-16.3912712611162,-35.6798237141226,2.7906810974675,0.0471289274106176
"DA15","real","da_price_eur",4.48482182277772,-10.7122515643285,18.8185291913344,0.278306878306878
"DA15","real","ida_price_eur",3.44542749123578,-12.1621384131221,20.682923642207,0.326670173592846
"DA15","placebo","da_price_eur",-8.08595125697049,-23.7804002307663,7.17022841055824,0.159735349716446
"DA15","placebo","ida_price_eur",-6.19871945252548,-22.00546765154,8.59162923951236,0.205974842767296
"ID15","real","q_ccgt_gwh_da",13.2423566202267,-26.7105830826211,51.6136414173878,0.243331164606376
"ID15","real","q_ccgt_gwh_ida",-5.39473805446166,-9.27214955207303,-0.957728937722915,0.0097879282218597
"ID15","real","q_hydro_gwh_da",2.50830387369256,-7.64435083547611,12.271268142237,0.308480894687791
"ID15","real","q_hydro_gwh_ida",-0.699042016350179,-2.0754301775487,0.685484840046443,0.15607803901951
"ID15","real","q_hydro_pump_gwh_da",-4.05816097772594,-6.15387339079274,-1.79358480289544,0.00100250626566416
"ID15","real","q_hydro_pump_gwh_ida",-0.556042711124876,-1.24540860979674,0.126797495104844,0.0541624874623872
"ID15","real","q_wind_gwh_da",17.4267202843193,3.80278500330149,31.2315457182113,0.0045477513895907
"ID15","real","q_wind_gwh_ida",5.48575070225057,3.37517241652455,7.54594995861356,0.000510204081632653
"ID15","real","q_solar_gwh_da",9.9768665880076,4.82069425255729,14.930810967823,0.00100704934541793
"ID15","real","q_solar_gwh_ida",4.81701210996154,3.46907338828019,6.16624890738919,0.000586510263929619
"ID15","real","q_nuclear_gwh_da",92.8278210832193,57.5464751140221,128.766680714562,0.00069060773480663
"ID15","real","q_nuclear_gwh_ida",9.07546919706149,-1.77338186325697,18.7943724182625,0.047047047047047
"ID15","placebo","q_ccgt_gwh_da",-5.30904543981523,-28.707238994186,16.895277444512,0.321763085399449
"ID15","placebo","q_ccgt_gwh_ida",-7.08968624539198,-10.5303668434907,-3.62672207772507,0.000506072874493927
