outcome,spec,n,DiD,se,t
p_clear_DA15,baseline (raw price),6440,26.698403326691277,2.5426146037921846,10.500373625980092
p_clear_DA15,"Fourier-SA (identity, 2022-fit, regime FE)",6440,2.052773200185584,2.021327122805626,1.0155571441283142
p_clear_ID15,baseline (raw price),8652,-11.182765991824908,3.7477476090566357,-2.983863151510296
p_clear_ID15,"Fourier-SA (identity, 2022-fit, regime FE)",8652,6.331410008010835,3.2653528525070556,1.9389665662471172
pump_gen_mw_DA15,baseline (raw gen MW),6328,634.5456868957845,53.64781130927481,11.82798834490536
pump_gen_mw_DA15,"Fourier-SA (identity, 2022-fit, regime FE)",6328,350.09627012486635,47.28476419730609,7.403997377760256
ccgt_gen_mw_DA15,baseline (raw gen MW),2646,1547.956324721381,420.41350032362436,3.6819852919323495
ccgt_gen_mw_DA15,"Fourier-SA (identity, 2022-fit, regime FE)",2646,597.880582779093,389.64957724001243,1.5344058294995055
