reform,market,spec,outcome,n,DiD,se,t,pre_crit,post_crit,pre_flat,post_flat,tech
DA15,DA,B1_dateFE,cleared_MW,2646,1547.9563247213373,420.41350032362436,3.6819852919322456,2219.373522458629,3095.0660514541387,3165.1465116279073,3522.0101307189548,CCGT
DA15,DA,B1_dateFE,cleared_MW,6440,199.02736330626794,39.363201555172594,5.05617824371591,876.7234189723321,1115.0982460474308,863.7467391304348,903.0942028985507,Hydro_run
DA15,DA,B1_dateFE,cleared_MW,5246,451.56232192068273,52.97324299098034,8.524347319977549,1145.8102150537634,1180.02969837587,738.0295880149813,346.91842439644216,Hydro_pump
DA15,DA,B1_dateFE,cleared_MW,6440,21.776062252614793,4.179617568702782,5.210060943296632,360.93656126482205,538.2596343873519,374.10905797101447,529.6560688405799,Hydro_RE
DA15,DA,B1_dateFE,cleared_MW,6440,73.97648220893461,260.0966579560045,0.2844191955032647,5120.352272727273,6859.231744071147,5589.696739130435,7254.5997282608705,Wind
DA15,DA,B1_dateFE,cleared_MW,5894,-3281.8287853432557,157.22816636122806,-20.873033511077974,5140.83896103896,1846.1594440114304,3.588014981273408,5.940797940797941,Solar_PV
DA15,DA,B1_dateFE,cleared_MW,6440,-233.50259387394908,12.343813754384607,-18.91656813041329,862.4710474308301,509.17606225296436,560.9568840579709,441.1644927536231,Solar_thermal
DA15,DA,B1_dateFE,cleared_MW,6440,-153.57846673455788,68.4030620183308,-2.245198711914411,2917.28023715415,2884.4391798418974,2831.606884057971,2952.344293478261,Nuclear
DA15,DA,B1_dateFE,cleared_MW,6440,60.41157773256418,10.294809682622539,5.868158770777267,1797.550098814229,1901.1672924901186,1870.661231884058,1913.866847826087,Coal_other_thermal
DA15,DA,B1_dateFE,cleared_MW,6440,10.932328721690283,2.2255015789376804,4.912298793743707,461.86581027667984,445.4980484189723,474.1724637681159,446.8723731884058,Biomass_RE
