window,focal_firm,n_periods,b_mean,b_median,b_sd
post_DA15_DA,GE,12772,180.63,180.03,31.72
post_DA15_DA,GN,12772,187.44,185.55,32.89
post_DA15_DA,HC,12772,168.3,166.73,31.26
post_DA15_DA,IB,12772,161.02,160.2,28.73
post_DA15_IDA,GE,12868,101.06,94.46,30.85
post_DA15_IDA,GN,12868,92.73,87.48,30.21
post_DA15_IDA,HC,12868,88.53,82.89,27.18
post_DA15_IDA,IB,12868,87.17,83.74,23.42
post_ID15_DA,GE,959,178.86,179.37,36.9
post_ID15_DA,GN,959,188.02,188.37,36.34
post_ID15_DA,HC,959,162.29,163.67,36.3
post_ID15_DA,IB,959,166.03,168.17,32.97
post_ID15_IDA,GE,3644,96.86,82.85,41.11
post_ID15_IDA,GN,3644,92.4,79.45,41.08
post_ID15_IDA,HC,3644,83.86,72.25,35.38
post_ID15_IDA,IB,3644,84.14,74.27,29.8
pre_DA15_DA,GE,11376,162.54,159.52,32.11
pre_DA15_DA,GN,11376,168.47,163.09,33.5
pre_DA15_DA,HC,11376,148.72,144.64,32.37
pre_DA15_DA,IB,11376,147.9,145.04,29.96
pre_DA15_IDA,GE,14448,95.67,89.13,29.51
pre_DA15_IDA,GN,14448,86.18,80.45,27.4
pre_DA15_IDA,HC,14448,82.61,77.04,26.47
pre_DA15_IDA,IB,14448,85.01,81.1,24.46
pre_ID15_DA,GE,6673,155.56,153.54,27.77
pre_ID15_DA,GN,6673,159.97,155.13,29.02
pre_ID15_DA,HC,6673,141.82,138.03,28.57
pre_ID15_DA,IB,6673,139.97,138.29,25.9
pre_ID15_IDA,GE,5809,96.06,92.68,25.67
pre_ID15_IDA,GN,5809,91.68,87.9,25.6
pre_ID15_IDA,HC,5809,85.93,82.5,23.3
pre_ID15_IDA,IB,5809,81.9,78.44,21.28
