"reform","outcome","eff","lo","hi","rel","p","pre_mean","n_pre","n_post"
"ID15","abs_imbalance_mwh",-8.12264577115843,-238.895693249821,183.214550917556,-0.000872135067413302,0.498493975903614,1676.44339814815,108,40
"ID15","bs3_eur_mwh",-1.38418987078898,-2.01734015161677,-0.712874091338096,-0.406662509628999,0.00101781170483461,3.45324871828194,108,40
"ID15","rad3_eur_mwh",0.268008178616827,0.16179847426336,0.368812891097099,0.324511399370411,5e-04,0.856831306852901,108,39
"DA15","abs_imbalance_mwh",-72.8641188150992,-398.813968984063,243.906074687199,-0.0409783299957853,0.376381909547739,1227.11401298701,154,92
"DA15","bs3_eur_mwh",-0.849929957920957,-1.34622912027157,-0.345857645161442,-0.312143938242853,0.000549148819330038,1.80573990004186,154,92
"DA15","rad3_eur_mwh",-0.0466206148378603,-0.173756859438476,0.0524902564190557,-0.0409093118994572,0.182048681541582,1.04967777320356,154,92
