reform,label,outcome,n,DiD,se,t
DA15,CCGT simple,sigma_p,50073,3.5294864563575388,0.9803945425093337,3.6000674252263467
DA15,CCGT simple,n_eff,50073,0.27808477894999184,0.09410552278774131,2.9550314446180055
DA15,CCGT simple,hhi,50073,-0.006798143935729112,0.0047296528026526926,-1.4373452385165095
DA15,CCGT MIC,sigma_p,88185,-0.8966470821291743,1.2078309470030721,-0.7423614077400301
DA15,CCGT MIC,n_eff,88185,0.3490681160700611,0.06814312926336485,5.122572441910549
DA15,CCGT MIC,hhi,88185,-0.046460977921519896,0.010964103687179745,-4.2375536794536535
DA15,CCGT block,sigma_p,75143,0.29095834335594084,0.22433596297380126,1.2969759261912008
DA15,CCGT block,n_eff,75143,0.23078847573552239,0.031681657483301005,7.284608636942939
DA15,CCGT block,hhi,75143,-0.04259741740384093,0.00676230855248993,-6.29924190432811
DA15,CCGT all (pooled),sigma_p,213401,1.2478316676556602,0.5657599574096841,2.20558498584598
DA15,CCGT all (pooled),n_eff,213401,0.42421219609719096,0.04801048710428168,8.83582362278009
DA15,CCGT all (pooled),hhi,213401,-0.05893166718089077,0.006533215935794634,-9.020315226076011
