"tag","window","spec","eff","se","p","n","n_post"
"ID15 IDA","40d","OLS hourly --- base (hour + month + DOW)",-33.5725878863156,7.92670633037825,2.29105795507174e-05,21810,958
"ID15 IDA","40d","OLS hourly --- + year-by-renew (per year)",-40.4179542893109,7.53891676612078,8.3493842803166e-08,21810,958
"ID15 IDA","40d","OLS hourly --- + year-by-renew (2024+25 pooled)",-30.0732618979097,7.52954990333827,6.51726271945389e-05,21810,958
"ID15 IDA","90d","OLS hourly --- base (hour + month + DOW)",-37.693789132218,5.92543717911016,2.03760315854655e-10,22986,2134
"ID15 IDA","90d","OLS hourly --- + year-by-renew (per year)",-42.5296093630353,6.82262652498453,4.63743969399017e-10,22986,2134
"ID15 IDA","90d","OLS hourly --- + year-by-renew (2024+25 pooled)",-35.1466308924036,6.45800747805,5.31257288551387e-08,22986,2134
"ID15 IDA","180d","OLS hourly --- base (hour + month + DOW)",-25.4920574388845,4.40376485478515,7.17795279229807e-09,25134,4282
"ID15 IDA","180d","OLS hourly --- + year-by-renew (per year)",-30.9693292231325,6.35903811432276,1.12204891676905e-06,25134,4282
"ID15 IDA","180d","OLS hourly --- + year-by-renew (2024+25 pooled)",-24.3182458518242,5.94755847621031,4.35002858407487e-05,25134,4282
"ID15 IDA","196d","OLS hourly --- base (hour + month + DOW)",-25.0044195698186,4.15926688650478,1.86041814262076e-09,25518,4666
"ID15 IDA","196d","OLS hourly --- + year-by-renew (per year)",-30.5815243205335,6.24207946760928,9.67920552519423e-07,25518,4666
"ID15 IDA","196d","OLS hourly --- + year-by-renew (2024+25 pooled)",-24.1472585702219,5.86043051802902,3.79426937931437e-05,25518,4666
"ID15 DA cross","40d","OLS hourly --- base (hour + month + DOW)",-33.6398524050613,8.15500913077033,3.72024491837923e-05,21810,958
"ID15 DA cross","40d","OLS hourly --- + year-by-renew (per year)",-39.0269846420513,7.66089183120979,3.52931313146083e-07,21810,958
"ID15 DA cross","40d","OLS hourly --- + year-by-renew (2024+25 pooled)",-28.7349376664192,7.62843132212205,0.000165774785555205,21810,958
"ID15 DA cross","90d","OLS hourly --- base (hour + month + DOW)",-37.9497991853663,6.07575772881154,4.28206209709192e-10,23010,2158
"ID15 DA cross","90d","OLS hourly --- + year-by-renew (per year)",-41.4249888150824,6.89920697568726,1.95032489204964e-09,23010,2158
"ID15 DA cross","90d","OLS hourly --- + year-by-renew (2024+25 pooled)",-34.0629916061735,6.45473000010613,1.32353177358567e-07,23010,2158
"ID15 DA cross","180d","OLS hourly --- base (hour + month + DOW)",-25.7259313614388,4.42669008219817,6.26444548275543e-09,25170,4318
"ID15 DA cross","180d","OLS hourly --- + year-by-renew (per year)",-29.8634632607304,6.34195266378763,2.50417409934305e-06,25170,4318
"ID15 DA cross","180d","OLS hourly --- + year-by-renew (2024+25 pooled)",-23.2856201746109,5.86570393519567,7.21357199841397e-05,25170,4318
"ID15 DA cross","196d","OLS hourly --- base (hour + month + DOW)",-25.1556788363398,4.18254293767433,1.82958482704972e-09,25554,4702
"ID15 DA cross","196d","OLS hourly --- + year-by-renew (per year)",-29.3647254807203,6.22127568324701,2.37039134518202e-06,25554,4702
"ID15 DA cross","196d","OLS hourly --- + year-by-renew (2024+25 pooled)",-23.0232721872431,5.78171824947437,6.85037594812568e-05,25554,4702
