reform,market,tech,kind,post_lo,post_hi,point_effect,ci_lo,ci_hi,p_post,n_pre,n_post
ID15,ida,CCGT,real,2025-03-19,2025-04-27,-63.87376885453965,-646.0187340617529,524.0814903338987,0.4253503960999391,1173,40
ID15,ida,CCGT,placebo,2024-03-19,2024-04-27,-27.00888563751147,-644.6081582720628,582.0055826333246,0.47655786350148366,808,40
ID15,ida,Hydro,real,2025-03-19,2025-04-27,-78.48588587699166,-137.22547379532404,-17.299688652865214,0.006695069993913573,1173,40
ID15,ida,Hydro,placebo,2024-03-19,2024-04-27,-67.6709491365242,-137.77126538298387,3.0310080280034635,0.032520325203252036,808,40
ID15,ida,Hydro_pump,real,2025-03-19,2025-04-27,-102.09447937390621,-155.08934666300692,-49.04480256602275,6.329113924050633e-4,1173,40
ID15,ida,Hydro_pump,placebo,2024-03-19,2024-04-27,-70.26010190091299,-116.07345542013203,-23.762561176453463,0.003787878787878788,808,40
DA15,da,CCGT,real,2025-10-01,2026-01-31,3.273042711185127,-4304.70883227322,4432.702212846421,0.4875,1369,123
DA15,da,CCGT,placebo,2024-10-01,2025-01-31,-0.6604992433775294,-4600.588996336653,4332.52179986859,0.4805491990846682,1004,123
DA15,da,Hydro,real,2025-10-01,2026-01-31,-3.8061844812333305,-957.5681912551388,835.7665402631819,0.48768161718256475,1369,123
DA15,da,Hydro,placebo,2024-10-01,2025-01-31,14.284452426767658,-765.9560169494744,796.9175885342466,0.4489795918367347,1004,123
DA15,da,Hydro_pump,real,2025-10-01,2026-01-31,47.59416953140395,-823.3135618030017,916.4584165047761,0.4222222222222222,1369,123
DA15,da,Hydro_pump,placebo,2024-10-01,2025-01-31,67.97192439128541,-736.5883693425209,878.9088404107384,0.4149184149184149,1004,123
