"reform","market","firm","theta_log","pct","se","p","n"
"ID15","DA","IB",0.797206778165947,121.933317283387,0.0812463295521959,1.3588868502476e-22,7632
"ID15","DA","GE",0.736196674939319,108.797913037502,0.0793718888860644,2.26932772956861e-20,7632
"ID15","DA","GN",0.774507718557176,116.952384792789,0.080513601704009,8.79713801207656e-22,7632
"ID15","DA","HC",0.88056749405518,141.226826595621,0.0891949202574199,7.52724632005477e-23,7632
"ID15","IDA","IB",0.152585106790166,16.4841593805264,0.0904600527620474,0.0916947314127543,6720
"ID15","IDA","GE",0.178930803772968,19.5937986908213,0.0995812558557427,0.0724074594567308,6720
"ID15","IDA","GN",0.220610729156135,24.6837978411991,0.100748393624546,0.0285790742044715,6720
"ID15","IDA","HC",0.172969839753534,18.8830249130003,0.112972337060136,0.12579667358183,6720
"DA15","DA","IB",0.175663505040207,19.2036876755697,0.105994904547112,0.0974855373830277,13585
"DA15","DA","GE",0.254160488878901,28.9378718608663,0.0992987017407142,0.0104913923982615,13585
"DA15","DA","GN",0.241419317888392,27.3054738029418,0.0982281160726279,0.0139938189489915,13585
"DA15","DA","HC",0.352244332139533,42.2255984116541,0.111702983180787,0.00161732390399885,13585
"DA15","IDA","IB",0.174848680472637,19.1065971435539,0.0707711475054837,0.0134949848884247,23377
"DA15","IDA","GE",0.152923036182492,16.5235294534992,0.0789203110049236,0.0526732388729006,23377
"DA15","IDA","GN",0.11994683544894,12.743691030883,0.0830381955752952,0.148618072843543,23377
"DA15","IDA","HC",0.181329959921884,19.8810673517178,0.0859957691831556,0.034990509500005,23377
