market,reform,tech,theta,se,t,n,n_units
DA,DA15,CCGT,1.280478892513294,0.9413508768157199,1.3602567587175702,271825,41
DA,DA15,Hydro,1.8836254234235272,0.2628737204800082,7.16551437695644,240189,27
IDA,ID15,CCGT,2.454840728713764,0.5836704697217792,4.2058676189047635,50824,35
IDA,ID15,Hydro,1.171116012287336,0.440003223586796,2.6616078008263027,81567,27
