"reform","side","market","tech","eff","lo","hi","p","n_pre","n_post"
"ID15","real","da","ccgt",10.4802884362383,-39.9331526224711,56.5374792523417,0.315508021390374,271,15
"ID15","real","da","hydro",-4.35843220815757,-18.9004590504987,9.53041519775471,0.298141891891892,278,40
"ID15","real","da","hydro_pump",-0.820214882098632,-2.23174720277957,0.638320461894472,0.147073536768384,278,40
"ID15","real","da","wind",9.64108166146383,-3.19583557015023,21.2226139043475,0.0590909090909091,278,40
"ID15","real","da","solar",11.2755335228281,6.60068613687826,15.9002218714608,0.000505561172901921,278,40
"ID15","real","da","nuclear",53.6925967262429,-1.14735400898553,106.655334279313,0.0285895806861499,278,40
"ID15","placebo","da","ccgt",-10.8298030244959,-28.0347432244448,6.62669190156052,0.118110236220472,241,28
"ID15","placebo","da","hydro",15.7118863606248,6.12610580209757,24.6123685065729,0.00115740740740741,279,40
"ID15","placebo","da","hydro_pump",-0.296896031764254,-3.02337500324664,2.13831157025932,0.413547237076649,279,40
"ID15","placebo","da","wind",9.54308434625855,-3.08761721889108,21.9191554963738,0.069175991861648,279,40
"ID15","placebo","da","solar",10.5313839859476,5.988690658381,14.6703630178091,0.000504032258064516,279,40
"ID15","placebo","da","nuclear",-50.4473164316707,-160.810712180732,57.9509198808786,0.179072276159655,279,40
"DA15","real","ida","ccgt",0.679166165077765,-2.13185024121673,3.62243414192838,0.318801089918256,155,40
"DA15","real","ida","hydro",-0.405015250546907,-1.21547273985898,0.379309074757733,0.135107985936715,155,40
"DA15","real","ida","hydro_pump",0.0950622546209683,-0.354816577677468,0.536781187981498,0.326787512588117,155,40
"DA15","real","ida","wind",-2.62592201263578,-4.56723030211017,-0.535379870717825,0.00626631853785901,155,40
"DA15","real","ida","solar",-5.85616702666854,-7.92399928666718,-3.80992124800449,0.00050251256281407,155,40
"DA15","real","ida","nuclear",1.67632978214463,-3.7765827533516,6.60571925124573,0.272905759162304,146,32
"DA15","placebo","ida","ccgt",-2.37610068556733,-5.75154262153722,1.05748762362632,0.10611419909045,156,40
"DA15","placebo","ida","hydro",1.19536512710178,-0.67593109268299,2.68166025566311,0.0837932764676367,156,40
"DA15","placebo","ida","hydro_pump",-0.273622170256048,-1.11048266354598,0.535564747058707,0.268903355032549,156,40
"DA15","placebo","ida","wind",2.28178779894406,-0.59449834039013,4.45444756572536,0.0560841261892839,156,40
"DA15","placebo","ida","solar",-0.338487471718341,-1.74949508720362,1.07935697750131,0.349,156,40
"DA15","placebo","ida","nuclear",-5.43206395367005,-21.5643316492532,7.97883311099141,0.233850776164246,72,8
