"spec","reform","side","outcome","eff","lo","hi","p","n_pre","n_post"
"base","ID15","real","da_price_eur",-38.3895560199093,-62.0114932916045,-11.3430524257503,0.00371747211895911,278,40
"base","ID15","real","ida_price_eur",-38.3434446525004,-63.4844245678784,-12.4396523182129,0.00309214594928881,278,40
"base","ID15","placebo","da_price_eur",-13.709620139792,-39.7163857765865,11.8974239631016,0.142495250158328,279,40
"base","ID15","placebo","ida_price_eur",-18.0820684278365,-45.7770240081369,7.94907573171463,0.0902439024390244,279,40
"with_nuc","ID15","real","da_price_eur",-39.2504215104724,-62.227958814191,-15.2893784221651,0.00309214594928881,278,40
"with_nuc","ID15","real","ida_price_eur",-39.3949249341016,-63.1585648693971,-14.4141186863492,0.00118133490844654,278,40
"with_nuc","ID15","placebo","da_price_eur",-17.28418759677,-38.9007864667944,5.31833219511556,0.0574963609898108,279,40
"with_nuc","ID15","placebo","ida_price_eur",-18.7729458719517,-44.991068483824,5.59443161795751,0.0684133915574964,279,40
