"reform","side","outcome","tech","market","hour_class","eff","lo","hi","p","n_pre","n_post"
"ID15","real","p","ccgt","da","morning_ramp",-70.9501377463278,-82.37476512911,-59.3696537281948,0.000678886625933469,278,40
"ID15","real","p","ccgt","da","midday",-54.4894782784854,-71.1402992113129,-37.282183724129,0.000674308833445718,278,40
"ID15","real","p","ccgt","da","evening_ramp",-38.5587597705772,-53.613401933643,-22.6619568776434,0.000815660685154976,278,40
"ID15","real","p","ccgt","da","flat",-84.647448182509,-98.7520546707997,-70.1686461603752,0.000668002672010688,277,40
"ID15","real","p","ccgt","ida","morning_ramp",-53.7575429729784,-62.6799590231475,-45.0137482542294,0.000672494956287828,242,38
"ID15","real","p","ccgt","ida","midday",-64.4874188211377,-78.9498636864928,-50.9483164261405,0.00113250283125708,238,35
"ID15","real","p","ccgt","ida","evening_ramp",-20.681561931236,-35.8275640797907,-4.55579375313363,0.00668647845468053,242,38
"ID15","real","p","ccgt","ida","flat",-64.1379492073082,-73.9614773133409,-54.3343591982044,0.000672494956287828,242,38
"ID15","real","p","hydro","da","morning_ramp",-52.9667615522699,-73.0764332093813,-25.2197135491459,0.000771604938271605,278,40
"ID15","real","p","hydro","da","midday",-48.8774279343657,-64.7842517085411,-32.8189453275302,0.000823723228995058,278,40
"ID15","real","p","hydro","da","evening_ramp",-47.233577049965,-73.2566588219622,-19.3737045059313,0.000739644970414201,278,40
"ID15","real","p","hydro","da","flat",-66.9313653494197,-83.0887718972933,-48.1275762013579,0.000876424189307625,278,40
"ID15","real","p","hydro","ida","morning_ramp",-63.0656369112928,-74.2981857151813,-49.4960075515922,0.000680272108843537,242,38
"ID15","real","p","hydro","ida","midday",-57.4897909095114,-72.3587154090966,-41.9600957949158,0.000823723228995058,242,38
"ID15","real","p","hydro","ida","evening_ramp",-33.6289637379681,-57.6784872824912,-7.15150868682942,0.00714285714285714,242,38
"ID15","real","p","hydro","ida","flat",-65.034474972304,-76.3454901726862,-54.5829815702087,0.000675219446320054,242,38
"ID15","real","p","hydro_pump","da","morning_ramp",-57.8823039137523,-80.2208444436224,-32.8240836725644,0.000746268656716418,278,40
"ID15","real","p","hydro_pump","da","midday",-66.599037277695,-78.6705679119758,-54.5350742958294,0.000678886625933469,215,38
"ID15","real","p","hydro_pump","da","evening_ramp",-49.4081525732447,-89.9411798482655,-7.09471356056667,0.0089126559714795,278,40
"ID15","real","p","hydro_pump","da","flat",-65.7031867715213,-83.0411812455734,-44.0749301022041,0.00108695652173913,275,40
"ID15","real","p","hydro_pump","ida","morning_ramp",-74.4542075334816,-86.6193562273564,-61.4076568869143,0.000668002672010688,238,38
"ID15","real","p","hydro_pump","ida","midday",-66.4070119490625,-80.2623774726886,-51.6417737178462,0.000666666666666667,166,22
"ID15","real","p","hydro_pump","ida","evening_ramp",-54.2752861981741,-76.5461800442501,-26.1738221238258,0.0008424599831508,242,38
"ID15","real","p","hydro_pump","ida","flat",-80.2076629836982,-92.435138495048,-67.1227634547821,0.000668002672010688,217,37
"ID15","real","mwh","ccgt","da","morning_ramp",-2371.30136793887,-4338.17326535806,-384.066632894345,0.0108010801080108,278,40
"ID15","real","mwh","ccgt","da","midday",-8367.45489971078,-10464.7294857358,-6241.42063295573,0.000672947510094213,278,40
"ID15","real","mwh","ccgt","da","evening_ramp",-1165.09622786044,-7370.15684055619,4897.97609955002,0.371335504885993,278,40
"ID15","real","mwh","ccgt","da","flat",-3681.79865476495,-5270.4149246003,-1987.27064322967,0.00135226504394861,277,40
"ID15","real","mwh","ccgt","ida","morning_ramp",-2410.96389225488,-3851.22178745776,-921.502014959097,0.002,242,38
"ID15","real","mwh","ccgt","ida","midday",-4024.40638643708,-5572.17623897435,-2522.39650739126,0.000666666666666667,238,35
"ID15","real","mwh","ccgt","ida","evening_ramp",-4358.651031714,-5908.54789441475,-2739.75878236581,0.00066711140760507,242,38
"ID15","real","mwh","ccgt","ida","flat",-3629.89377845262,-5077.41073112489,-2202.87046200394,0.000666666666666667,242,38
"ID15","real","mwh","hydro","da","morning_ramp",6738.9737422127,4271.73423237597,9096.59703742861,0.000720461095100865,278,40
"ID15","real","mwh","hydro","da","midday",9217.69049945794,6801.69005451518,11535.0001349071,0.000675219446320054,278,40
"ID15","real","mwh","hydro","da","evening_ramp",13321.2693018683,2667.90250178692,23777.9834701452,0.0109729334308705,278,40
"ID15","real","mwh","hydro","da","flat",6934.61976342693,5347.36835162062,8479.07935414266,0.000672494956287828,278,40
"ID15","real","mwh","hydro","ida","morning_ramp",-2528.97907221784,-4852.4799166194,-126.006711458362,0.0208478109798471,242,38
"ID15","real","mwh","hydro","ida","midday",173.475516282722,-4045.51558475532,4424.26103354487,0.479333333333333,242,38
