reform,tech,outcome,n,DiD,se,t
ID15,Wind,sigma_p,862328,0.32151292000546056,0.09674100333356767,3.323439998827265
ID15,Wind,n_eff,862328,0.016895705746951824,0.006999290240100585,2.41391700692055
DA15,Wind,sigma_p,1890300,0.16557306577239417,0.04425732843073507,3.741144611372652
DA15,Wind,n_eff,1890300,0.009008321986285463,0.002572345465228506,3.501987624934055
