hour_class,metric,pre_mean,pre_sd,pre_n,post_mean,post_sd,post_n,diff,t,p
Critical,ida_within_hour_sd,6.101086219957038,7.249820033298079,1149,9.8547948353284,9.286624851970988,4385,3.7537086153713624,14.676883505731425,1.238269260852777e-46
Flat,ida_within_hour_sd,2.162771666793391,2.678574371998991,237,2.932495702746748,3.1376376114692075,900,0.7697240359533573,3.7916113054387672,0.0001714484959542624
Other,ida_within_hour_sd,2.5083330453899153,4.39342704892191,988,4.7893206594925894,6.595822939891556,3775,2.280987614102674,12.942388245542162,5.009811220234915e-37
ALL,ida_within_hour_sd,4.212703454341156,6.125755404293481,2374,7.056534986199961,8.273976625071354,9060,2.8438315318588048,18.60552256812062,1.0417147757325995e-74
