outcome,spec,n,DiD,se,t
p_clear,baseline (date FE),6440,26.698403326691277,2.5426146037921846,10.500373625980092
p_clear,baseline + weather x crit controls,6440,18.642065711912437,4.94879321386723,3.766992255743216
p_clear,same-cal (Oct-Dec 24 vs 25),6440,-4.166448451970609,2.8195852045532845,-1.4776813430721318
p_clear,same-cal + weather x crit controls,6440,-2.7052445646977503,2.718703994048918,-0.995049321522082
pump_gen_mw,baseline (date FE),6328,634.5456868957772,53.64781130927483,11.82798834490522
pump_gen_mw,baseline + weather x crit controls,6328,652.6849444968975,90.25886733212383,7.231255651538649
pump_gen_mw,same-cal (Oct-Dec 24 vs 25),6308,236.66505749836506,47.02937046489751,5.032282064566666
pump_gen_mw,same-cal + weather x crit controls,6308,238.29467520567414,51.107867487226365,4.662583021395528
ccgt_gen_mw,baseline (date FE),2646,1547.9563247213955,420.41350032362453,3.6819852919323828
ccgt_gen_mw,baseline + weather x crit controls,2646,-100.13140620302875,670.2957106761838,-0.14938392803083544
ccgt_gen_mw,same-cal (Oct-Dec 24 vs 25),2806,-1363.42184505357,471.6506852104384,-2.890744968270843
ccgt_gen_mw,same-cal + weather x crit controls,2806,-733.6408100975968,536.4166215109443,-1.367669793734437
