theta,se,t,n,n_units,tech,outcome,market,reform,h
-0.38457300809062744,0.03841535033000242,-10.010920238576494,142552,40,CCGT,slope,DA,DA15,100
84.5741241488796,9.318042142443495,9.0763835209165,142552,40,CCGT,intercept,DA,DA15,100
0.005677443712942102,0.0008918402940289527,6.365986994480639,136171,39,CCGT,gamma,DA,DA15,100
-0.6322598450293531,0.14759627618560878,-4.283711360266696,144062,24,Hydro,slope,DA,DA15,100
91.28441278315677,51.20571200777841,1.782699804453265,144062,24,Hydro,intercept,DA,DA15,100
-0.05098179299551853,0.18086893050591918,-0.2818714792690726,116140,22,Hydro,gamma,DA,DA15,100
0.012266089825812605,0.011818120124324014,1.0379053264627578,24322,7,Hydro_pump,slope,DA,DA15,100
-0.956164247331138,1.7613244427745756,-0.5428666202036654,24322,7,Hydro_pump,intercept,DA,DA15,100
0.00011885927176677877,4.7698431591925586e-05,2.491890567464682,17227,7,Hydro_pump,gamma,DA,DA15,100
-0.49320379456501695,0.03150595255989303,-15.654305123053593,160803,40,CCGT,slope,DA,DA15,140
86.25364621201814,6.356038451018787,13.570346824788773,160803,40,CCGT,intercept,DA,DA15,140
0.005845350660801577,0.00026972913201408767,21.671187747329718,153794,39,CCGT,gamma,DA,DA15,140
0.0040495720588412665,0.07182780324197927,0.05637889335413396,152784,24,Hydro,slope,DA,DA15,140
90.62832953114574,54.29193014333641,1.6692780914562702,152784,24,Hydro,intercept,DA,DA15,140
0.0005913094632918788,0.005290407264504137,0.11177012160467412,122514,22,Hydro,gamma,DA,DA15,140
0.007345106230930607,0.011083997337004952,0.6626766506347209,24960,7,Hydro_pump,slope,DA,DA15,140
-2.2598620974826944,1.9109090646956912,-1.1826110091965958,24960,7,Hydro_pump,intercept,DA,DA15,140
0.00015707144732771702,6.980083818248669e-05,2.2502802461636753,17508,7,Hydro_pump,gamma,DA,DA15,140
-0.48271627685381646,0.03134969607750601,-15.397797658401362,162637,40,CCGT,slope,DA,DA15,200
83.7089662524792,6.211369660629621,13.476732319292356,162637,40,CCGT,intercept,DA,DA15,200
0.0050409021626699226,0.0002017715567324724,24.98321490057006,154997,39,CCGT,gamma,DA,DA15,200
-0.0030524755450644925,0.06918173787808966,-0.04412256237973508,155844,25,Hydro,slope,DA,DA15,200
88.69148031150087,52.822866750071555,1.6790357238871503,155844,25,Hydro,intercept,DA,DA15,200
-0.0006813601925454438,0.005148471729928896,-0.13234222275798604,124178,24,Hydro,gamma,DA,DA15,200
0.0018014809585460544,0.01028930120776675,0.17508292566906575,25536,7,Hydro_pump,slope,DA,DA15,200
1.1286773827210137,1.808514509173324,0.6240908640743693,25536,7,Hydro_pump,intercept,DA,DA15,200
0.000141925349938456,6.761989300460833e-05,2.098869779767083,17714,7,Hydro_pump,gamma,DA,DA15,200
0.2072164402937692,0.18934120939034887,1.094407503580314,298142,40,CCGT,slope,IDA,DA15,100
6.447487452856109,2.300678071314269,2.802429219996417,298142,40,CCGT,intercept,IDA,DA15,100
0.0038861788933375946,0.0035695750128291927,1.0886951189905003,253055,39,CCGT,gamma,IDA,DA15,100
0.1981581734702436,0.0736503802634018,2.690524784278839,258498,22,Hydro,slope,IDA,DA15,100
2.5313959151533614,3.2706511470722757,0.7739730718206804,258498,22,Hydro,intercept,IDA,DA15,100
-0.011449785893608455,0.008582217470606723,-1.3341290794393035,189103,19,Hydro,gamma,IDA,DA15,100
-0.37739836104186875,0.4468281079072402,-0.8446164293679913,31716,24,Hydro_pump,slope,IDA,DA15,100
24.982107868650477,18.4696024125539,1.3526066945366397,31716,24,Hydro_pump,intercept,IDA,DA15,100
-0.00025684268387666593,0.0001664214649805935,-1.5433266610567122,19341,20,Hydro_pump,gamma,IDA,DA15,100
0.24288672938068964,0.18471448058111734,1.3149306357387935,307162,40,CCGT,slope,IDA,DA15,140
4.6304650559012455,2.3262396121965785,1.990536586009244,307162,40,CCGT,intercept,IDA,DA15,140
0.003514932106102685,0.0035235663207248405,0.9975495807837159,259230,39,CCGT,gamma,IDA,DA15,140
0.41088238772714625,0.10594237408946261,3.8783573736055628,295140,23,Hydro,slope,IDA,DA15,140
-5.223852306071573,3.314238529200835,-1.5761847736804884,295140,23,Hydro,intercept,IDA,DA15,140
-0.020336295565230304,0.008218663119824336,-2.474404324491277,224635,19,Hydro,gamma,IDA,DA15,140
-1.2131503061893474,1.2417551225480394,-0.9769642050680686,37640,24,Hydro_pump,slope,IDA,DA15,140
44.148568508629296,34.72742354648706,1.2712883364218148,37640,24,Hydro_pump,intercept,IDA,DA15,140
-0.00012456482379962934,0.00019444493175256548,-0.6406174883392703,24337,21,Hydro_pump,gamma,IDA,DA15,140
0.24077459208564647,0.18464374673067666,1.3039953767664976,307402,40,CCGT,slope,IDA,DA15,200
4.715486208928285,2.3295001518633813,2.0242480796390327,307402,40,CCGT,intercept,IDA,DA15,200
0.0033956386608336876,0.0035095934250385236,0.9675304941615609,259561,39,CCGT,gamma,IDA,DA15,200
