tech,firm,reform,hour_class,level_shift,tilt_std,fitted_norm,beta_PC1,beta_PC2,beta_PC3,n_pair_rows
CCGT,GN,ISP15,Critical,-15.550545971227885,2.2458078817594713,156.33121943955865,-154.61870686427133,-20.599331177792354,9.833752488805132,15524
CCGT,GN,ISP15,Flat,-3.2400689296783396,2.0891660013421998,38.3588772485963,-32.15285579861387,-19.27780270789468,7.408467215969143,15524
CCGT,GN,ISP15,Midday,-23.13979906858174,2.9160822451178396,232.0591084677957,-230.133938978198,-28.175321359802112,9.71711250342298,15524
CCGT,GN,MTU15-IDA,Critical,9.0838675164094,2.246112898972544,93.10534651055364,90.40415554219868,-22.247265172512126,0.582781598391712,7737
CCGT,GN,MTU15-IDA,Flat,9.0838675164094,2.2461128989725445,93.10534651055364,90.40415554219868,-22.24726517251213,0.5827815983917102,7737
CCGT,GN,MTU15-IDA,Midday,9.0838675164094,2.246112898972544,93.10534651055364,90.40415554219868,-22.247265172512126,0.5827815983917101,7737
CCGT,GN,MTU15-DA,Critical,-2.233078220497384,4.5690478722987375,50.600601212075745,-22.164885964001094,-44.98363523255531,2.0932135594634826,31426
CCGT,GN,MTU15-DA,Flat,-11.598532717309055,5.965321427787858,129.77284412464743,-115.37499778974589,-58.968592587853514,0.49108050712737716,31426
CCGT,GN,MTU15-DA,Midday,-0.012995675180090871,4.6331859348396005,46.099799334080835,-0.07858586309043147,-45.66343444969621,1.7497130079704375,31426
CCGT,HC,ISP15,Critical,-7.798952838114398,1.537014817691733,79.0912252539605,-77.1358053448194,-3.474530223876946,16.51948750968087,15577
CCGT,HC,ISP15,Flat,8.789450760046146,1.7031921428490029,89.08072465878966,87.58517335703249,7.4788326941569805,14.202343822399659,15577
CCGT,HC,ISP15,Midday,-6.268201594640632,1.3251352418407703,63.746271493963896,-61.47808395767782,-9.888352037989158,13.570021624131545,15577
CCGT,HC,MTU15-IDA,Critical,1.336877010131823,1.819189417672633,22.462687672705567,14.51643596901365,-16.492657949226793,0.7678293910776672,7709
CCGT,HC,MTU15-IDA,Flat,9.497243833056192,3.3447171328927796,100.1852910323439,96.64020949438796,-25.962727058470946,0.8493837664908357,7709
CCGT,HC,MTU15-IDA,Midday,1.3368770101318077,1.8191894176726293,22.462687672705446,14.516435969013491,-16.492657949226764,0.7678293910776682,7709
CCGT,HC,MTU15-DA,Critical,3.50830718772285,3.5302870044799683,49.52114114280251,32.20111996640612,34.58586863339297,-14.375317283106773,32700
CCGT,HC,MTU15-DA,Flat,1.8842793934730337,4.086036782505064,44.770239407942555,15.649248029788968,38.09718672079798,-17.490532710922444,32700
CCGT,HC,MTU15-DA,Midday,-10.064882486481142,5.288444898482303,113.12683758589239,-103.78449894181625,43.80962580075743,-8.838411576254291,32700
CCGT,IB,ISP15,Critical,-15.254302054539101,1.036783292025083,152.12855230300488,151.91456557270362,-7.691940887921457,1.3867930701303017,17380
CCGT,IB,ISP15,Flat,-2.0408276160459513,1.052028822340079,22.845184572324104,20.461252270759758,-9.972727342246802,0.9207055361876133,17380
CCGT,IB,ISP15,Midday,-13.843246644274322,1.0241832590632034,138.11501899226386,137.87583662358966,-7.905059563484259,0.40484329160921506,17380
CCGT,IB,MTU15-IDA,Critical,-2.4728126390191325,1.0177907366226184,26.60675351848681,24.473545690160037,8.755932506281605,-0.38878206167174806,6761
CCGT,IB,MTU15-IDA,Flat,4.406531015921356,1.7196629861194785,47.0648582450911,-44.07665814595137,14.936711724414437,0.734032977678035,6761
CCGT,IB,MTU15-IDA,Midday,-2.4728126390191387,1.017790736622618,26.606753518486865,24.4735456901601,8.7559325062816,-0.3887820616717483,6761
CCGT,IB,MTU15-DA,Critical,7.922036317777411,4.368417762349361,90.01295230961361,-78.19818943533706,-41.71426807138565,-2.995645053415794,40539
CCGT,IB,MTU15-DA,Flat,5.965238652266772,4.17735180040463,72.45964176037091,-58.761886909599326,-39.33869280718485,-2.388835970621656,40539
CCGT,IB,MTU15-DA,Midday,-8.623205969784685,4.209917310067489,95.47892652590242,86.38335116748634,-37.72233091852548,-2.945903471405013,40539
CCGT,OTH,ISP15,Critical,-18.277233653918415,3.955340714692932,186.0658405799257,-182.0187564933767,-37.04477963814873,10.375638647703363,15271
CCGT,OTH,ISP15,Flat,-6.656409895366029,3.4710932137320762,74.69452321663765,-66.59698036755479,-26.252423737648613,10.004428447374927,15271
CCGT,OTH,ISP15,Midday,-20.879764049175282,6.097153637747844,216.42745457524998,-208.04959208496138,-58.16627847088481,9.889251798918007,15271
CCGT,OTH,MTU15-IDA,Critical,25.04418495600805,3.370617991221006,251.43320049188958,249.13170934531138,31.798873676080255,2.4455356389346226,6180
CCGT,OTH,MTU15-IDA,Flat,25.04418495600805,3.3706179912210064,251.43320049188964,249.13170934531144,31.79887367608026,2.4455356389346257,6180
CCGT,OTH,MTU15-IDA,Midday,25.044184956008067,3.3706179912210112,251.4332004918898,249.13170934531158,31.79887367608031,2.445535638934635,6180
CCGT,OTH,MTU15-DA,Critical,-3.009319185168263,3.892462131780066,48.954254944292586,-29.935179087721387,30.78733304833372,17.909147497906297,5412
CCGT,OTH,MTU15-DA,Flat,-3.009319185168267,3.8924621317800647,48.95425494429261,-29.93517908772143,30.787333048333707,17.909147497906297,5412
CCGT,OTH,MTU15-DA,Midday,-4.724747254863248,4.309917079494085,63.631466772272425,-47.05518508643537,29.52667614863797,19.87032259911997,5412
CCGT,REP,MTU15-DA,Critical,5.358429385706308,0.8440832069572933,53.97313176243296,-53.68610653939605,0.28042495155290204,-4.837281706217407,7992
CCGT,REP,MTU15-DA,Flat,0.8571069749739817,1.0024211132692264,13.122826106933655,-8.718634657725296,7.799910201797248,-5.398832139659524,7992
CCGT,REP,MTU15-DA,Midday,9.232676782837814,1.2721701540427177,92.73194169347343,-92.33992845794819,-7.667097374242808,-1.889867964506518,7992
Hydro,GE,ISP15,Critical,-0.7453361384325415,5.724465999506198,57.43847714674237,-1.0420837463602461,53.695144173689535,-19.426421963226577,881
Hydro,GE,ISP15,Flat,4.2044504246644,1.0520549153997292,43.12352106367547,-42.7175572858958,3.093089316357144,-0.6300917726244535,881
Hydro,GE,ISP15,Midday,1.2103006315198594,1.3604544352379875,18.11769094042042,-13.063374879543025,4.049400528981444,-1.4828729135048384,881
Hydro,GE,MTU15-IDA,Critical,17.679341173936155,6.664481523294988,187.99060458852375,-182.11647817865452,40.158947116034646,19.792565150094134,942
Hydro,GE,MTU15-IDA,Flat,8.612890432502535,8.550728272491993,120.75755348480885,-94.9454735835323,70.56760658284966,18.925503229666887,942
Hydro,GE,MTU15-IDA,Midday,27.709881819388944,10.039429536395646,293.24757780792453,-286.83286410050994,60.41534302025801,4.566987317715833,942
Hydro,GE,MTU15-DA,Critical,-6.743571307943622,3.6980325695371765,76.52430129179318,66.52179904504392,25.755599790532845,26.952086693709923,2917
Hydro,GE,MTU15-DA,Flat,-4.721292057952858,3.6810961280525225,59.56732050919152,45.920827330640904,25.41418138414276,24.907865467314227,2917
Hydro,GE,MTU15-DA,Midday,-13.181750732423756,3.3251249931129427,135.2652425812569,130.02958955838577,31.03584234773866,19.10723371547805,2917
Hydro,GN,ISP15,Critical,-16.45901728305482,4.255680072310086,169.15080909464692,168.52761791489507,-14.375816141575694,-1.7972867670079855,4343
Hydro,GN,ISP15,Flat,-8.775755342646509,3.1096824743658718,92.63755548162598,91.04063651783218,-16.152080994832126,-5.64603605877455,4343
Hydro,GN,ISP15,Midday,-13.903961508184565,3.1143452176296327,141.77062419207093,141.30698057225348,-7.864151243341933,-7.863162081393119,4343
Hydro,GN,MTU15-IDA,Critical,-5.812844725143031,0.5062722385372214,58.056025203552544,56.27559378916793,13.211188811892084,-5.115910974911229,1625
Hydro,GN,MTU15-IDA,Flat,-5.8128447251430195,0.5062722385372219,58.05602520355242,56.2755937891678,13.211188811892077,-5.115910974911216,1625
Hydro,GN,MTU15-IDA,Midday,-5.812844725143026,0.5062722385372223,58.05602520355251,56.275593789167885,13.21118881189209,-5.115910974911229,1625
Hydro,GN,MTU15-DA,Critical,1.943991597036937,1.7636157120922584,26.11618132919898,-17.218215126128932,-17.29570413319756,-9.17550818642394,4565
Hydro,GN,MTU15-DA,Flat,-4.807238636155368,1.868907137406017,51.31893765585971,49.251452311995,-7.854281498888136,-8.44963460238569,4565
Hydro,GN,MTU15-DA,Midday,-9.754423831320352,4.062157573837724,105.13487021505301,101.61166341542608,-20.94483870598659,-0.11418008068312524,4565
Hydro,HC,ISP15,Critical,-2.9039762005765435,0.6522175582720421,29.613984638452465,-28.787851682535663,3.690586789806835,2.521783503356294,28899
Hydro,HC,ISP15,Flat,4.15493733747393,1.081192042019114,42.71786008797703,41.9301735203492,6.447304738977662,1.8096544413406495,28899
Hydro,HC,ISP15,Midday,1.9429911692521376,1.7195195777265104,25.815969165144235,20.462526962262768,13.754442022832473,5.296820994501267,28899
Hydro,HC,MTU15-IDA,Critical,-1.1365719299220587,2.014809384220201,23.01682011174057,-10.035423974601043,20.07350863213243,1.1671045522876995,17068
Hydro,HC,MTU15-IDA,Flat,-12.92292268169425,2.0599103978191295,130.20472720652276,-127.62358816663617,25.338665878833023,1.180608206112467,17068
Hydro,HC,MTU15-IDA,Midday,-2.891626552797199,3.401882636532008,44.42405485504895,-27.258606979183355,34.30071527236508,-5.230553096790864,17068
Hydro,HC,MTU15-DA,Critical,-2.2062914988547404,1.9588916944760701,29.356309475341014,-23.106276379638828,-17.141232453135512,-1.3626708443407294,59532
Hydro,HC,MTU15-DA,Flat,-4.243934510653323,1.908545648852023,46.300098658881474,-43.43588201125655,-14.050011656412758,-4.134838203650495,59532
Hydro,HC,MTU15-DA,Midday,-5.539037620591956,5.446883092300666,77.2955228015754,-57.73299079642575,-50.36873763153922,8.949074382703778,59532
Hydro,IB,ISP15,Critical,-1.8957709368860172,2.7708726814558653,33.405038592045216,-19.077991645544618,21.209679653095005,-17.060914043228735,12744
Hydro,IB,ISP15,Flat,10.476738919295624,3.330058117911208,109.38136587062371,103.58948774254992,32.53027471295227,-13.082434049877508,12744
Hydro,IB,ISP15,Midday,-0.6477613423139231,3.212131541149391,32.60369604247449,-7.177188598117791,29.08170570124784,-12.542746499133694,12744
Hydro,IB,MTU15-IDA,Critical,4.1244707266738665,2.3863005276149036,47.41163580119544,39.90938373383715,24.60178019548097,4.537500758582903,6556
Hydro,IB,MTU15-IDA,Flat,-7.465454655198891,2.851438556164678,79.51419866786634,-75.51275487215165,23.839768889918904,3.7913354574055975,6556
Hydro,IB,MTU15-IDA,Midday,2.9131474808327398,1.1113432270899426,31.02305093530618,28.73789471105822,2.7541760933365005,4.214489143380873,6556
Hydro,IB,MTU15-DA,Critical,6.587076644184213,2.1458928608345973,68.93075549975691,66.01631132062151,-15.402806815278513,6.6091753070440955,26346
Hydro,IB,MTU15-DA,Flat,4.875478476409672,2.2525530881825047,53.437667362193466,49.23645633036086,-18.70737842993181,3.1387484924432743,26346
Hydro,IB,MTU15-DA,Midday,-6.965832523683251,1.8669748113941105,71.75537158808362,-68.98242466584689,-17.781753093616786,7.291415173000174,26346
Hydro,REP,ISP15,Critical,-4.024959055479825,3.949983174501315,56.111171661587335,-41.14500013261604,-31.44023514725933,16.341093474655004,1844
Hydro,REP,ISP15,Flat,0.7246719304996241,8.107666489811642,80.99185839558196,7.150147978165748,-74.04143959048777,26.851360456214906,1844
Hydro,REP,ISP15,Midday,-18.661842196151632,4.949130495517126,192.10170856803072,-187.01233955594464,-36.732739949207364,8.020832818749263,1844
Hydro,REP,MTU15-IDA,Critical,-9.96188263976148,11.291009075288677,149.8194686113811,-100.77511010648146,-100.98642657917735,33.60093923077176,859
