entsoe_eic,omie_code,description,owner_agent
18WPALOS1-123-0Z,PALOS1,C.C. PALOS 1,GAS NATURAL COMERCIALIZADORA
18WPALOS2-123-0R,PALOS2,C.C. PALOS 2,GAS NATURAL COMERCIALIZADORA
18WPALOS3-123-0J,PALOS3,C.C. PALOS 3,GAS NATURAL COMERCIALIZADORA
18WPBCN1-12345-D,PBCN1,C.C. PUERTO BARCELONA 1,GAS NATURAL COMERCIALIZADORA
18WPBCN2-12345-4,PBCN2,C.C. PUERTO DE BARCELONA  2,GAS NATURAL COMERCIALIZADORA
18WPGR5-123456-J,PGR5,C.C. PUENTES 5,"ENDESA GENERACIÓN, S.A."
18WPVENT1--1234A,PVENT1,C.C. PLANA DE VENT 1,GAS NATURAL COMERCIALIZADORA
18WPVENT2--12342,PVENT2,C.C. PLANA DE VENT 2,"ALPIQ ENERGÍA ESPAÑA, S.A.U."
18WSAGU1-123--0J,SAGU1,C.C. SAGUNTO 1,GAS NATURAL COMERCIALIZADORA
18WSAGU2-123--0A,SAGU2,C.C. SAGUNTO 2,GAS NATURAL COMERCIALIZADORA
18WSAGU3-123--01,SAGU3,C.C. SAGUNTO 3,GAS NATURAL COMERCIALIZADORA
18WSBO3-12345-01,SBO3,C.C. SABÓN 3,GAS NATURAL COMERCIALIZADORA
18WSRI5-123456-L,SRI5R,CC SOTO RIBERA 5 REPR,"EDP ESPAÑA, S.A.U. (GENERACIÓN)"
18WSROQ1-1234-06,SROQ1,C.C. SAN ROQUE 1,GAS NATURAL COMERCIALIZADORA
18WSROQ2-1234-0Y,SROQ2,C.C. SAN ROQUE 2,"ENDESA GENERACIÓN, S.A."
18WSTC4-12345-0I,STC4,C.C. SANTURCE 4,IBERDROLA ENERGÍA ESPAÑA S..A.
18WTAPOWER-12-0V,TAPOWER,C.C. TARRAGONA POWER,IBERDROLA ENERGÍA ESPAÑA S..A.
18WTARRAG-123-03,TAPOWER,C.C. TARRAGONA POWER,IBERDROLA ENERGÍA ESPAÑA S..A.
