agent_code,description,agent_type
ANGLB,"ENERGYASSET COMERCIALIZADORA DE ENERGIA, S.L.",COMERCIALIZADOR
ANIMA,GLOBELIGHT ENERGY SL,COMERCIALIZADOR
ANOIA,ANOIA D'ENERGIA  S.AU.,GENERACIÓN RECORE
ANTEA,ANTEA ENERGÍA COMERCIALIZADORA SL,COMERCIALIZADOR
ANTEL,HIDROELECTRICA ANTELLA ESCALONA,GENERACIÓN RECORE
ANTIS,ANTIS GUADARRAMA S.L,CONSUMIDOR DIRECTO
ANTUK,"ANTUKO ENERGIA, S.L",COMERCIALIZADOR
ANUBI,"ANUBIS ENERGIA, SL",GENERACIÓN
APHID,"APROVECHAMIENTOS HIDRÁULICOS GALLEGOS, S.A.",GENERACIÓN RECORE
APOLB,APOLO BUSINESS SL,COMERCIALIZADOR
APRES,APRESTOS DE LANERIA SA,CONSUMIDOR DIRECTO
APRIM,AUSARTA PRIMA S.L.,COMERCIALIZADOR
ARACA,ARACÁN ENERGÍA,COMERCIALIZADOR
ARAMO,"EL PARAMO PARQUE EÓLICO, S.L.",GENERACIÓN RECORE
ARAS,ARASOL,CONSUMIDOR DIRECTO
ARATO,"ARCILLAS ATOMIZADAS, S.A.",GENERACIÓN RECORE
ARAVI,"ARAGONESA DEL VIENTO, S.A.",GENERACIÓN RECORE
ARCAS,PIZARRAS LAS ARCAS,CONSUMIDOR DIRECTO
ARCPR,"PIZARRAS ARCAS PRADA, S.L.",CONSUMIDOR DIRECTO
ARCSO,ARCOSOL 50 S.A.,GENERACIÓN RECORE
ARDUG,"ARIÑO DUGLASS, S.A.",CONSUMIDOR DIRECTO
AREPO,AUDAX RENOVABLES S.A.-SUCURSAL EM PORTUGAL,COMERCIALIZADOR
AREVA,FUENTE AREVALILLO S.L.,CONSUMIDOR DIRECTO
ARFRU,ARCOFRUITS ESPAÑA SL,CONSUMIDOR DIRECTO
ARGIM,ARGIMODE SL,CONSUMIDOR DIRECTO
ARGUS,"COLABORA ENERGIA-ARGUS, S.L.",COMERCIALIZADOR
ARLA,"Eólica Arlanzón, S.A.",GENERACIÓN RECORE
ARMA,ARMADILLA S.L.U,CONSUMIDOR DIRECTO
ARNOY,HIDROELÉCTRICA DEL ARNOYA,GENERACIÓN RECORE
ARQUE,"ARTESANOS QUESEROS MANCHEGOS, S.L.",CONSUMIDOR DIRECTO
ARRUB,CONTOURGLOBAL LA RIOJA S.L. ,GENERACIÓN
ARTED,"ARTEMISA ENERGIA, S.L.U.",GENERACIÓN
ASIE,ASISTENCIA ENERGÉTICA S.L.,REPRESENTANTE
ASOL2,"MANCHASOL-2 CENTRAL TERMOSOLAR DOS, S.L.",GENERACIÓN RECORE
ASSEN,"ASSENN ENERGY, S.L.",COMERCIALIZADOR
AST,ASTURAGUA SEVICIO INTEGRAL DEL CICLO DEL AGUA SAU,CONSUMIDOR DIRECTO
ASTEN,ASTEN RENOVABLES S.L.U.,COMERCIALIZADOR
ASTIG,ASTIGLASS SL,CONSUMIDOR DIRECTO
ASTRA,ASTRALCAD ENERGIA SL,COMERCIALIZADOR
ASTUP,ASTURPESCA S.L.,CONSUMIDOR DIRECTO
ASUR,"AEROGENERADORES DEL SUR, S.A.",GENERACIÓN RECORE
ATAL,"ATOMIZADAS DE ALCORA, S.A.",GENERACIÓN RECORE
ATALA,"LAS NAVARRICAS DE BORDÓN, S.L.",GENERACIÓN RECORE
ATENC,ATENCO ENERGIA,COMERCIALIZADOR
ATIX,"ATOMIX, S.A.",GENERACIÓN
ATJ,A.T.J. ASESORÍA TÉCNICO JURÍDICA,GENERACIÓN RECORE
ATLAS,ATLAS ENERGIA COMERCIAL SL,COMERCIALIZADOR
ATOR,"ATOMCER, S.A.",GENERACIÓN
ATPEN,ATP ENERGIA SL,COMERCIALIZADOR
ATRES,ATRIA INVERSIONES ENERGIA S.L.,COMERCIALIZADOR
ATUDE,AGROELECTRICA TUDELANA,GENERACIÓN RECORE
ATZ,"ATOMIZADORA, S.A.",GENERACIÓN
AULLA,"ENERGÍAS ESPECIALES DEL ALTO ULLA, S.A.",GENERACIÓN RECORE
AVIL,AYUNTAMIENTO DE AVILES,CONSUMIDOR DIRECTO
AXPOP,AXPO ENERGIA PORTUGAL,COMERCIALIZADOR
AYLUZ,AYLUZ COMERCIALIZADORA ELECTRICA S.L,COMERCIALIZADOR
AZEB,"AZUCARERA EBRO, S.L.",GENERACIÓN RECORE
AZU1,AZULIBER 1 S.L.,GENERACIÓN RECORE
BACA,BACAICOA INDUSTRIAS PLASTICAS S.A,CONSUMIDOR DIRECTO
BAENA,"AGROENERGÉTICA DE BAENA, S.L.",GENERACIÓN RECORE
BAGE,"BARRAS ELECTRICAS GENERACION, S.L.",GENERACIÓN
BALEI,"BALEIKE, S.L.",CONSUMIDOR DIRECTO
BARCO,HIDROELECTRICA EL BARCO,GENERACIÓN RECORE
BAREI,"NORVENTO HIDRÁULICA, S.A.",GENERACIÓN RECORE
BARER,BARBO ENERGÍAS RENOVABLES S.A.,GENERACIÓN
BASKO,BASKONIA KIROL HIRIA SLU,CONSUMIDOR DIRECTO
BAZA,"Parque Eólico de Barbanza, S.A.",GENERACIÓN RECORE
BBEL,BAHIA DE BIZKAIA ELECTRICIDAD S.L.,GENERACIÓN
BCL,BIOCARBURANTES DE CASTILLA Y LEÓN,GENERACIÓN RECORE
BCO,"BÉTICA DE COGENERACIÓN, S.A.",GENERACIÓN
BCO1,"BÉTICA DE COGENERACIÓN 1, S.A.",GENERACIÓN
BEA,BECOSA EÓLICO ALIJAR,GENERACIÓN RECORE
BECO,"BASSOLS ENERGÍA COMERCIAL, S.L.",COMERCIALIZADOR
BEFE,"BEFESA VALORIZACIÓN DE AZUFRE, S.L.",GENERACIÓN RECORE
BELLA,VIRGEN DE LA BELLA,GENERACIÓN
BELMO,"PARQUE EÓLICO BELMONTE, S.A.",GENERACIÓN RECORE
BENOI,BEROIL ENERGIA ELECTRICA SLU,COMERCIALIZADOR
BERNA,BERNA TEXTIL S.L.,CONSUMIDOR DIRECTO
BESPI,BESPIN ENEGIA SL,COMERCIALIZADOR
BESTO,"BEST OPTION ENERGY, S.L.",COMERCIALIZADOR
BEYON,"LUZIA ENERGIA, S.L.",COMERCIALIZADOR
BIERZ,ENERGÍAS ALTERNATIVAS DEL BIERZO I,GENERACIÓN RECORE
BINEF,CLAVERIA ALCALA BINEFAR S.L.,CONSUMIDOR DIRECTO
BINGO,BINGO CIUDADELA S.A,CONSUMIDOR DIRECTO
BIOAS,"BIOASTUR, A.I.E.",GENERACIÓN RECORE
BIODI,BIODIESEL ARAGON SL,CONSUMIDOR DIRECTO
BIOFO,BIOFOSIL S.L,CONSUMIDOR DIRECTO
BIOGA,"BIOETANOL GALICIA, S.A.",GENERACIÓN RECORE
BIONO,BIONOR EÓLICA,GENERACIÓN RECORE
BIOPG,"BIOMASAS DE PUENTE GENIL, S.L.",GENERACIÓN
BIOPO,BIOCOMPOST DE LUGO SL,CONSUMIDOR DIRECTO
BIOV,"BIOVENT ENERGÍA, S.A.",GENERACIÓN RECORE
BIROU,BIROU GAS SL,COMERCIALIZADOR
BISA,"BIOENERGÍA SANTAMARÍA, S.A.",GENERACIÓN
BIZE,"BIZKAIA ENERGIA, S.L.",GENERACIÓN
BJAC,BENJAC,GENERACIÓN RECORE
BNPRU,"BON PREU, S.A.U.",COMERCIALIZADOR
BOAEN,"BOAENERGETICA 2000, S.L.",COMERCIALIZADOR
BOFIL,CLINICA BOFILL S.L.,CONSUMIDOR DIRECTO
BOIRO,"BOIRO ENERGIA, S.A.",GENERACIÓN
BONAR,"BOÑAR ENERGIA, S.L.",GENERACIÓN RECORE
BORDA,"DESTILACIONES BORDAS CHINCHURRETA, S.A.",CONSUMIDOR DIRECTO
BORE2,BOREAS EÓLICA 2,GENERACIÓN RECORE
BORJA,SANCHO DE BORJA S.L,CONSUMIDOR DIRECTO
BOTAR,CONSORCI GESTIO RESIDUS MUNICIPALS DEL BAIX CAMP,GENERACIÓN RECORE
BP,"BP GAS AND POWER IBERIA, S.A.U.",COMERCIALIZADOR
BPOIL,"BP OIL REFINERÍA DE CASTELLÓN, S.A.U.",GENERACIÓN RECORE
BRILE,"BRILEN, S.A.",GENERACIÓN
BRIVI,"BIOMASA BRIVIESCA, S.A.",GENERACIÓN RECORE
BRONC,AGUA DE BRONCHALES S.A.,CONSUMIDOR DIRECTO
BRUJU,EOLICA LA BRUJULA,GENERACIÓN RECORE
BSGEA,BSG ENERGIA SL,COMERCIALIZADOR
BSI,PARQUE EÓLICO DE BOBIA Y SAN ISIDRO,GENERACIÓN RECORE
BURGE,BURGALESA DE GENERACION EOLICA,GENERACIÓN RECORE
BVCOR,"BON VENT DE CORBERA, S.L.",GENERACIÓN RECORE
BVVIL,"BON VENT DE VILALBA, S.L.U",GENERACIÓN RECORE
BYENE,"BY ENERGYC ENERGIA EFICIENTE, S.L.",COMERCIALIZADOR
CABAN,E-COGENERACION CABANILLAS SL,GENERACIÓN RECORE
CADOS,CADOS 99,GENERACIÓN RECORE
CAFOR,INDUSTRIAS CAFOR SA,CONSUMIDOR DIRECTO
