unit_code,description,owner_agent,ownership_pct,unit_type,zone,technology
AFIBGEC,ALMACENAMIENTO COMPRA,IBERDROLA ENERGÍA ESPAÑA S..A.,100.0,ALMACENAMIENTO,ZONA ESPAÑOLA,Almacenamiento Compra
AFIBHEC,COMPRA HIBRIDACION EOLICA BAT,IBERDROLA ENERGÍA ESPAÑA S..A.,100.0,ALMACENAMIENTO,ZONA ESPAÑOLA,Almacenamiento Compra
AFIBHFC,COMPRA HIBRIDACION FV BATERIA,IBERDROLA ENERGÍA ESPAÑA S..A.,100.0,ALMACENAMIENTO,ZONA ESPAÑOLA,Almacenamiento Compra
AFIOLHC,UOF C BATERIA OLMEDILLA,IBERDROLA ENERGÍA ESPAÑA S..A.,100.0,ALMACENAMIENTO,ZONA ESPAÑOLA,Almacenamiento Compra
AFIREHC,UOF C BATERIA REVILLA,IBERDROLA ENERGÍA ESPAÑA S..A.,100.0,ALMACENAMIENTO,ZONA ESPAÑOLA,Almacenamiento Compra
AFIROHC,HIB ROMERAL OLMEDILLA,IBERDROLA ENERGÍA ESPAÑA S..A.,100.0,ALMACENAMIENTO,ZONA ESPAÑOLA,Almacenamiento Compra
ASRIHCC,UNIDAD OFERTA BATERIA SOTO,"EDP ESPAÑA, S.A.U. (GENERACIÓN)",100.0,ALMACENAMIENTO,ZONA ESPAÑOLA,Almacenamiento Compra
EGEDBAT,COMPRA BATERIA,ACCIONA GREEN ENERGY DEVELOPMENTS,100.0,ALMACENAMIENTO,ZONA ESPAÑOLA,Almacenamiento Compra
SMBC02,COMPRA BATERIA BATALHA,SIMPLES ENERGIA DE ESPAÑA SL,100.0,ALMACENAMIENTO,ZONA PORTUGUESA,Almacenamiento Compra
UPACAC,UOF ACADIEMS COMPRA,IGNIS ENERGIA S.L.,100.0,ALMACENAMIENTO,ZONA ESPAÑOLA,Almacenamiento Compra
UPXENC,UPXENC,GNERA ENERGIA Y TECNOLOGIA,100.0,ALMACENAMIENTO,ZONA ESPAÑOLA,Almacenamiento Compra
ACAVADB,BOMBAS DO CAVADO,EDP GEM PORTUGAL S.A.,100.0,BOMBEO,ZONA PORTUGUESA,Consumo Bombeo Mixto
ADOUROB,BOMBA DO DOURO,EDP GEM PORTUGAL S.A.,100.0,BOMBEO,ZONA PORTUGUESA,Consumo Bombeo Mixto
AGUB,C.H.B. AGUAYO BOMBEO,"REPSOL SERVICIOS RENOVABLES, S.A.",100.0,BOMBEO,ZONA ESPAÑOLA,Consumo de bombeo
ALIMAB,BOMBAS DO LIMA,EDP GEM PORTUGAL S.A.,100.0,BOMBEO,ZONA PORTUGUESA,Consumo Bombeo Mixto
BRENAB,UNIDAD OFERTA BOMBEO BREÑA 2,IGNIS ENERGIA S.L.,100.0,BOMBEO,ZONA ESPAÑOLA,Consumo Bombeo Puro
DOUSUPB,DOURO SUPERIOR BOMBAGEM,MOVHERA - HIDROELÉTRICAS DO NORTE SA,100.0,BOMBEO,ZONA PORTUGUESA,Consumo Bombeo Mixto
DUEB,UGH.B. DUERO BOMBEO,IBERDROLA ENERGÍA ESPAÑA S..A.,100.0,BOMBEO,ZONA ESPAÑOLA,Consumo Bombeo Mixto
ENDPRB,C.H.B.M. MONTAMARA BOMBEO,"ENDESA GENERACIÓN, S.A.",100.0,BOMBEO,ZONA ESPAÑOLA,Consumo de bombeo
GDLQB,GUADALQUIVIR BOMBEO,"ENDESA GENERACIÓN, S.A.",100.0,BOMBEO,ZONA ESPAÑOLA,Consumo de bombeo
GUADIAB,BACIA H. GUADIANA (BOMBAGEM),EDP GEM PORTUGAL S.A.,100.0,BOMBEO,ZONA PORTUGUESA,Consumo Bombeo Mixto
GUIB,C.H.B. GUILLENA BOMBEO,"ENDESA GENERACIÓN, S.A.",100.0,BOMBEO,ZONA ESPAÑOLA,Consumo de bombeo
IPB,C.H.B.IP BOMBEO,"ENDESA GENERACIÓN, S.A.",100.0,BOMBEO,ZONA ESPAÑOLA,Consumo Bombeo Puro
MLTB,C.H.B. MORALETS BOMBEO,"ENDESA GENERACIÓN, S.A.",100.0,BOMBEO,ZONA ESPAÑOLA,Consumo de bombeo
MONDEGB,BOMBEO DA AREA DE MONDEGO,EDP GEM PORTUGAL S.A.,100.0,BOMBEO,ZONA PORTUGUESA,Consumo Bombeo Mixto
MUEB,C.H.B. LA MUELA BOMBEO,IBERDROLA ENERGÍA ESPAÑA S..A.,100.0,BOMBEO,ZONA ESPAÑOLA,Consumo de bombeo
SILB,UGH.B. SIL BOMBEO,IBERDROLA ENERGÍA ESPAÑA S..A.,100.0,BOMBEO,ZONA ESPAÑOLA,Consumo Bombeo Mixto
SLTB,UGH.B. ESTANG. SALLENTE BOMB.,"ENDESA GENERACIÓN, S.A.",100.0,BOMBEO,ZONA ESPAÑOLA,Consumo de bombeo
TAJB,UGH.B. TAJO BOMBEO,IBERDROLA ENERGÍA ESPAÑA S..A.,100.0,BOMBEO,ZONA ESPAÑOLA,Consumo Bombeo Mixto
TAMEGAB,TAMEGAB,IBERDROLA ENERGÍA ESPAÑA S..A.,100.0,BOMBEO,ZONA PORTUGUESA,Consumo Bombeo Mixto
TANB,C.H.B. TANES BOMBEO,"EDP ESPAÑA, S.A.U. (GENERACIÓN)",100.0,BOMBEO,ZONA ESPAÑOLA,Consumo de bombeo
TJEB,C.H. B. TAJO ENCANTADA BOMBEO,"ENDESA GENERACIÓN, S.A.",100.0,BOMBEO,ZONA ESPAÑOLA,Consumo de bombeo
UFBB,C.H.B. BOLARQUE BOMBEO,GAS NATURAL COMERCIALIZADORA,100.0,BOMBEO,ZONA ESPAÑOLA,Consumo Bombeo Puro
ABASC01,UOF COMPRA ABASTE,ABASTE COMERCIALIZADORA S.L.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
ABOUC01,ABOUT WHITE,"ABOUT WHITE, S.L.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
ACCGC02,UNIDAD DE COMPRA,"ACCIONA GREEN, SUCURSAL PT",100.0,COMERCIALIZADOR,ZONA PORTUGUESA,Comercializador
ACHEC01,ACHER COMPRA,"ELECTRICA DE CHERA, S.C.V.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
ACNHC01,COMPRA,ACENHOL ENERGIA SL,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
ACRSC02,COMERCIALIZAÇÃO,"ACROSSCAPACITY, LDA",100.0,COMERCIALIZADOR,ZONA PORTUGUESA,Comercializador
ACSOC01,ACSOL,"ACSOL ENERGIA GLOBAL, S.A.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
ACTIC01,UNIDAD PARA OFERTAS DE COMPRA,ACTIVA COMERCIALIZADORA DE ENERGIA S.L.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
ADEIC01,ADEINNOVA ENERGIA,ADEINNOVA ENERGIA,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
ADELC01,ADELFAS COMPRAS,ADELFAS ENERGIA SL,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
ADREC02,AUDAX COMPRA PORTUGAL,AUDAX RENOVABLES S.A.,100.0,COMERCIALIZADOR,ZONA PORTUGUESA,Comercializador
ADURC01,ADURIZ ENERGÍA COMPRA (ESP),ADURIZ ENERGÍA SLU,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
ADXC01,ADX RENOVABLES,ADX RENOVABLES SL,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
ADXRM01,REPRE COMER 1,AUDAX RENOVABLES S.A.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
ADXRM02,REPRE COMER 2,AUDAX RENOVABLES S.A.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
ADXRM03,REPRE COMER 3,AUDAX RENOVABLES S.A.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
ADXRM04,ADS RPRE COMER 4,AUDAX RENOVABLES S.A.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
ADXRM06,REPRE COMER 6,AUDAX RENOVABLES S.A.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
ADXRM07,REPRE COMER 07,AUDAX RENOVABLES S.A.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
ADXRM08,REPRE COMER 8,AUDAX RENOVABLES S.A.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
ADXRM09,REPRE COMER 9,AUDAX RENOVABLES S.A.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
ADXRM10,ECO2,AUDAX RENOVABLES S.A.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
ADXRM11,FEED ENERGÍA,AUDAX RENOVABLES S.A.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
AEDEC01,AED ENERGIA,"AED ENERGÍA ELÉCTRICA, S.L.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
AEQC01,COMERCIALIZACIÓN AEQ,"AEQ W2M, S.A.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
AGENC01,ABESL COMPRA,"AB ENERGÍA 1903, S.L.U.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
AGLC02,UNIDADE DE COMPRA,AGORALUZ ENERGIA LDA,100.0,COMERCIALIZADOR,ZONA PORTUGUESA,Comercializador
AGRIC01,AGRI ENERGIA COMPRA (ESP),AGRI-ENERGÍA,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
AHOEC01,AHOEC01,AHORRA ENERGIA ASESORES SL,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
AHORC01,AHORA PENINSULA,AHORA LUZ ENERGÍA SL,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
AHTC01,COMPRA COMER,"COMERCIALIZADORA ELECTRICA DE TENERIFE, S.L.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
AIREC01,AIREC01,AIRE LIMPIO S.L.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
AJENC01,UNIDAD OFERTANTE A2J ENERGÍA,"A2J ENERGÍA, S.L.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
ALAHC01,U.O ALAHURIN,HIDROCARBUROS ALHAURÍN SL,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
ALBCC01,ALBCO_COMPRAS_UP,COMERCIALIZADORA ELECTRICA DE ALBATARREC SLU,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
ALDDC01,18W000000000OLLT,"ACCIONA COMERCIALIZADORA B2C, S.L. UNIPERSONAL",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
ALDRC01,COMERCIALIZADORA ALDRO ENERGIA,"ENI PLENITUDE IBERIA, S.L.U.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
ALDRC02,COMERCIALIZADORA ELECTRICA PT,"ENI PLENITUDE IBERIA, S.L.U.-SUCURSAL EM PORTUGAL",100.0,COMERCIALIZADOR,ZONA PORTUGUESA,Comercializador
ALFAC02,ALFA ENERGIA,"ALFA ENERGIA, LDA",100.0,COMERCIALIZADOR,ZONA PORTUGUESA,Comercializador
ALGICA1,ALGICA1,"SUMINISTROS ESPECIALES ALGINETENSES, S.C.V.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
ALIOC01,COMPRA COMERCIALIZADORA,ALIO ENERGIA S.L.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
ALPXC01,"ALPEX IBERICA DE ENERGIA,S.L","ALPEX IBERICA DE ENERGIA,S.L",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
ALUEC01,ALUZ PENINSULAR,ALUZ ENERGÍA ELÉCTRICA SL,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
ALUZC01,ALUZC01,AHORRELUZ SERVICIOS ONLINE SL,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
AMAZC01,AMAZON COMPRA,COMERCIALIZADORA DE ENERGIAS RENOVABLES Y DE SERVICIOS DE LUZ AMA Y GAS ZON SL,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
AMEC01,AG. MERCADO ELÉCTRICO COM(ESP),FACTOR ENERGIA ESPAÑA SAU,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
AMELC01,UNIDAD DE COMERCIALICION,ARCELORMITTAL ENERGY S.C.A,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
AMIC01,COMPRA COMERCIALIZADORA AMI,AMI ELECTRUM S.L.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
ANGLC01,"ANGLER ENERGIA, S.L.","ENERGYASSET COMERCIALIZADORA DE ENERGIA, S.L.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
ANTEC01,ANTEA ENERGÍA COMERCIALIZADORA,ANTEA ENERGÍA COMERCIALIZADORA SL,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
ANTUC01,ANTUKO COM,"ANTUKO ENERGIA, S.L",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
APOLC01,UP PENINSULAR,APOLO BUSINESS SL,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
ARACC01,ARACÁN ENERGÍA,ARACÁN ENERGÍA S.L.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
