firm,regime,rt2_total_mwh,rt2_up_mwh,rt2_down_mwh,n_days,rt2_per_firm_day,rt2_up_per_firm_day,rt2_down_per_firm_day
GE,pre-IDA,-5001649.100000002,70482.49999999999,-5072131.600000003,2357,-2122.0403478998737,29.903478998727188,-2151.9438268986014
GE,3-sess,-175600.59999999998,2500.5,-178101.1,169,-1039.0568047337276,14.79585798816568,-1053.8526627218935
GE,ISP15-win,-113299.4,4360.9,-117660.29999999999,108,-1049.0685185185184,40.3787037037037,-1089.447222222222
GE,DA60/ID15,0.0,0.0,0.0,195,0.0,0.0,0.0
GE,DA15/ID15,1094763.7999999968,1094763.7999999968,0.0,112,9774.676785714257,9774.676785714257,0.0
GN,pre-IDA,-5071865.100000031,149365.59999999998,-5221230.700000033,2357,-2151.8307594399794,63.37106491302502,-2215.201824353005
GN,3-sess,0.0,0.0,0.0,169,0.0,0.0,0.0
GN,ISP15-win,0.0,0.0,0.0,108,0.0,0.0,0.0
GN,DA60/ID15,0.0,0.0,0.0,195,0.0,0.0,0.0
GN,DA15/ID15,1998646.1999999937,1998646.1999999937,0.0,112,17845.0553571428,17845.0553571428,0.0
HC,pre-IDA,28963.0,29187.8,-224.8,2357,12.288078065337293,12.383453542638948,-0.09537547730165465
HC,3-sess,0.0,0.0,0.0,169,0.0,0.0,0.0
HC,ISP15-win,0.0,0.0,0.0,108,0.0,0.0,0.0
HC,DA60/ID15,0.0,0.0,0.0,195,0.0,0.0,0.0
HC,DA15/ID15,143384.69999999984,143384.69999999984,0.0,112,1280.2205357142843,1280.2205357142843,0.0
IB,pre-IDA,-8391904.199999936,115256.59999999998,-8507160.799999937,2357,-3560.4175647008637,48.89970301230377,-3609.3172677131683
IB,3-sess,0.0,0.0,0.0,169,0.0,0.0,0.0
IB,ISP15-win,0.0,0.0,0.0,108,0.0,0.0,0.0
IB,DA60/ID15,0.0,0.0,0.0,195,0.0,0.0,0.0
IB,DA15/ID15,2873462.900000004,2873462.900000004,0.0,112,25655.918750000037,25655.918750000037,0.0
