series,hour,mean,sd,n,cv
"Wind (ENTSO-E A75 realized, MWh)",1,7108.492796248935,3670.4454086821297,1173,0.5163465046513066
"Wind (ENTSO-E A75 realized, MWh)",2,6884.537863247863,3622.261837797997,1170,0.5261445153980389
"Wind (ENTSO-E A75 realized, MWh)",3,6760.552216538789,3683.2690084807373,1173,0.5448177738306808
"Wind (ENTSO-E A75 realized, MWh)",4,6658.469522591646,3679.5753842967574,1173,0.5526157883297742
"Wind (ENTSO-E A75 realized, MWh)",5,6621.105924978687,3808.8902961490535,1173,0.5752649692220887
"Wind (ENTSO-E A75 realized, MWh)",6,6483.572354948806,3925.4218322010975,1172,0.6054412008227049
"Wind (ENTSO-E A75 realized, MWh)",7,6202.382821824382,3980.4120302694346,1173,0.6417552970551128
"Wind (ENTSO-E A75 realized, MWh)",8,5902.861253196931,3980.585924516459,1173,0.6743485495886614
"Wind (ENTSO-E A75 realized, MWh)",9,5723.677323103154,3944.0870026191565,1173,0.6890826963111937
"Wind (ENTSO-E A75 realized, MWh)",10,5783.970801364024,3955.1564372204075,1173,0.6838133477934691
"Wind (ENTSO-E A75 realized, MWh)",11,5921.447783461211,3989.8290203539914,1173,0.6737928233527126
"Wind (ENTSO-E A75 realized, MWh)",12,6116.595481670929,4001.957206567341,1173,0.6542785473650593
"Wind (ENTSO-E A75 realized, MWh)",13,6318.725916453538,3999.0170975753276,1173,0.6328834563249778
"Wind (ENTSO-E A75 realized, MWh)",14,6532.251705029838,3986.312497462892,1173,0.6102509023639473
"Wind (ENTSO-E A75 realized, MWh)",15,6782.598678601876,3977.391198332619,1173,0.5864111068344227
"Wind (ENTSO-E A75 realized, MWh)",16,7061.077791986359,4011.7670152241208,1173,0.5681522188832261
"Wind (ENTSO-E A75 realized, MWh)",17,7393.421355498721,4093.1087471146066,1173,0.5536149707023572
"Wind (ENTSO-E A75 realized, MWh)",18,7627.077152600171,4125.199862907431,1173,0.5408624798689884
"Wind (ENTSO-E A75 realized, MWh)",19,7696.6261722080135,4089.159037637309,1173,0.5312924060678665
"Wind (ENTSO-E A75 realized, MWh)",20,7781.188832054561,4065.286578820528,1173,0.5224505749139006
"Wind (ENTSO-E A75 realized, MWh)",21,7747.028772378517,3964.839632024462,1173,0.5117884221833301
"Wind (ENTSO-E A75 realized, MWh)",22,7630.1485933503845,3872.744104371454,1173,0.5075581500138177
"Wind (ENTSO-E A75 realized, MWh)",23,7494.388150042626,3793.5840052090425,1173,0.5061899556386689
"Solar (ENTSO-E A75 realized, MWh)",0,128.94995737425404,180.22660308001912,1173,1.3976476359503078
"Solar (ENTSO-E A75 realized, MWh)",1,115.0092071611253,174.76319360800923,1173,1.5195582851307716
"Solar (ENTSO-E A75 realized, MWh)",2,98.38504273504273,158.52149373589668,1170,1.6112357054395483
"Solar (ENTSO-E A75 realized, MWh)",3,104.49104859335038,171.14007684067647,1173,1.6378443813565817
"Solar (ENTSO-E A75 realized, MWh)",4,93.23529411764706,157.00561270924157,1173,1.683971871329405
"Solar (ENTSO-E A75 realized, MWh)",5,169.96632566069906,273.20725752260597,1173,1.607419919566921
"Solar (ENTSO-E A75 realized, MWh)",6,1228.830247440273,1674.8361799085035,1172,1.36295162281144
"Solar (ENTSO-E A75 realized, MWh)",7,3873.9256180733164,3873.0504438314547,1173,0.9997740859458482
"Solar (ENTSO-E A75 realized, MWh)",8,7284.218456947997,4798.9517657934475,1173,0.6588149153072151
"Solar (ENTSO-E A75 realized, MWh)",9,9995.44863597613,4483.158288260694,1173,0.4485199665900619
"Solar (ENTSO-E A75 realized, MWh)",10,11352.165814151747,4282.59544143693,1173,0.3772491973380264
"Solar (ENTSO-E A75 realized, MWh)",11,11807.75021312873,4131.791115116132,1173,0.34992196146917987
"Solar (ENTSO-E A75 realized, MWh)",12,11848.942028985508,4063.7335898738825,1173,0.3429617243407017
"Solar (ENTSO-E A75 realized, MWh)",13,11649.85358056266,4068.7339113741127,1173,0.3492519355060944
"Solar (ENTSO-E A75 realized, MWh)",14,11120.1289428815,4114.0022055976115,1173,0.3699599372209772
"Solar (ENTSO-E A75 realized, MWh)",15,9958.399616368286,4297.70593572126,1173,0.4315659243737584
"Solar (ENTSO-E A75 realized, MWh)",16,7532.63000852515,4632.377234109795,1173,0.6149747470494427
"Solar (ENTSO-E A75 realized, MWh)",17,4441.774083546462,4153.075096883232,1173,0.9350036761814047
"Solar (ENTSO-E A75 realized, MWh)",18,1823.0777919863597,2231.8091986168306,1173,1.2241985550079748
"Solar (ENTSO-E A75 realized, MWh)",19,532.2728047740835,593.8220685218283,1173,1.1156348083082483
"Solar (ENTSO-E A75 realized, MWh)",20,281.75,277.9938887381664,1173,0.9866686379349295
"Solar (ENTSO-E A75 realized, MWh)",21,203.31606990622336,216.01420321220687,1173,1.062455138503515
"Solar (ENTSO-E A75 realized, MWh)",22,168.3921568627451,196.4175777600072,1173,1.166429490656773
"Solar (ENTSO-E A75 realized, MWh)",23,139.22847399829496,180.42719682010858,1173,1.2959073071670537
