series,hour,mean,sd,n,cv
"Residual demand (Load $-$ Wind $-$ Solar, MWh)",0,846.9008836317136,7078.544166101978,1173,8.358173078941054
"Residual demand (Load $-$ Wind $-$ Solar, MWh)",1,602.0588661551577,6713.644861436278,1173,11.15114358220595
"Residual demand (Load $-$ Wind $-$ Solar, MWh)",2,505.7271688034188,6448.788717151167,1170,12.751517250713249
"Residual demand (Load $-$ Wind $-$ Solar, MWh)",3,456.07099317988065,6387.4494063344455,1173,14.005384034180722
"Residual demand (Load $-$ Wind $-$ Solar, MWh)",4,511.52877237851663,6364.828612699403,1173,12.44275778096332
"Residual demand (Load $-$ Wind $-$ Solar, MWh)",5,597.3417732310315,6514.66585151058,1173,10.906094539935898
"Residual demand (Load $-$ Wind $-$ Solar, MWh)",6,273.60424488054605,7018.38660472189,1172,25.651599841903312
"Residual demand (Load $-$ Wind $-$ Solar, MWh)",7,-1278.6966965046888,8254.503754739964,1173,-6.455403988532707
"Residual demand (Load $-$ Wind $-$ Solar, MWh)",8,-3872.1960997442457,9076.443284006888,1173,-2.344004035489416
"Residual demand (Load $-$ Wind $-$ Solar, MWh)",9,-6031.082118499574,9306.495494003222,1173,-1.5430888373177238
"Residual demand (Load $-$ Wind $-$ Solar, MWh)",10,-7227.502642796248,9373.047236530332,1173,-1.2968583617015454
"Residual demand (Load $-$ Wind $-$ Solar, MWh)",11,-7765.699275362319,9376.485238569581,1173,-1.2074231702890799
"Residual demand (Load $-$ Wind $-$ Solar, MWh)",12,-7945.684846547314,9394.083830194182,1173,-1.1822874946111472
"Residual demand (Load $-$ Wind $-$ Solar, MWh)",13,-7881.968606138108,9408.541692351864,1173,-1.1936791634801656
"Residual demand (Load $-$ Wind $-$ Solar, MWh)",14,-7669.537936913896,9297.472344842932,1173,-1.2122597764454233
"Residual demand (Load $-$ Wind $-$ Solar, MWh)",15,-7034.167220801364,9216.637037167042,1173,-1.310266979424615
"Residual demand (Load $-$ Wind $-$ Solar, MWh)",16,-5033.667881500426,9455.350750870164,1173,-1.8784216546387902
"Residual demand (Load $-$ Wind $-$ Solar, MWh)",17,-2267.1882139812446,9400.379642968224,1173,-4.146272279027466
"Residual demand (Load $-$ Wind $-$ Solar, MWh)",18,273.1391091219096,8775.749778513466,1173,32.129231902109645
"Residual demand (Load $-$ Wind $-$ Solar, MWh)",19,1790.5358269394715,8543.985779948904,1173,4.771748016096932
"Residual demand (Load $-$ Wind $-$ Solar, MWh)",20,2211.6848891730606,8673.494395314168,1173,3.92166824386866
"Residual demand (Load $-$ Wind $-$ Solar, MWh)",21,2278.33173486786,8583.316187927623,1173,3.767368929013949
"Residual demand (Load $-$ Wind $-$ Solar, MWh)",22,1763.4586988491048,7997.606076033562,1173,4.535181958757005
"Residual demand (Load $-$ Wind $-$ Solar, MWh)",23,1123.2010869565217,7388.387879558215,1173,6.577974296283969
"Load (P48 demand, MW)",0,8302.652205029837,6083.420543704405,1173,0.7327081026011185
"Load (P48 demand, MW)",1,7825.560869565218,5716.46902729934,1173,0.730486813990745
"Load (P48 demand, MW)",2,7488.650074786325,5467.299778143796,1170,0.7300781480699371
"Load (P48 demand, MW)",3,7321.114258312021,5353.069062761771,1173,0.7311822864510233
"Load (P48 demand, MW)",4,7263.233589087809,5330.578079957599,1173,0.7339125218230889
"Load (P48 demand, MW)",5,7388.414023870418,5446.762293611142,1173,0.737203177300811
"Load (P48 demand, MW)",6,7998.86353367434,5978.21684322149,1173,0.7473832773935762
"Load (P48 demand, MW)",7,8797.611743393009,6759.107873376563,1173,0.7682889482424183
"Load (P48 demand, MW)",8,9314.883610400682,7231.235207689966,1173,0.7763097758533252
"Load (P48 demand, MW)",9,9688.04384057971,7512.873728381702,1173,0.7754789152494327
"Load (P48 demand, MW)",10,9908.633972719523,7660.087728503863,1173,0.7730720248213464
"Load (P48 demand, MW)",11,9963.498721227621,7648.648795634745,1173,0.767666962142425
"Load (P48 demand, MW)",12,10019.852664109123,7650.45840681121,1173,0.7635300301585244
"Load (P48 demand, MW)",13,10086.61089087809,7625.774423302119,1173,0.7560294043065101
"Load (P48 demand, MW)",14,9982.842710997442,7486.398563151151,1173,0.7499265269304382
"Load (P48 demand, MW)",15,9706.831074168798,7242.654190384197,1173,0.7461399230133805
"Load (P48 demand, MW)",16,9560.039919011082,7086.454847625586,1173,0.7412578721071521
"Load (P48 demand, MW)",17,9568.007225063939,7024.48074042585,1173,0.734163402597024
"Load (P48 demand, MW)",18,9723.294053708441,7146.602524012556,1173,0.7349980865061732
"Load (P48 demand, MW)",19,10019.43480392157,7474.565171408265,1173,0.7460066678095204
"Load (P48 demand, MW)",20,10274.623721227621,7709.636944503839,1173,0.7503571083168274
"Load (P48 demand, MW)",21,10228.6765771526,7653.984822865935,1173,0.7482869132808778
"Load (P48 demand, MW)",22,9561.999449062234,7059.241222056654,1173,0.7382599486291509
"Load (P48 demand, MW)",23,8756.817710997442,6405.208942962252,1173,0.7314539544334844
"Wind (ENTSO-E A75 realized, MWh)",0,7326.8013640238705,3731.8270835590947,1173,0.5093391915718021
