tech,n_pre,n_da15,R2_lin,R2_logit,obs_share,cal_match_share,lin_seasonal_share,lin_full_share,lin_n_oob,logit_seasonal_share,logit_full_share,resid_lin_seasonal_pp,resid_lin_full_pp,resid_logit_seasonal_pp,resid_logit_full_pp,lin_amp_4,logit_amp_4,lin_amp_1,logit_amp_1
CCGT,894,101,0.4619822017788956,0.48747322212810795,0.3360954254897153,0.1951271377385138,0.1766355991304826,0.010810882467230047,21,0.1744506856194899,0.06625164712383624,15.945982635923272,32.52845430224853,16.164473987022543,26.984377836587907,0.010044741679506424,0.07891906202175648,0.027548093034379578,0.15624903901252413
Wind,894,101,0.5377621624226201,0.553653285698923,0.2788507021150131,0.292909168125549,0.3153962834092636,-0.6639081864772035,101,0.09709498221759377,0.004065972476111301,-3.654558129425051,94.27588885922167,18.175571989741933,27.478472963890184,0.04110210820250048,0.6880524876673914,0.10206343755948,1.12009029866058
Solar_PV,894,101,0.5168519939670443,0.5601188855072573,0.4003128553798069,0.3932245239334542,0.3671892086130089,-0.09368382848404824,76,0.32374256804198787,0.3049454459335163,3.3123646766797963,49.39966838638551,7.657028733781901,9.536740944629058,0.030544437719465693,0.16809576744242002,0.08821158580208863,0.9324580486402987
Hydro,894,101,0.5979374479336406,0.5683826597413181,0.34849036659820515,0.3347982284938983,0.32834474982306217,0.90958300346384,15,0.31509524156380825,0.9215594724253647,2.0145616775142985,-56.10926368656348,3.33951250343969,-57.30691058271595,0.02054296606895394,0.07462582708424105,0.03290055285745189,0.15386969950775248
Nuclear,894,101,0.538995148928415,0.5036554530865462,0.11908753502590774,0.26914433604690824,0.29647770628333603,-1.0150867603175995,101,0.03504312033173684,1.8310420968800515e-06,-17.73901712574283,113.41742953435072,8.40444146941709,11.908570398381087,0.0205949402717991,0.34754720684270096,0.09982870227875722,0.9646133345432907
