parent_group,ccgt_share_critical_pct,ccgt_share_other_pct
GN (Naturgy),31.81,30.09
GE (Endesa),18.62,14.67
Repsol,17.53,24.64
IB (Iberdrola),14.68,14.31
TotalEnergies,13.33,11.67
HC (EDP-Spain),1.59,2.21
Other,1.52,1.68
Engie,0.39,0.24
Alpiq,0.34,0.37
Ignis,0.16,0.07
Moeve (Cepsa),0.04,0.05
