parent_group,total_share_critical_pct,total_share_other_pct
GE (Endesa),18.25,15.71
IB (Iberdrola),15.98,12.95
Other,15.68,19.87
Axpo,7.39,7.59
GN (Naturgy),6.93,5.4
Acciona,6.66,6.21
Repsol,6.4,5.13
GNERA,5.07,6.51
Ignis,5.03,6.93
HC (EDP-Spain),3.23,2.88
Enel-Green,2.07,2.93
Engie,2.04,1.87
Galp,1.6,2.04
TotalEnergies,1.26,0.72
Alpiq,1.11,1.39
Moeve (Cepsa),0.74,0.7
Shell,0.56,1.17
