parent_group,flexible_strategic_pct,other_pct,price_taking_in_DA_pct,total_mwh
Other,1.2,4.6,94.2,9864996.375001796
GE (Endesa),24.7,0.0,75.3,7946740.299999956
IB (Iberdrola),19.3,0.0,80.7,6571977.874999865
Axpo,0.0,0.0,100.0,3803082.9000000437
Ignis,0.1,0.0,99.9,3430473.049999963
GNERA,3.4,0.0,96.6,3231845.7499999255
Acciona,0.0,0.0,100.0,3124325.7250000187
GN (Naturgy),26.6,0.0,73.4,2746547.8249999853
Repsol,45.6,0.0,54.4,2604043.8749999995
HC (EDP-Spain),4.2,0.0,95.8,1452038.55
Enel-Green,0.0,0.0,100.0,1450349.5249999985
Galp,0.0,0.0,100.0,1012756.6249999858
Engie,0.8,0.0,99.2,942147.1999999855
Alpiq,1.2,0.0,98.8,688741.4750000029
Shell,0.0,0.0,100.0,572280.9750000016
TotalEnergies,70.6,0.0,29.4,372863.3249999997
Moeve (Cepsa),0.3,0.0,99.7,350300.02500000555
