parent_group,flex_share_critical_pct,flex_share_other_pct
IB (Iberdrola),30.78,21.28
GE (Endesa),28.55,34.88
Repsol,17.03,21.13
GN (Naturgy),14.34,12.61
TotalEnergies,5.38,4.52
Other,1.46,2.2
GNERA,1.13,1.99
HC (EDP-Spain),0.94,1.07
Engie,0.17,0.12
Alpiq,0.14,0.14
Ignis,0.06,0.03
Moeve (Cepsa),0.01,0.02
Axpo,0.0,0.0
