hour,Biomass,CCGT,Coal,Cogen,Hybrid_RES,Hybrid_RES_storage,Hydro,Hydro_RES,Hydro_pump,Nuclear,Other,Solar PV,Wind
0,0.0,0.253971513157799,0.0,0.0003757082756300758,0.0,0.0,0.3629531252957975,0.00022280374485039383,0.2968051690468805,0.08308322520798657,0.0,0.0,0.002588455271056046
1,0.00010947671204941476,0.35833445135531095,0.003863883954685227,0.0013244535555782143,0.0026381741001711913,0.0003166238240644839,0.4158741232471652,0.00027154517792648956,0.11510724961226997,0.062272929736343574,0.0,0.0,0.03988708872443532
2,0.00019816987121360432,0.3266199786456951,0.006485559421536141,0.0019132400293531615,0.0033376610430460993,0.0008623391971598055,0.3819418005113984,0.0002522161997264055,0.11232148197434841,0.0,0.0,0.0,0.1660675531065229
3,0.00027671006822160957,0.3521034996276992,0.00905596586907086,0.003008593105391317,0.004890221569298264,0.0010791692660642772,0.3269027590509348,0.000344629812239641,0.07438469743011814,0.0,0.0,0.0,0.2279537542009619
4,0.0002801248847668088,0.3575730489301776,0.009167723501459196,0.003730754147121588,0.005248521704585391,0.00112431942385951,0.3063789529441126,0.00015024880182947016,0.06673848050076144,0.0,0.0,0.0,0.24960782516132649
5,0.00024815547165895317,0.298958536604624,0.008121451799747558,0.0027985169326630115,0.0048130881707670594,0.0010839882193829726,0.36093085373378103,0.0005865492966484347,0.11038180975273562,0.0,0.0,0.0,0.21207705001799126
6,5.386891440425388e-05,0.37375917852843843,0.001762982653230127,0.0009412368498634181,0.0010489746786719256,0.00015866843879071144,0.3705828714482021,0.0002291877449199165,0.22845806598844068,0.0,0.0,0.0,0.023004964755038465
7,0.0,0.27837880401562043,0.00017795003341011882,0.0005623221055759755,0.0,0.0,0.39759464939839545,0.00018684753508062474,0.27362486887306914,0.048980746696135204,0.0,0.0,0.0004938113427130797
8,0.0,0.2899779670562416,0.0004517092737077092,0.000478850603458387,0.0,0.0,0.4116990763223886,6.300665834978776e-05,0.27954212576710613,0.017787264318747775,0.0,0.0,0.0
9,3.697103067671271e-05,0.26784335374302276,0.0005604472150310768,0.0012435710318530638,0.0014057394164122808,0.0006570760452088486,0.35831902806521354,0.00014704387200965282,0.18016571424250138,0.07710476497767875,8.234456832540559e-05,0.007095917137837245,0.10533802865422927
10,0.0003670809998433102,0.252637796984345,0.01324139879194305,0.007496102982772202,0.01595514991102516,0.002533520968858437,0.21834478101301122,0.000803311526711212,0.05788551045224527,0.0,0.000982070410402443,0.04866140492712449,0.38109187103171815
11,0.0005428244388976911,0.2920604030724698,0.01716064087843414,0.011595945560250237,0.020563572130404183,0.00315028848348199,0.11990819057130037,0.0008884206788106009,0.021471060187968603,0.0,0.0020431888045885646,0.1150632888010731,0.3955521763923208
12,0.0005480709614877385,0.2738943524712862,0.019730554613558587,0.012707710330795078,0.020132701681550215,0.003986531156121438,0.10188844700667617,0.0008618415869394688,0.0018497394950211174,0.0,0.00266225469542669,0.1700568281078193,0.39168096789331797
13,0.0006122896890915167,0.298709452954703,0.020201818662489966,0.011907849778278808,0.021511195798021725,0.00325161988657053,0.10956992572714079,0.000942751537582865,0.0036475505918384657,0.0,0.002468487656938203,0.12291621981573943,0.40426083790160466
14,0.000610117997650838,0.3090185401162959,0.026147914185035922,0.011792155902441993,0.02764346419741814,0.0022198057306820175,0.1199262324452727,0.0009068760713381507,0.00494596789478854,0.024861270788629392,0.0026071822371269947,0.10082649544625082,0.3684939769870685
15,0.0005376550042575554,0.26980872251154786,0.026613922710749003,0.010499730164394736,0.023184355852341125,0.002335438924743757,0.11287260331880992,0.0007076883993540076,0.014118820411803411,0.03619090247408671,0.00230183548697766,0.08309054849547325,0.41773777624546105
16,0.0003851383429846688,0.2690590997613273,0.015986874614457948,0.0068275258454472895,0.016100720539742725,0.000913997073917495,0.20238414360411977,0.0004327759996641142,0.1180614541919523,0.029508702350232053,0.0016358286852975656,0.04632398774016645,0.2923797512506903
17,0.000152115059328016,0.2776212976168851,0.0023885835762250444,0.0020981820993261047,0.006913692303920857,0.0007643467443920142,0.27344253350774184,0.00031680161116247953,0.22246513139409677,0.02290337362287156,0.0004374879392243765,0.010453824593736505,0.18004262993108933
18,0.0,0.3883409165842399,0.00070359380151665,0.00041674909330695673,0.0,0.0001219914276294098,0.3303422354104847,0.000295417078799868,0.22596439169139465,0.03565446752390372,6.19848334981866e-05,0.00751269370260468,0.010585558852621168
19,0.0,0.44318221720327733,0.001849097362385159,5.6182221416943684e-05,0.0,0.0,0.36255440897005337,0.00011798266497558174,0.1787142417717624,0.013525869806129192,0.0,0.0,0.0
20,0.0,0.4469182889379207,0.002297614286565633,0.0,0.0,0.0,0.4160290188684393,0.00015508896434318024,0.13459998894273115,0.0,0.0,0.0,0.0
21,0.0,0.4272158321129049,0.0010555717060464387,0.0,0.0,0.0,0.3470838003263008,0.0002925371933615997,0.2243522586613863,0.0,0.0,0.0,0.0
22,0.0,0.36687464641153766,0.0,0.0,0.0,0.0,0.3633228385988093,0.00011364785898673563,0.26968886713066625,0.0,0.0,0.0,0.0
23,0.0,0.28696182382818325,0.0,0.00010949319705080074,0.0,0.0,0.3489685056505333,0.00010675586712453072,0.3132607210948225,0.05059270036228562,0.0,0.0,0.0
