hour_class,matched_share_3-sess (Jun-Nov 2024),n_periods_3-sess (Jun-Nov 2024),matched_share_ISP15-win (Dec24-Mar25),n_periods_ISP15-win (Dec24-Mar25),matched_share_DA60/ID15 pre-blk (Mar19-Apr27),n_periods_DA60/ID15 pre-blk (Mar19-Apr27),matched_share_DA60/ID15 post-blk (Apr28-Sep),n_periods_DA60/ID15 post-blk (Apr28-Sep),matched_share_DA15/ID15 (Oct-Dec 2025),n_periods_DA15/ID15 (Oct-Dec 2025)
Critical,0.38877005347593585,1870,0.3055555555555556,1188,0.4590909090909091,440,0.4155011655011655,1716,0.3115118577075099,4048
Dropped,0.4387855044074437,1021,0.3132716049382716,648,0.5188284518828452,239,0.4188034188034188,936,0.30063291139240506,2212
Flat,0.39019607843137255,510,0.23148148148148148,324,0.375,120,0.3782051282051282,468,0.20833333333333334,1104
Midday,0.3382352941176471,680,0.2916666666666667,432,0.7875,160,0.5512820512820513,624,0.28464673913043476,1472
