hour_class,matched_share_3-sess (Jun-Nov 2024),n_periods_3-sess (Jun-Nov 2024),matched_share_ISP15-win (Dec24-Mar25),n_periods_ISP15-win (Dec24-Mar25),matched_share_DA60/ID15 pre-blk (Mar19-Apr27),n_periods_DA60/ID15 pre-blk (Mar19-Apr27),matched_share_DA60/ID15 post-blk (Apr28-Sep),n_periods_DA60/ID15 post-blk (Apr28-Sep),matched_share_DA15/ID15 (Oct-Dec 2025),n_periods_DA15/ID15 (Oct-Dec 2025)
Critical,0.26399331662489556,4788,0.24376012965964344,3085,0.40187119234116625,4596,0.3508551881413911,17540,0.3198715453483846,10276
Dropped,0.27260926006057984,2311,0.2738255033557047,1490,0.43693284936479126,2204,0.3633886255924171,8440,0.3215440582053355,4948
Flat,0.2765957446808511,987,0.2566510172143975,639,0.37341772151898733,948,0.3427777777777778,3600,0.2904761904761905,2100
Midday,0.32323788546255505,1816,0.2743589743589744,1170,0.5875286041189931,1748,0.46531531531531534,6660,0.3905128205128205,3900
