hour,n_all,n_matched,unmatched_share
0,368,239.0,0.3505434782608695
1,368,195.0,0.47010869565217395
2,368,161.0,0.5625
3,368,151.0,0.5896739130434783
4,368,159.0,0.5679347826086957
5,368,167.0,0.5461956521739131
6,368,194.0,0.47282608695652173
7,368,214.0,0.4184782608695652
8,368,230.0,0.375
9,368,215.0,0.4157608695652174
10,368,185.0,0.4972826086956522
11,368,170.0,0.5380434782608696
12,368,155.0,0.5788043478260869
13,368,162.0,0.5597826086956521
14,368,168.0,0.5434782608695652
15,368,164.0,0.5543478260869565
16,368,175.0,0.5244565217391304
17,368,229.0,0.3777173913043478
18,368,263.0,0.28532608695652173
19,368,253.0,0.3125
20,368,285.0,0.2255434782608695
21,368,288.0,0.21739130434782605
22,368,293.0,0.20380434782608692
23,368,254.0,0.3097826086956522
