hour,Biomass,CCGT,Coal,Cogen,Hybrid_RES,Hydro,Hydro_RES,Hydro_pump,Import,Nuclear,RE_Tarifa_CUR,Solar PV,Solar Thermal,Wind
0,0.0,0.19298245614035087,0.008771929824561403,0.03508771929824561,0.0,0.49122807017543857,0.017543859649122806,0.14912280701754385,0.043859649122807015,0.0,0.0,0.0,0.02631578947368421,0.03508771929824561
1,0.0,0.13636363636363635,0.0,0.08333333333333333,0.0,0.6439393939393939,0.0303030303030303,0.053030303030303025,0.0,0.0,0.0,0.0,0.0,0.05303030303030303
2,0.02040816326530612,0.1649659863945578,0.0,0.09523809523809523,0.0,0.5459183673469388,0.018707482993197275,0.06802721088435375,0.006802721088435374,0.0,0.0,0.02040816326530612,0.0,0.059523809523809514
3,0.025,0.25,0.0,0.00625,0.0125,0.475,0.03125,0.05625,0.025,0.0,0.0,0.0,0.0,0.11875
4,0.0303030303030303,0.21212121212121213,0.01515151515151515,0.10227272727272728,0.03409090909090909,0.36363636363636365,0.06818181818181818,0.0,0.011363636363636364,0.0,0.0,0.0,0.0,0.16287878787878787
5,0.025,0.1,0.025,0.05416666666666666,0.0125,0.5708333333333333,0.020833333333333332,0.075,0.03333333333333333,0.0,0.0,0.0,0.0,0.08333333333333333
6,0.0,0.14772727272727273,0.03409090909090909,0.0303030303030303,0.011363636363636364,0.5303030303030304,0.03409090909090909,0.13636363636363635,0.022727272727272728,0.0,0.0,0.0,0.0,0.053030303030303025
7,0.0,0.175,0.010802469135802469,0.009259259259259259,0.0,0.5978395061728394,0.03765432098765432,0.14506172839506173,0.0,0.0,0.0,0.009876543209876543,0.0,0.014506172839506172
8,0.0,0.12413793103448276,0.020689655172413793,0.03160919540229885,0.008620689655172414,0.642816091954023,0.02155172413793103,0.08620689655172414,0.005747126436781609,0.0,0.003448275862068966,0.02155172413793103,0.0,0.03362068965517241
9,0.0,0.13983050847457626,0.0,0.022598870056497175,0.00847457627118644,0.5861581920903954,0.011299435028248588,0.16242937853107345,0.0,0.0,0.0,0.036723163841807904,0.0,0.03248587570621469
10,0.0,0.27941176470588236,0.0,0.10784313725490197,0.01633986928104575,0.4019607843137255,0.004901960784313725,0.058823529411764705,0.0,0.0,0.0196078431372549,0.060457516339869274,0.0,0.050653594771241824
11,0.02631578947368421,0.18421052631578946,0.0043859649122807015,0.014035087719298246,0.04473684210526316,0.4605263157894737,0.005263157894736842,0.02631578947368421,0.0,0.0,0.0043859649122807015,0.10175438596491229,0.0,0.1280701754385965
12,0.0065359477124183,0.14477124183006534,0.013235294117647059,0.06241830065359477,0.10065359477124182,0.3006535947712418,0.019771241830065362,0.0,0.0,0.0,0.019771241830065362,0.15212418300653593,0.0,0.1800653594771242
13,0.009523809523809523,0.18571428571428572,0.0,0.02238095238095238,0.09142857142857143,0.29523809523809524,0.07,0.0,0.0,0.0,0.02857142857142857,0.12714285714285714,0.014285714285714285,0.1557142857142857
14,0.015015015015015015,0.16816816816816815,0.0,0.06096096096096096,0.03843843843843844,0.3663663663663664,0.02042042042042042,0.013513513513513514,0.0,0.0,0.019519519519519524,0.10150150150150151,0.013513513513513514,0.1825825825825826
15,0.012471655328798185,0.16621315192743766,0.029591836734693875,0.026757369614512472,0.05396825396825398,0.34410430839002265,0.05396825396825398,0.05102040816326531,0.0,0.004081632653061225,0.028458049886621314,0.0743764172335601,0.0,0.1549886621315193
16,0.0040708812260536395,0.09458812260536398,0.01293103448275862,0.008381226053639846,0.018438697318007662,0.5191570881226053,0.037116858237547894,0.11206896551724138,0.0,0.0,0.008381226053639846,0.051484674329501906,0.0,0.13338122605363983
17,0.0,0.15494791666666666,0.01171875,0.0,0.0078125,0.5807291666666667,0.013020833333333332,0.10416666666666666,0.0,0.0,0.00390625,0.05989583333333333,0.0,0.06380208333333333
18,0.016666666666666666,0.058333333333333334,0.0,0.016666666666666666,0.0,0.8,0.005555555555555555,0.09166666666666666,0.0,0.0,0.0,0.005555555555555555,0.0,0.005555555555555555
19,0.0,0.10483870967741936,0.0,0.005376344086021505,0.0,0.6747311827956989,0.0,0.1747311827956989,0.0,0.0,0.0,0.016129032258064516,0.0,0.024193548387096774
20,0.0,0.1402116402116402,0.0,0.0,0.0,0.7354497354497355,0.026455026455026454,0.07936507936507936,0.0,0.0,0.007936507936507936,0.005291005291005291,0.0,0.005291005291005291
21,0.0,0.15845070422535212,0.0,0.0,0.0,0.6326291079812206,0.022300469483568074,0.15845070422535212,0.0,0.0,0.0,0.0,0.0,0.028169014084507043
22,0.0,0.26119402985074625,0.0,0.014925373134328358,0.0,0.5559701492537313,0.018656716417910446,0.13805970149253732,0.0,0.0,0.011194029850746268,0.0,0.0,0.0
23,0.0,0.21031746031746032,0.026455026455026454,0.03968253968253968,0.0,0.5224867724867724,0.017195767195767195,0.13227513227513227,0.0,0.0,0.0,0.015873015873015872,0.0,0.03571428571428571
