regime,hour_class,tech_group,share_pct_cnmc
ISP15-win (Dec24-Mar25),Flat,Solar PV,0.684931506849315
ISP15-win (Dec24-Mar25),Flat,Solar Thermal,0.0
ISP15-win (Dec24-Mar25),Flat,Wind,11.886823222439661
ISP15-win (Dec24-Mar25),Flat,,2.602739726027397
ISP15-win (Dec24-Mar25),Midday,CCGT,14.698378795081556
ISP15-win (Dec24-Mar25),Midday,Coal,0.49450549450549447
ISP15-win (Dec24-Mar25),Midday,Cogen,6.295584960997578
ISP15-win (Dec24-Mar25),Midday,Hydro,34.31906059661339
ISP15-win (Dec24-Mar25),Midday,Hydro_RES,1.701286101279145
ISP15-win (Dec24-Mar25),Midday,Hydro_pump,5.457875457875458
ISP15-win (Dec24-Mar25),Midday,Nuclear,0.5128205128205128
ISP15-win (Dec24-Mar25),Midday,Other,5.7542690910048675
ISP15-win (Dec24-Mar25),Midday,Solar PV,14.160659966016595
ISP15-win (Dec24-Mar25),Midday,Solar Thermal,0.00843334391343759
ISP15-win (Dec24-Mar25),Midday,Wind,12.84153721237219
ISP15-win (Dec24-Mar25),Midday,,3.7555884675197757
DA60/ID15 pre-blk (Mar19-Apr27),Critical,CCGT,2.2279597517928273
DA60/ID15 pre-blk (Mar19-Apr27),Critical,Coal,0.07625502465256832
DA60/ID15 pre-blk (Mar19-Apr27),Critical,Cogen,4.631717061537987
DA60/ID15 pre-blk (Mar19-Apr27),Critical,Hydro,36.08097780710823
DA60/ID15 pre-blk (Mar19-Apr27),Critical,Hydro_RES,2.937189153244223
DA60/ID15 pre-blk (Mar19-Apr27),Critical,Hydro_pump,8.427973491454482
DA60/ID15 pre-blk (Mar19-Apr27),Critical,Nuclear,5.3167861585118725
DA60/ID15 pre-blk (Mar19-Apr27),Critical,Other,6.643834220168427
DA60/ID15 pre-blk (Mar19-Apr27),Critical,Solar PV,10.200577184978501
DA60/ID15 pre-blk (Mar19-Apr27),Critical,Solar Thermal,0.7753134040501447
DA60/ID15 pre-blk (Mar19-Apr27),Critical,Wind,18.532300990990173
DA60/ID15 pre-blk (Mar19-Apr27),Critical,,4.149115751510565
DA60/ID15 pre-blk (Mar19-Apr27),Dropped,CCGT,0.2352534252449317
DA60/ID15 pre-blk (Mar19-Apr27),Dropped,Coal,0.0608512854795547
DA60/ID15 pre-blk (Mar19-Apr27),Dropped,Cogen,3.923327655452216
DA60/ID15 pre-blk (Mar19-Apr27),Dropped,Hydro,28.055749683870758
DA60/ID15 pre-blk (Mar19-Apr27),Dropped,Hydro_RES,1.9391401968290014
DA60/ID15 pre-blk (Mar19-Apr27),Dropped,Hydro_pump,11.588235294117647
DA60/ID15 pre-blk (Mar19-Apr27),Dropped,Nuclear,3.273657289002557
DA60/ID15 pre-blk (Mar19-Apr27),Dropped,Other,8.346702926985898
DA60/ID15 pre-blk (Mar19-Apr27),Dropped,Solar PV,13.566367748498742
DA60/ID15 pre-blk (Mar19-Apr27),Dropped,Solar Thermal,0.9839309256784522
DA60/ID15 pre-blk (Mar19-Apr27),Dropped,Wind,20.282057531062467
DA60/ID15 pre-blk (Mar19-Apr27),Dropped,,7.744726037777776
DA60/ID15 pre-blk (Mar19-Apr27),Flat,CCGT,0.0
DA60/ID15 pre-blk (Mar19-Apr27),Flat,Coal,0.0
DA60/ID15 pre-blk (Mar19-Apr27),Flat,Cogen,2.631578947368421
DA60/ID15 pre-blk (Mar19-Apr27),Flat,Hydro,44.901315789473685
DA60/ID15 pre-blk (Mar19-Apr27),Flat,Hydro_RES,0.0
DA60/ID15 pre-blk (Mar19-Apr27),Flat,Hydro_pump,24.56140350877193
DA60/ID15 pre-blk (Mar19-Apr27),Flat,Nuclear,3.9473684210526314
DA60/ID15 pre-blk (Mar19-Apr27),Flat,Other,4.605263157894736
DA60/ID15 pre-blk (Mar19-Apr27),Flat,Solar PV,0.8223684210526315
DA60/ID15 pre-blk (Mar19-Apr27),Flat,Solar Thermal,0.0
DA60/ID15 pre-blk (Mar19-Apr27),Flat,Wind,15.296052631578947
DA60/ID15 pre-blk (Mar19-Apr27),Flat,,3.234649122807018
DA60/ID15 pre-blk (Mar19-Apr27),Midday,CCGT,0.7329720771451188
DA60/ID15 pre-blk (Mar19-Apr27),Midday,Coal,0.20114983547204493
DA60/ID15 pre-blk (Mar19-Apr27),Midday,Cogen,5.43131608938695
DA60/ID15 pre-blk (Mar19-Apr27),Midday,Hydro,8.651949361356943
DA60/ID15 pre-blk (Mar19-Apr27),Midday,Hydro_RES,6.5744159525437675
DA60/ID15 pre-blk (Mar19-Apr27),Midday,Hydro_pump,0.0
DA60/ID15 pre-blk (Mar19-Apr27),Midday,Nuclear,0.13400833829660513
DA60/ID15 pre-blk (Mar19-Apr27),Midday,Other,7.893714644457226
DA60/ID15 pre-blk (Mar19-Apr27),Midday,Solar PV,31.109143750375516
DA60/ID15 pre-blk (Mar19-Apr27),Midday,Solar Thermal,2.718695617034957
DA60/ID15 pre-blk (Mar19-Apr27),Midday,Wind,28.13137377020732
DA60/ID15 pre-blk (Mar19-Apr27),Midday,,8.421260563723564
DA60/ID15 post-blk (Apr28-Sep),Critical,CCGT,11.138094132299925
DA60/ID15 post-blk (Apr28-Sep),Critical,Coal,0.6160026914825827
DA60/ID15 post-blk (Apr28-Sep),Critical,Cogen,2.018417117945564
DA60/ID15 post-blk (Apr28-Sep),Critical,Hydro,40.743882352613035
DA60/ID15 post-blk (Apr28-Sep),Critical,Hydro_RES,2.3933055058091504
DA60/ID15 post-blk (Apr28-Sep),Critical,Hydro_pump,13.039285173000973
DA60/ID15 post-blk (Apr28-Sep),Critical,Nuclear,1.8545895851721093
DA60/ID15 post-blk (Apr28-Sep),Critical,Other,4.204911928457935
DA60/ID15 post-blk (Apr28-Sep),Critical,Solar PV,9.807866871430827
DA60/ID15 post-blk (Apr28-Sep),Critical,Solar Thermal,0.5562136487233763
DA60/ID15 post-blk (Apr28-Sep),Critical,Wind,10.540722153182227
DA60/ID15 post-blk (Apr28-Sep),Critical,,3.0867088398822937
DA60/ID15 post-blk (Apr28-Sep),Dropped,CCGT,10.537963040839047
DA60/ID15 post-blk (Apr28-Sep),Dropped,Coal,0.052287755176306856
DA60/ID15 post-blk (Apr28-Sep),Dropped,Cogen,2.8480901360905135
DA60/ID15 post-blk (Apr28-Sep),Dropped,Hydro,34.552531613337656
DA60/ID15 post-blk (Apr28-Sep),Dropped,Hydro_RES,2.9536788636802545
DA60/ID15 post-blk (Apr28-Sep),Dropped,Hydro_pump,11.378302548515315
DA60/ID15 post-blk (Apr28-Sep),Dropped,Nuclear,1.1456628477905073
DA60/ID15 post-blk (Apr28-Sep),Dropped,Other,4.3269173319211145
DA60/ID15 post-blk (Apr28-Sep),Dropped,Solar PV,14.92930425811265
DA60/ID15 post-blk (Apr28-Sep),Dropped,Solar Thermal,0.5191944415964991
DA60/ID15 post-blk (Apr28-Sep),Dropped,Wind,12.828472361302733
DA60/ID15 post-blk (Apr28-Sep),Dropped,,3.9275948016373983
DA60/ID15 post-blk (Apr28-Sep),Flat,CCGT,20.501022494887525
DA60/ID15 post-blk (Apr28-Sep),Flat,Coal,0.0
DA60/ID15 post-blk (Apr28-Sep),Flat,Cogen,0.4061534203607177
DA60/ID15 post-blk (Apr28-Sep),Flat,Hydro,49.09589925734582
DA60/ID15 post-blk (Apr28-Sep),Flat,Hydro_RES,3.2055214723926375
DA60/ID15 post-blk (Apr28-Sep),Flat,Hydro_pump,17.18383381767302
DA60/ID15 post-blk (Apr28-Sep),Flat,Nuclear,0.6134969325153374
DA60/ID15 post-blk (Apr28-Sep),Flat,Other,1.555652936021034
DA60/ID15 post-blk (Apr28-Sep),Flat,Solar PV,0.20449897750511245
DA60/ID15 post-blk (Apr28-Sep),Flat,Solar Thermal,0.07668711656441718
DA60/ID15 post-blk (Apr28-Sep),Flat,Wind,6.319423768568101
DA60/ID15 post-blk (Apr28-Sep),Flat,,0.8378098061662802
DA60/ID15 post-blk (Apr28-Sep),Midday,CCGT,0.3941829499805978
DA60/ID15 post-blk (Apr28-Sep),Midday,Coal,0.19283326741577891
DA60/ID15 post-blk (Apr28-Sep),Midday,Cogen,6.752650313541615
