outcome,scope,R2,n,3sess_raw,3sess_adj,3sess_p,ISP15win_raw,ISP15win_adj,ISP15win_p,MTU15IDA_pre_raw,MTU15IDA_pre_adj,MTU15IDA_pre_p,MTU15IDA_post_raw,MTU15IDA_post_adj,MTU15IDA_post_p,DA15_ID15_raw,DA15_ID15_adj,DA15_ID15_p,regime,value_mwh,cv,n_days
ci_total,system,0.18288072676600142,1488.0,28.472837647058814,32.25324606893679,3.7720191049316277e-29,25.1909861111111,26.994731057396006,3.803019475093102e-08,15.766266874999996,12.348149297759683,2.1823979448678217e-13,16.85541580645162,18.06420422670313,7.617283120974797e-05,21.147701875000003,22.777256587945207,0.06729731952013762,,,,
ci_critical,system,0.15843414766748976,1488.0,14.183017058823525,15.835260474564093,5.778514840524833e-25,12.338306481481474,13.343211859625924,2.3824176496823049e-07,7.120738125000001,6.036102146179649,6.453110670908302e-12,8.30561225806452,8.698013767517898,2.970751065224833e-05,10.32744979166667,11.38000109877265,0.04446867059621272,,,,
ci_flat,system,0.11914849973652819,1488.0,2.1304794117647066,2.6314371097231306,5.978974909775399e-11,1.985644444444445,2.1417346282449006,0.004504721913772562,0.9631187500000001,0.7620215618008886,1.815085312103287e-10,1.015342419354839,1.191413579485291,9.16761948178571e-08,1.4076089583333342,1.5572420454157807,0.20741933646488164,,,,
within_hour_qstd_critical,system,,,,,,,,,,,,,,,,,,MTU15IDA_pre,33.00620832465709,0.21515828825523114,40.0
within_hour_qstd_critical,system,,,,,,,,,,,,,,,,,,MTU15IDA_post,36.32293699300797,0.20394437052563916,155.0
within_hour_qstd_critical,system,,,,,,,,,,,,,,,,,,DA15_ID15,35.007218049373776,0.16276294033632066,120.0
within_hour_qstd_flat,system,,,,,,,,,,,,,,,,,,MTU15IDA_pre,15.271860752352428,0.20022365263094458,40.0
within_hour_qstd_flat,system,,,,,,,,,,,,,,,,,,MTU15IDA_post,14.310825801408276,0.1910844848854977,155.0
within_hour_qstd_flat,system,,,,,,,,,,,,,,,,,,DA15_ID15,15.465929503411312,0.14623193033431997,120.0
ci_sell_CCGT,tech,0.14424548540088145,1488.0,3.2238152941176477,3.169476755283111,2.4070361300437616e-14,3.4513962962962967,4.02039106110531,4.621004731041351e-19,1.588088125,2.155958564963146,0.1969985720102905,2.0429175806451614,1.9180641842096944,0.37662953466372984,2.9164575000000004,2.581807701922888,2.044426330404721e-05,,,,
ci_sell_Wind,tech,0.16697107914471443,1488.0,3.021533529411765,3.5104534429597547,2.5062276842372995e-32,2.342907407407407,2.152437508244678,0.030001529791791565,2.003363125000001,1.297755432207596,0.00020059901282098354,1.8901004838709679,2.2403640090960333,0.0010579015758972962,3.1638308333333334,3.037647562427573,1.4251145344809806e-15,,,,
ci_sell_Solar PV,tech,0.14051956698803392,1488.0,1.5786764705882352,1.6509136700662819,0.014970039952632205,0.9690555555555556,1.406112124737386,0.946818807382027,0.9229006249999999,0.6744773784468096,2.530304587344062e-09,1.3630554838709679,1.2359500658199594,0.04259735045732827,1.7916533333333333,2.466733126624399,6.760693047912951e-14,,,,
ci_sell_Hydro,tech,0.16367086843282963,1488.0,4.002475294117647,5.3183299128341215,8.999540617369271e-34,4.1749379629629635,3.684310549832865,2.2307683397045524e-09,2.3496850000000005,1.8024721587116477,0.1499484425027284,1.9934733870967742,2.5797710000551737,0.029768423533883263,2.557165208333333,2.3749680598101817,0.3445320712901565,,,,
ci_sell_Nuclear,tech,0.027977668443238124,1488.0,0.22304647058823526,0.1193659128318024,0.6411459325782296,0.17637407407407404,0.10584353305028422,0.5183958914561642,0.2813556250000001,0.24631523278232664,0.4619777312963814,0.13231806451612904,0.22191836015802446,0.2667986089250006,0.4251614583333333,0.16159272982924408,0.7791096173316396,,,,
