component,regime,delta_did,se,p,crit_main_effect
q_DA_auction (PDBC),3-sess,-72.37759212173377,19.59708585337204,0.0002213770644984597,78.78448221470211
q_DA_auction (PDBC),ISP15-win,144.06842714205393,32.24484876057328,7.89721269831367e-06,78.78448221470211
q_DA_auction (PDBC),DA60/ID15-pre-blackout,-188.5770470586449,20.778621179071624,1.131232234958665e-19,78.78448221470211
q_DA_auction (PDBC),DA60/ID15-reforzada,-252.91201595276738,12.742038160105455,1.132439794401795e-87,78.78448221470211
q_DA_auction (PDBC),DA15/ID15,52.2009300305169,19.835245479028593,0.008495236013445895,78.78448221470211
q_DA_bilateral (PDBF),3-sess,-53.1285956370773,12.912925472284021,3.882327457321842e-05,31.055443934450494
q_DA_bilateral (PDBF),ISP15-win,132.36094495459898,14.742856800940244,2.7580505247466493e-19,31.055443934450494
q_DA_bilateral (PDBF),DA60/ID15-pre-blackout,-78.58596976579892,26.852734140797164,0.0034274027630470444,31.055443934450494
q_DA_bilateral (PDBF),DA60/ID15-reforzada,-170.44151680878707,8.820344328234786,3.395541404417728e-83,31.055443934450494
q_DA_bilateral (PDBF),DA15/ID15,104.74977943133962,14.980207411370069,2.6994324320895256e-12,31.055443934450494
q_IDA (PIBCIE),3-sess,-11.379347341423795,5.368807253725454,0.034045712147914894,4.630811737740448
q_IDA (PIBCIE),ISP15-win,-1.2016280145256104,7.303164186844676,0.8693097919108199,4.630811737740448
q_IDA (PIBCIE),DA60/ID15-pre-blackout,-32.256869482261344,11.242698514000544,0.004115903301711067,4.630811737740448
q_IDA (PIBCIE),DA60/ID15-reforzada,-30.078617490082234,4.0530404489239285,1.1602201510065425e-13,4.630811737740448
q_IDA (PIBCIE),DA15/ID15,70.51853938704353,6.429670584004671,5.465965461079035e-28,4.630811737740448
TOTAL (DA + bilat + IDA + CID),3-sess,-136.88553510022507,28.82956991371101,2.0534164405035353e-06,114.47073788688857
TOTAL (DA + bilat + IDA + CID),ISP15-win,275.22774408213655,34.47107399599528,1.4131038409756073e-15,114.47073788688857
TOTAL (DA + bilat + IDA + CID),DA60/ID15-pre-blackout,-299.4198863066997,27.315302687129087,5.844562912056374e-28,114.47073788688857
TOTAL (DA + bilat + IDA + CID),DA60/ID15-reforzada,-453.4321502516292,16.107573557847793,2.379855073890659e-174,114.47073788688857
TOTAL (DA + bilat + IDA + CID),DA15/ID15,227.4692488488945,32.66884121603202,3.3338378213428586e-12,114.47073788688857
