"tech_group","pre_mean_dual","post_mean_dual","abs_effect","abs_lower","abs_upper","rel_effect_pct","p_value","n_pre","n_post"
"CCGT",6.09816793650379,5.1025641025641,-0.995603833939688,-18.0234479722448,16.1444924255578,-27.1009411548837,0.443722943722944,866,39
"Hydro_pump",5.62789076136933,4.43589743589744,-1.19199332547189,-2.62883385300836,0.199472150363892,-19.6910139638725,0.0505173463177115,866,39
"Hydro",33.7856348639773,33.6410256410256,-0.144609222951651,-9.15214717836438,9.05300360061035,1.53074703966203,0.480737927292458,866,39
"Nuclear",0.415877544386763,1.97297297297297,1.55709542858621,1.25550566576972,1.8376233128066,450.227227002144,0.000500751126690035,467,37
"Solar PV",828.796256657786,1100.15384615385,271.35758949606,147.863282771313,399.732647146744,33.5735417842641,0.000542593597395551,866,39
"Wind",648.713497574466,682.179487179487,33.4659896050214,-102.225247331321,172.9352337337,6.43724425441812,0.317286652078775,866,39
"Cogen",19.3641481455627,21.4615384615385,2.09739031597578,-3.18602256793983,7.53371243348213,13.401452177852,0.218693828639904,866,39
"Biomass",3.15923831888088,9.7948717948718,6.63563347599092,3.20057992989982,10.0530060939006,520.836424851841,0.000608642726719416,866,39
"Hydro_RES",25.3271592017804,43.4615384615385,18.134379259758,10.3137809723188,26.2909243178021,76.2887305989468,0.000579374275782155,866,39
"Coal",0.528309651704718,0.131578947368421,-0.396730704336297,-0.641685170467012,-0.145958232650952,-73.4815853878946,0.00110558319513543,244,38
