tech_group,n_unit_sessions,n_dual,pct_dual,mean_sell_mw_dual,mean_buy_mw_dual,buy_pct_of_sell
Wind,2313441,373548.0,16.14685656560941,132.99866817650837,166.94265154678394,125.52204757812086
Solar PV,2093392,563728.0,26.928926832623798,54.34322581102405,54.95383926290107,101.12362386068212
Hydro_RES,434887,16909.0,3.8881364584363296,73.07366491217707,63.20878230528137,86.50008505971101
Hydro,339500,19186.0,5.651251840942563,8654.46924841031,3710.5962889606976,42.874914480079475
Cogen,334852,12593.0,3.760765950330295,85.09938060827449,91.84685142539507,107.92893058550005
CCGT,266085,10680.0,4.013755003100513,4625.160346441946,2001.3393258426952,43.27070146621598
Biomass,112548,7148.0,6.351067988769236,27.188164521544493,28.409597090095115,104.49251573265542
Hydro_pump,53763,2471.0,4.596097688001041,3461.7891541885874,1737.002670983408,50.17644326725456
Nuclear,13054,529.0,4.052397732495787,1225.1302457466918,360.3349716446126,29.411972555211534
Coal,7073,56.0,0.7917432489749753,993.469642857143,232.25,23.37766449834005
