tech_group,firm,year_month,hour_class,quarter,mtu_minutes,n_cells,mw_in_band_mean,mw_at_mcp_mean,mw_below_mean,n_tranches_mean,frac_single_block_mean,vw_price_in_band_mean,p_clear_mean
CCGT,AXPO,2024-06,Critical,1,60,187,59.685561497326205,0.0,74.41497326203209,0.20320855614973263,0.20320855614973263,59.147894736842105,62.984010695187166
CCGT,AXPO,2024-06,Dropped,1,60,102,27.308823529411764,0.0,60.064705882352946,0.058823529411764705,0.058823529411764705,99.86000000000001,59.71676470588235
CCGT,AXPO,2024-06,Flat,1,60,51,45.509803921568626,0.0,104.4843137254902,0.0784313725490196,0.0784313725490196,111.77000000000001,72.49372549019607
CCGT,AXPO,2024-06,Midday,1,60,68,0.0,0.0,0.0,0.0,0.0,,27.34264705882353
CCGT,AXPO,2024-07,Critical,1,60,326,79.75030674846626,0.0,131.95490797546015,0.2147239263803681,0.2147239263803681,118.31242857142858,80.88036809815951
CCGT,AXPO,2024-07,Dropped,1,60,177,48.20395480225989,0.0,117.52429378531073,0.10734463276836158,0.10734463276836158,144.48684210526315,74.480395480226
CCGT,AXPO,2024-07,Flat,1,60,87,55.54482758620689,0.0,171.26321839080458,0.11494252873563218,0.11494252873563218,141.46800000000002,88.59356321839081
CCGT,AXPO,2024-07,Midday,1,60,117,0.0,0.0,0.0,0.0,0.0,,43.14444444444444
CCGT,AXPO,2024-08,Critical,1,60,341,3.198533724340176,0.0,111.93284457478005,0.011730205278592375,0.011730205278592375,137.3825,100.15384164222874
CCGT,AXPO,2024-08,Dropped,1,60,186,0.0,0.0,104.48440860215052,0.0,0.0,,90.14903225806452
CCGT,AXPO,2024-08,Flat,1,60,93,0.0,0.0,185.67634408602152,0.0,0.0,,104.6783870967742
CCGT,AXPO,2024-08,Midday,1,60,124,0.0,0.0,0.0,0.0,0.0,,57.170564516129026
CCGT,AXPO,2024-09,Critical,1,60,330,6.622727272727273,0.0,104.00939393939393,0.06363636363636363,0.06363636363636363,44.607142857142854,84.59299999999999
CCGT,AXPO,2024-09,Dropped,1,60,180,2.975,0.0,65.22388888888888,0.016666666666666666,0.016666666666666666,61.18666666666667,70.839
CCGT,AXPO,2024-09,Flat,1,60,90,7.945555555555554,0.0,87.45555555555555,0.022222222222222223,0.022222222222222223,173.56,81.81366666666666
CCGT,AXPO,2024-09,Midday,1,60,120,0.0,0.0,11.307500000000001,0.0,0.0,,35.49041666666667
CCGT,AXPO,2024-10,Critical,1,60,341,12.987976539589441,0.0,97.00821114369502,0.093841642228739,0.093841642228739,52.2771875,82.51636363636364
CCGT,AXPO,2024-10,Dropped,1,60,187,2.581818181818182,0.0,32.685561497326205,0.0213903743315508,0.0213903743315508,44.0175,64.89550802139037
CCGT,AXPO,2024-10,Flat,1,60,93,0.0,0.0,32.30430107526882,0.0,0.0,,58.60935483870968
CCGT,AXPO,2024-10,Midday,1,60,124,0.0,0.0,0.08870967741935484,0.0,0.0,,43.13217741935484
CCGT,AXPO,2024-11,Critical,1,60,330,45.770606060606056,0.0,155.93666666666667,0.12424242424242424,0.12424242424242424,149.69487804878048,118.9848787878788
CCGT,AXPO,2024-11,Dropped,1,60,180,18.93888888888889,0.0,74.64222222222223,0.027777777777777776,0.027777777777777776,137.52,98.61027777777777
CCGT,AXPO,2024-11,Flat,1,60,90,11.984444444444444,0.0,75.69666666666666,0.03333333333333333,0.03333333333333333,45.0,94.50133333333335
CCGT,AXPO,2024-11,Midday,1,60,120,28.010833333333334,0.0,26.628333333333334,0.041666666666666664,0.041666666666666664,137.52,80.58166666666666
CCGT,AXPO,2024-12,Critical,1,60,341,90.27155425219941,0.0,357.12873900293255,0.16715542521994134,0.16715542521994134,164.6263157894737,125.52381231671555
CCGT,AXPO,2024-12,Dropped,1,60,186,68.1989247311828,0.0,250.88118279569892,0.11827956989247312,0.11827956989247312,131.5686363636364,107.0375806451613
CCGT,AXPO,2024-12,Flat,1,60,93,50.01075268817204,0.0,203.08709677419353,0.07526881720430108,0.07526881720430108,117.45714285714287,98.62548387096774
CCGT,AXPO,2024-12,Midday,1,60,124,48.99516129032258,0.0,197.13225806451615,0.07258064516129033,0.07258064516129033,82.77777777777777,87.7107258064516
CCGT,AXPO,2025-01,Critical,1,60,341,42.06422287390029,0.0,202.39706744868033,0.14076246334310852,0.14076246334310852,88.00937499999999,111.65043988269795
CCGT,AXPO,2025-01,Dropped,1,60,186,17.299462365591395,0.0967741935483871,88.53225806451613,0.04838709677419355,0.04838709677419355,85.29,90.90790322580645
CCGT,AXPO,2025-01,Flat,1,60,93,0.967741935483871,0.0,39.32903225806452,0.010752688172043012,0.010752688172043012,5.0,79.02956989247312
CCGT,AXPO,2025-01,Midday,1,60,124,0.0,0.0,86.53467741935484,0.0,0.0,,77.46629032258065
CCGT,AXPO,2025-02,Critical,1,60,308,23.185714285714287,0.0,209.13311688311688,0.06168831168831169,0.06168831168831169,126.31368421052632,129.81136363636364
CCGT,AXPO,2025-02,Dropped,1,60,168,4.706547619047619,0.0,38.75119047619047,0.011904761904761904,0.011904761904761904,104.35,100.22184523809524
CCGT,AXPO,2025-02,Flat,1,60,84,0.0,0.0,41.16309523809524,0.0,0.0,,100.49
CCGT,AXPO,2025-02,Midday,1,60,112,0.0,0.0,0.32142857142857145,0.0,0.0,,67.16544642857143
CCGT,AXPO,2025-03,Critical,1,60,341,28.687683284457478,0.0,59.2524926686217,0.09090909090909091,0.08504398826979472,124.35524875093957,69.59568914956012
CCGT,AXPO,2025-03,Dropped,1,60,185,0.1837837837837838,0.0,10.908108108108108,0.010810810810810811,0.010810810810810811,5.0,45.38567567567568
CCGT,AXPO,2025-03,Flat,1,60,93,0.0,0.0,16.768817204301076,0.0,0.0,,44.953870967741935
CCGT,AXPO,2025-03,Midday,1,60,124,0.0,0.0,0.0,0.0,0.0,,25.322822580645163
CCGT,AXPO,2025-04,Critical,1,60,330,25.173939393939392,0.0,2.2581818181818183,0.0696969696969697,0.0696969696969697,150.34217391304347,37.532909090909094
CCGT,AXPO,2025-04,Dropped,1,60,180,0.5,0.0,0.0,0.005555555555555556,0.005555555555555556,140.94,23.947888888888887
CCGT,AXPO,2025-04,Flat,1,60,90,0.0,0.0,0.0,0.0,0.0,,27.44622222222222
CCGT,AXPO,2025-04,Midday,1,60,120,0.0,0.0,0.0,0.0,0.0,,1.1328333333333334
