tech_group,regime,hour_class,share_in_band,mw_in_band,mw_total,n_tranches,frac_single_block,mw_at_mcp,n_months,share_pct
CCGT,3-sess,Critical,0.5653735189637339,79.6888360494131,171.94306938149768,4.098343903673974,0.2251912886230958,1.3797069566505213,6,56.5
CCGT,3-sess,Dropped,0.5470957593628824,80.11526142008196,158.32818236526322,4.324651806291734,0.23290509770341747,1.1653917638870273,6,54.7
CCGT,3-sess,Flat,0.6231776039527267,102.77168047911353,178.92425772628016,5.8594971152490105,0.24608893922272293,1.4788041140652046,6,62.3
CCGT,3-sess,Midday,0.36922503316659094,50.61545788722166,160.77439314575443,2.626244490742988,0.16456662199116057,0.3444239969040452,6,36.9
CCGT,DA15/ID15,Critical,0.7820250761297839,112.97153180600922,146.07518295439584,6.986216116754908,0.20678524680717988,1.2115888134178545,3,78.2
CCGT,DA15/ID15,Dropped,0.6603067896831329,101.47843798327635,155.7142938460837,6.4366514956481184,0.19583758802669718,0.7670488747168451,3,66.0
CCGT,DA15/ID15,Flat,0.737149520507073,125.8510566356373,172.8073203173669,8.274230861013661,0.18092333873485597,0.860168309286243,3,73.7
CCGT,DA15/ID15,Midday,0.43573377955805387,63.077936132481796,153.73794526139804,4.079258751048603,0.1888310046649587,0.2922946808030934,3,43.6
CCGT,DA60/ID15 post-blk,Critical,0.5479941118339555,76.55069269968583,150.67939067433585,4.837858890466202,0.17139431972822064,1.0109314251584482,5,54.8
CCGT,DA60/ID15 post-blk,Dropped,0.4912711889468374,70.63690979367834,157.7752248968349,4.516361818726045,0.1767061702302774,0.8159916274146093,5,49.1
CCGT,DA60/ID15 post-blk,Flat,0.6453345622474602,96.14742484022793,159.99395663465012,5.916735632317071,0.17853706726902313,1.2140390150067957,5,64.5
CCGT,DA60/ID15 post-blk,Midday,0.18965024528765392,25.12280713575041,164.31283836515746,1.984901028090975,0.15933730513129019,0.11084169461418936,5,19.0
CCGT,DA60/ID15 pre-blk,Critical,0.348748810231685,45.582518976560635,170.9942973587443,2.4168448656471755,0.3018771228162702,1.2063056118298647,2,34.9
CCGT,DA60/ID15 pre-blk,Dropped,0.2557485025605111,30.682289298780205,168.2652823682816,2.083156395559646,0.327595421466358,0.7151701261052074,2,25.6
CCGT,DA60/ID15 pre-blk,Flat,0.22768155483106656,32.32017786052995,182.3176014472907,2.479409989962461,0.3706499605638499,0.356290649103282,2,22.8
CCGT,DA60/ID15 pre-blk,Midday,0.0623606081946556,2.744582894258812,177.40919585634083,0.28333423657234846,0.22468170860706493,0.1455940502642476,2,6.2
CCGT,ISP15-win,Critical,0.6067810378077815,89.28285547065305,176.50713184296725,4.714730231666531,0.20316240528516918,1.3718993956405394,4,60.7
CCGT,ISP15-win,Dropped,0.5491914163917045,85.50003276863605,152.61293882689253,4.7801006900161145,0.19958327407529125,1.0018415797396698,4,54.9
CCGT,ISP15-win,Flat,0.644222454907564,113.95730168267741,178.65955856564668,7.401686788255912,0.18552693897263053,0.6471369990588164,4,64.4
CCGT,ISP15-win,Midday,0.49925021055484575,74.24385141998681,158.90388884501914,3.591443832047429,0.2302491624486796,0.8228802505296595,4,49.9
Coal,3-sess,Critical,0.45789481862885273,52.74429717341482,108.88529125286479,1.103203781512605,0.3067943086325439,1.7670693277310923,4,45.8
Coal,3-sess,Dropped,0.46241448788743794,51.94932002046174,97.04931947432999,1.0718340742520724,0.33427996169796004,1.9359756097560976,4,46.2
Coal,3-sess,Flat,0.48759098568607745,47.313754578754576,90.9143956043956,0.8922660672660673,0.44150849150849153,0.35714285714285715,4,48.8
Coal,3-sess,Midday,0.4969841940031218,54.157938520235675,90.56580688536758,1.198541485559741,0.3093608132908336,0.9009465855307641,4,49.7
Coal,DA15/ID15,Critical,0.3849034367155671,51.207367231638415,132.46677794898133,0.8794192775209724,0.3198335901386749,1.1111111111111112,3,38.5
