tech_group,regime,hour_class,share,mw_in_band,share_pct,h
Nuclear,DA60/ID15 pre-blk,Critical,0.3246110504137802,276.0,32.5,25
Nuclear,DA60/ID15 pre-blk,Dropped,0.42879362190440107,351.0,42.9,25
Nuclear,DA60/ID15 pre-blk,Flat,0.40380861690957903,323.0,40.4,25
Nuclear,DA60/ID15 pre-blk,Midday,0.56714444253515,453.0,56.7,25
Nuclear,ISP15-win,Critical,0.03324269688930349,15.0,3.3,25
Nuclear,ISP15-win,Dropped,0.08394434252727657,36.0,8.4,25
Nuclear,ISP15-win,Flat,0.07921442899089566,34.0,7.9,25
Nuclear,ISP15-win,Midday,0.20324416424897584,82.0,20.3,25
Other,3-sess,Critical,0.10059286334792981,2.0,10.1,25
Other,3-sess,Dropped,0.13740494694922378,3.0,13.7,25
Other,3-sess,Flat,0.05710888062510932,1.0,5.7,25
Other,3-sess,Midday,0.28454074491254683,5.0,28.5,25
Other,DA15/ID15,Critical,0.045252256296500815,1.0,4.5,25
Other,DA15/ID15,Dropped,0.11125750644592543,2.0,11.1,25
Other,DA15/ID15,Flat,0.07539709766226091,2.0,7.5,25
Other,DA15/ID15,Midday,0.2639599668496694,5.0,26.4,25
Other,DA60/ID15 post-blk,Critical,0.21226224876343922,4.0,21.2,25
Other,DA60/ID15 post-blk,Dropped,0.2908433091234073,6.0,29.1,25
Other,DA60/ID15 post-blk,Flat,0.17325256997456792,3.0,17.3,25
Other,DA60/ID15 post-blk,Midday,0.5463842189903785,11.0,54.6,25
Other,DA60/ID15 pre-blk,Critical,0.3568144214644384,7.0,35.7,25
Other,DA60/ID15 pre-blk,Dropped,0.5193392163419345,10.0,51.9,25
Other,DA60/ID15 pre-blk,Flat,0.41192285617781466,8.0,41.2,25
Other,DA60/ID15 pre-blk,Midday,0.7827055057611113,15.0,78.3,25
Other,ISP15-win,Critical,0.03913193790124164,1.0,3.9,25
Other,ISP15-win,Dropped,0.08296151532658881,2.0,8.3,25
Other,ISP15-win,Flat,0.07422531755421058,2.0,7.4,25
Other,ISP15-win,Midday,0.16801666817676064,3.0,16.8,25
Solar PV,3-sess,Critical,0.1324581314818624,3.0,13.2,25
Solar PV,3-sess,Dropped,0.205484815691212,4.0,20.5,25
Solar PV,3-sess,Flat,0.1254939915444841,1.0,12.5,25
Solar PV,3-sess,Midday,0.28806790459186943,6.0,28.8,25
Solar PV,DA15/ID15,Critical,0.07235788325703253,1.0,7.2,25
Solar PV,DA15/ID15,Dropped,0.1501593663418497,2.0,15.0,25
Solar PV,DA15/ID15,Flat,0.32702882944752254,1.0,32.7,25
Solar PV,DA15/ID15,Midday,0.24778748327031352,4.0,24.8,25
Solar PV,DA60/ID15 post-blk,Critical,0.26243965677337516,4.0,26.2,25
Solar PV,DA60/ID15 post-blk,Dropped,0.39587771499722696,8.0,39.6,25
Solar PV,DA60/ID15 post-blk,Flat,0.15787482358317498,1.0,15.8,25
Solar PV,DA60/ID15 post-blk,Midday,0.5035428470248652,11.0,50.4,25
Solar PV,DA60/ID15 pre-blk,Critical,0.4333023751695131,6.0,43.3,25
Solar PV,DA60/ID15 pre-blk,Dropped,0.6323463590970503,11.0,63.2,25
Solar PV,DA60/ID15 pre-blk,Flat,0.1813055636285052,1.0,18.1,25
Solar PV,DA60/ID15 pre-blk,Midday,0.7392171062694912,14.0,73.9,25
Solar PV,ISP15-win,Critical,0.050463737787738716,1.0,5.0,25
Solar PV,ISP15-win,Dropped,0.10158306170905969,1.0,10.2,25
Solar PV,ISP15-win,Flat,0.12984784735907107,1.0,13.0,25
Solar PV,ISP15-win,Midday,0.16155696629741978,3.0,16.2,25
Wind,3-sess,Critical,0.09858923504458932,3.0,9.9,25
Wind,3-sess,Dropped,0.13715004915622975,4.0,13.7,25
Wind,3-sess,Flat,0.05490706277797791,3.0,5.5,25
Wind,3-sess,Midday,0.32812602998025675,8.0,32.8,25
Wind,DA15/ID15,Critical,0.0630296806028058,2.0,6.3,25
Wind,DA15/ID15,Dropped,0.15546914218109828,6.0,15.5,25
Wind,DA15/ID15,Flat,0.12176524536291534,5.0,12.2,25
Wind,DA15/ID15,Midday,0.3811486916720414,13.0,38.1,25
Wind,DA60/ID15 post-blk,Critical,0.2560084442902925,7.0,25.6,25
Wind,DA60/ID15 post-blk,Dropped,0.3456795378795598,8.0,34.6,25
Wind,DA60/ID15 post-blk,Flat,0.23753821589065696,7.0,23.8,25
Wind,DA60/ID15 post-blk,Midday,0.6938090629059072,14.0,69.4,25
Wind,DA60/ID15 pre-blk,Critical,0.41769712682466537,16.0,41.8,25
Wind,DA60/ID15 pre-blk,Dropped,0.5984769709767481,22.0,59.8,25
Wind,DA60/ID15 pre-blk,Flat,0.5239405831000454,22.0,52.4,25
Wind,DA60/ID15 pre-blk,Midday,0.9097949253425545,29.0,91.0,25
Wind,ISP15-win,Critical,0.03905215810256321,2.0,3.9,25
Wind,ISP15-win,Dropped,0.09124162747304282,4.0,9.1,25
Wind,ISP15-win,Flat,0.08139499673019475,4.0,8.1,25
Wind,ISP15-win,Midday,0.20913006000304102,9.0,20.9,25
CCGT,3-sess,Critical,0.40014951244761415,177.0,40.0,100
CCGT,3-sess,Dropped,0.3068227620817514,134.0,30.7,100
CCGT,3-sess,Flat,0.18228000932124444,79.0,18.2,100
CCGT,3-sess,Midday,0.341839383245401,146.0,34.2,100
CCGT,DA15/ID15,Critical,0.5750909316813696,341.0,57.5,100
CCGT,DA15/ID15,Dropped,0.4084593553155785,243.0,40.8,100
CCGT,DA15/ID15,Flat,0.3226760697073463,187.0,32.3,100
CCGT,DA15/ID15,Midday,0.35017652537442995,184.0,35.0,100
CCGT,DA60/ID15 post-blk,Critical,0.4041760147666496,239.0,40.4,100
CCGT,DA60/ID15 post-blk,Dropped,0.30357218949012355,178.0,30.4,100
CCGT,DA60/ID15 post-blk,Flat,0.2475242013425697,152.0,24.8,100
CCGT,DA60/ID15 post-blk,Midday,0.18407665191670042,92.0,18.4,100
CCGT,DA60/ID15 pre-blk,Critical,0.316596093849867,185.0,31.7,100
CCGT,DA60/ID15 pre-blk,Dropped,0.15972166818909544,86.0,16.0,100
CCGT,DA60/ID15 pre-blk,Flat,0.09476109598296313,46.0,9.5,100
CCGT,DA60/ID15 pre-blk,Midday,0.10050696002503329,42.0,10.1,100
CCGT,ISP15-win,Critical,0.40619525339596074,175.0,40.6,100
CCGT,ISP15-win,Dropped,0.30939365466893776,132.0,30.9,100
CCGT,ISP15-win,Flat,0.19188234987879715,82.0,19.2,100
CCGT,ISP15-win,Midday,0.35417700397529134,150.0,35.4,100
