tech_group,regime,hour_class,share_in_band,mw_in_band,mw_total,n_months,share_pct
CCGT,3-sess,Critical,0.552337384738284,75.78552155233963,173.3802640952953,6,55.2
CCGT,3-sess,Dropped,0.540320280830919,77.07551247319999,158.67657208050625,6,54.0
CCGT,3-sess,Flat,0.6166669083391654,98.91912304237445,177.4917799541254,6,61.7
CCGT,3-sess,Midday,0.373458415782883,49.22267105174012,159.72533569132278,6,37.3
CCGT,DA15/ID15,Critical,0.7740707715614565,107.86884705541625,141.46924562194582,3,77.4
CCGT,DA15/ID15,Dropped,0.6543810242824536,96.68449733956298,150.02176802575698,3,65.4
CCGT,DA15/ID15,Flat,0.7278905980581888,120.07632731819096,166.86841267957948,3,72.8
CCGT,DA15/ID15,Midday,0.4421494307761731,61.26897306713241,147.6178095934348,3,44.2
CCGT,DA60/ID15 post-blk,Critical,0.5387482057049414,71.77273430983018,145.5297272608595,5,53.9
CCGT,DA60/ID15 post-blk,Dropped,0.48439948470158056,66.09689872239615,152.0637140824561,5,48.4
CCGT,DA60/ID15 post-blk,Flat,0.6339882480019419,89.18685899554335,153.47203649625868,5,63.4
CCGT,DA60/ID15 post-blk,Midday,0.19737271017708596,24.48587006369534,157.9787179525335,5,19.7
CCGT,DA60/ID15 pre-blk,Critical,0.3082158931827984,40.71464260223503,174.0496572551687,2,30.8
CCGT,DA60/ID15 pre-blk,Dropped,0.226311858246503,27.20905009414383,169.01949483602093,2,22.6
CCGT,DA60/ID15 pre-blk,Flat,0.20766052071837543,29.569246824717137,181.93000288301636,2,20.8
CCGT,DA60/ID15 pre-blk,Midday,0.050894554996178704,2.252708307890341,176.43395836787326,2,5.1
CCGT,ISP15-win,Critical,0.5907985348997041,83.74770550143106,176.21538740553643,4,59.1
CCGT,ISP15-win,Dropped,0.5452198525968909,82.89164430994995,152.9026262076322,4,54.5
CCGT,ISP15-win,Flat,0.6410123914281985,110.72051163044681,176.90847461487812,4,64.1
CCGT,ISP15-win,Midday,0.49659780759320427,71.3688338106269,157.23155273650775,4,49.7
Coal,3-sess,Critical,0.46930465227554274,53.450584782888406,108.6907114313185,4,46.9
Coal,3-sess,Dropped,0.47039099071425267,50.870834301200155,94.8477385791715,4,47.0
Coal,3-sess,Flat,0.4976238622413365,48.24542124542124,90.2293956043956,4,49.8
Coal,3-sess,Midday,0.49704796267145435,50.94386288998358,85.7211115072163,4,49.7
Coal,DA15/ID15,Critical,0.3849034367155671,51.207367231638415,132.46677794898133,3,38.5
Coal,DA15/ID15,Dropped,0.28069125157961655,44.6261369081159,135.4549083305543,3,28.1
Coal,DA15/ID15,Flat,0.23701627764127764,39.12326388888889,147.33260732323234,3,23.7
Coal,DA15/ID15,Midday,0.4938124761573037,68.01003831417624,114.43908045977012,3,49.4
Coal,DA60/ID15 post-blk,Critical,0.5006890093759692,57.14284159384127,103.28113367456703,4,50.1
Coal,DA60/ID15 post-blk,Dropped,0.523482507989995,70.96429874484011,116.52076831603173,4,52.3
Coal,DA60/ID15 post-blk,Flat,0.6350717887805285,89.71718189964159,136.25672043010752,4,63.5
Coal,DA60/ID15 post-blk,Midday,0.26394315698738596,43.455136516168395,86.99652461632327,4,26.4
Coal,DA60/ID15 pre-blk,Critical,0.3722823143248464,47.87369687104359,71.22716562188538,2,37.2
Coal,DA60/ID15 pre-blk,Dropped,0.42700501401055124,52.20346343104681,77.85140209025529,2,42.7
Coal,DA60/ID15 pre-blk,Flat,0.5395439136313851,80.90791945753742,118.61214752336062,2,54.0
