tech_group,regime,hour_class,mw_in_band,n_tranches,frac_single_block,mw_at_mcp,n_months,n_cells_total,market
CCGT,3-sess,Critical,104.9531724405996,2.480875282830888,0.17849165110420095,1.1746567934060126,6,90168,DA
CCGT,3-sess,Dropped,74.87067200769229,1.3473400689946846,0.15849027496858456,1.7433732688569845,6,49200,DA
CCGT,3-sess,Flat,44.5240967882802,0.7969211820895795,0.08185611452478121,0.1762048941728643,6,24566,DA
CCGT,3-sess,Midday,75.87331776484743,0.9323171662902721,0.23546206090269997,3.1494659062491723,6,32750,DA
CCGT,DA15/ID15,Critical,239.99791222007033,2.9854561696087742,0.23351880954532703,0.5469841265919451,3,187707,DA
CCGT,DA15/ID15,Dropped,152.44318271729693,1.3436846719030824,0.1874945244540155,0.8281689898972645,3,102511,DA
CCGT,DA15/ID15,Flat,131.5008407428953,0.8938306678483543,0.15790221313082564,0.3734221156290476,3,51132,DA
CCGT,DA15/ID15,Midday,83.36396735613782,0.7397543930562126,0.16360864965334823,1.8345937498910512,3,68276,DA
CCGT,DA60/ID15 post-blk,Critical,147.37004440779344,1.8505168401323218,0.20953628674377858,2.2906050701771297,6,78339,DA
CCGT,DA60/ID15 post-blk,Dropped,104.50074904074388,1.1590524006930079,0.17508845248754623,2.518088927039235,6,42713,DA
CCGT,DA60/ID15 post-blk,Flat,109.6049120181877,1.0445220831015065,0.12936482075014302,0.8008449139392083,6,21374,DA
CCGT,DA60/ID15 post-blk,Midday,40.60557369438566,0.22804501830145338,0.14153068652029402,5.767585501944134,6,28430,DA
CCGT,DA60/ID15 pre-blk,Critical,98.68275086492474,1.2291081640631518,0.20997751473788848,3.145625435541454,2,19040,DA
CCGT,DA60/ID15 pre-blk,Dropped,40.38928926496725,0.252747117785252,0.152788107431912,3.9084052461484204,2,10187,DA
CCGT,DA60/ID15 pre-blk,Flat,19.92707773484188,0.11816553640395427,0.08403175899971359,0.0,2,5106,DA
CCGT,DA60/ID15 pre-blk,Midday,37.764680476909334,0.15560285808746588,0.15560285808746588,11.862121978282467,2,6814,DA
CCGT,ISP15-win,Critical,110.22221019694388,2.7156613302306774,0.1596935653848362,0.35150561242571976,4,55734,DA
CCGT,ISP15-win,Dropped,75.06891785282194,1.3467269940183761,0.14805154712093405,0.48158901443904584,4,30382,DA
CCGT,ISP15-win,Flat,44.019330449848894,0.6939249385124674,0.08504282968996613,0.2333167395459497,4,15182,DA
CCGT,ISP15-win,Midday,83.96061406018856,1.1982503647658826,0.22477212488087778,0.5727916449516427,4,20244,DA
Coal,3-sess,Critical,156.36233848254005,2.3423634752526685,0.21822277932049214,0.4062842783750624,6,3777,DA
Coal,3-sess,Dropped,104.22971814518723,1.4005216703304757,0.24176917435893389,0.4181335034013605,6,2065,DA
Coal,3-sess,Flat,18.83921745751756,0.27694862603885534,0.02871317366581574,0.0,6,1032,DA
Coal,3-sess,Midday,122.93459084734748,1.0900852406298769,0.5709127598446537,0.4569405926142169,6,1376,DA
Coal,DA15/ID15,Critical,61.424844268108025,1.8388323462327258,0.1717727560232304,0.5937849079025549,3,4180,DA
Coal,DA15/ID15,Dropped,60.378026306203914,1.0118163009587084,0.2639988926770988,2.4004065040650406,3,2284,DA
Coal,DA15/ID15,Flat,16.25222520908005,0.42213437346264665,0.05582612973504814,0.7352941176470589,3,1140,DA
Coal,DA15/ID15,Midday,107.96238140417456,0.7394093927893738,0.5903542061986085,6.352941176470588,3,1520,DA
Coal,DA60/ID15 post-blk,Critical,128.54016694311971,1.7459191347182685,0.45507269211641027,8.701208566912815,6,3641,DA
Coal,DA60/ID15 post-blk,Dropped,118.18507722201527,1.0811995159340209,0.5386193279549993,9.698831429186596,6,1986,DA
Coal,DA60/ID15 post-blk,Flat,68.60108396970718,0.4881267177914843,0.2841671661345642,0.0,6,993,DA
Coal,DA60/ID15 post-blk,Midday,157.40133168688018,0.905660350536918,0.892173508431655,25.7477659382992,6,1324,DA
Coal,DA60/ID15 pre-blk,Critical,137.72092074592075,1.2970438652256835,0.6669315532951896,9.897223988133078,2,1155,DA
Coal,DA60/ID15 pre-blk,Dropped,138.0801046176046,0.8492063492063492,0.7507215007215007,10.416666666666668,2,627,DA
Coal,DA60/ID15 pre-blk,Flat,90.48844211344212,0.5064102564102564,0.48115773115773114,0.0,2,315,DA
Coal,DA60/ID15 pre-blk,Midday,175.2039627039627,0.9871794871794872,0.9871794871794872,35.23455710955711,2,420,DA
Coal,ISP15-win,Critical,132.73674845763063,2.6695606284845916,0.1387224368088708,0.6505625470473084,4,2296,DA
Coal,ISP15-win,Dropped,112.64787273918574,2.0282364383688,0.20185887926264146,1.0355511629242453,4,1250,DA
Coal,ISP15-win,Flat,37.475962008653084,0.7207476809198374,0.047014566761928445,0.0,4,624,DA
Coal,ISP15-win,Midday,138.4993750296107,1.9283606639898612,0.4532646196381406,0.8966435185185184,4,832,DA
Cogen,3-sess,Critical,1.790467423316337,0.1824291337235242,0.15374435194436145,0.03388961481214227,6,307631,DA
Cogen,3-sess,Dropped,2.2804132623512916,0.2300882218738852,0.19828177974666064,0.05833212855775186,6,168329,DA
Cogen,3-sess,Flat,1.6284136008668855,0.16822900329481916,0.13591652169161467,0.003321400463622905,6,80914,DA
Cogen,3-sess,Midday,4.524906217688901,0.4399661312072518,0.3982434062531857,0.13269680152692093,6,109092,DA
Cogen,DA15/ID15,Critical,1.2990726503920198,0.13497810119925646,0.12088750100164052,0.0034818646374864923,3,690429,DA
Cogen,DA15/ID15,Dropped,2.631804059055813,0.26387900688652693,0.23730522938336662,0.012853772876611136,3,373203,DA
Cogen,DA15/ID15,Flat,2.385965211610943,0.2424273288274795,0.2111126236809581,0.0038557221408248576,3,183508,DA
Cogen,DA15/ID15,Midday,5.1725987484702,0.5049666251104462,0.4656944497497231,0.03897141316716664,3,243298,DA
Cogen,DA60/ID15 post-blk,Critical,3.709052617224108,0.35396381738544624,0.3259893461370787,0.05477333742701235,6,284601,DA
Cogen,DA60/ID15 post-blk,Dropped,4.855669102832321,0.4591538553351895,0.4239595299842671,0.06171121092547219,6,155267,DA
Cogen,DA60/ID15 post-blk,Flat,3.7296308257956823,0.33946669955281655,0.30572765640206195,0.0006687371325993277,6,75411,DA
Cogen,DA60/ID15 post-blk,Midday,8.240253627746513,0.7732745179677316,0.7237389214558064,0.18115692220209623,6,99204,DA
Cogen,DA60/ID15 pre-blk,Critical,5.886343588049879,0.5548972016590066,0.521071949106831,0.10021874186520265,2,68368,DA
Cogen,DA60/ID15 pre-blk,Dropped,7.5658817850318485,0.7127457878619723,0.671433800918072,0.13057235543084617,2,37037,DA
Cogen,DA60/ID15 pre-blk,Flat,8.012800733164113,0.713284378631851,0.6636106983368892,0.0012749191958322974,2,17380,DA
Cogen,DA60/ID15 pre-blk,Midday,9.625874100522834,0.9026319619415648,0.8622838616551542,0.43266002967521666,2,24743,DA
Cogen,ISP15-win,Critical,1.1028425426612907,0.11262752498207289,0.09892859030338595,0.0008137858032222307,4,201360,DA
Cogen,ISP15-win,Dropped,1.7966698307471118,0.17948717897887706,0.16006791301627027,0.003759247202867708,4,109505,DA
Cogen,ISP15-win,Flat,1.803764203035908,0.18060690794352863,0.15665427563891682,0.0010846881136851506,4,51837,DA
Cogen,ISP15-win,Midday,3.236851313498504,0.31944004855112396,0.2936137535069352,0.027080401865630724,4,73123,DA
Fuel/Gas,DA15/ID15,Critical,93.58548387096774,1.0767921146953405,0.14952753339850114,0.016373411534701857,3,4048,DA
Fuel/Gas,DA15/ID15,Dropped,82.46931618525547,0.5247589749487283,0.29889174796670054,0.0,3,2212,DA
Fuel/Gas,DA15/ID15,Flat,56.87505973715651,0.2631720430107527,0.2461469534050179,0.0,3,1104,DA
Fuel/Gas,DA15/ID15,Midday,134.26456093189964,0.6294578853046595,0.5703181003584229,0.0,3,1472,DA
Fuel/Gas,DA60/ID15 post-blk,Critical,74.85526038372338,0.5229199010982692,0.24063596112931976,0.0,3,858,DA
Fuel/Gas,DA60/ID15 post-blk,Dropped,86.17172675521822,0.37825216107948556,0.36570735821210204,0.0,3,468,DA
Fuel/Gas,DA60/ID15 post-blk,Flat,25.52189191088622,0.10760418862885657,0.10760418862885657,0.0,3,234,DA
Fuel/Gas,DA60/ID15 post-blk,Midday,196.9462365591398,0.8379032258064516,0.8379032258064516,0.0,3,312,DA
Hydro,3-sess,Critical,97.83193174951312,1.523256532025855,0.13909759929785628,0.9726194724250662,6,90586,DA
Hydro,3-sess,Dropped,92.44795660581708,1.441414197040549,0.17069839162077094,0.9014974569402928,6,49580,DA
Hydro,3-sess,Flat,104.07425010897161,1.5450626350781274,0.1181261099223632,1.3710958124964403,6,24764,DA
Hydro,3-sess,Midday,60.11536404739721,1.0638634856620282,0.3105834029023584,0.28193862945824333,6,33391,DA
Hydro,DA15/ID15,Critical,116.03693021402363,1.5829131896556419,0.1299131658123118,1.4850412356887377,3,184278,DA
Hydro,DA15/ID15,Dropped,104.76359774527576,1.4848100251337673,0.19574375846010159,1.0964104779970698,3,100506,DA
Hydro,DA15/ID15,Flat,107.00832057501798,1.5248823170786918,0.17310818049407442,1.1586549463452906,3,50070,DA
Hydro,DA15/ID15,Midday,76.30647499025439,1.237648396017496,0.3376648013589516,0.43402149706161236,3,66666,DA
Hydro,DA60/ID15 post-blk,Critical,118.14035640755804,1.737819109819292,0.24965798735325814,1.1426202039003475,6,77006,DA
Hydro,DA60/ID15 post-blk,Dropped,116.93052691149897,1.7440928818480825,0.31225475765606675,1.037706759816815,6,41833,DA
Hydro,DA60/ID15 post-blk,Flat,138.469083530968,1.9527391997780537,0.22773559093708454,1.3370563183668347,6,21235,DA
Hydro,DA60/ID15 post-blk,Midday,72.01367221901602,1.3076003227352677,0.4873889988642208,0.6837775426066491,6,27127,DA
Hydro,DA60/ID15 pre-blk,Critical,133.30139477032367,1.9236811665671651,0.3788255013927337,1.3980225713829784,2,20397,DA
Hydro,DA60/ID15 pre-blk,Dropped,146.46744578509126,2.1326074770210894,0.4646804648319314,1.6136275634983626,2,11170,DA
Hydro,DA60/ID15 pre-blk,Flat,159.3433776519364,2.241188641896307,0.4622883895925169,1.117855263589036,2,5705,DA
Hydro,DA60/ID15 pre-blk,Midday,124.82623849130525,1.9751694000149924,0.53647486725295,2.9809231076727802,2,7379,DA
Hydro,ISP15-win,Critical,102.29541957765551,1.422611211065968,0.10306171001672984,1.00113564447645,4,64489,DA
