regime,full_sample,apr_sep_only,ratio_apr_sep_to_full,pct_change_vs_full
pre-IDA,5929.685552137484,6046.237841296915,1.0196557284757566,1.9655728475756558
3-sess,3537.089705882355,3524.222706422018,0.9963622637449826,-0.36377362550173664
ISP15-win,3053.8655092592603,,,
DA60/ID15,2887.747756410257,2929.155013736267,1.0143389453715594,1.433894537155945
DA15/ID15,3968.680970982139,,,
