regime,mean,median,std,count,sem,ci_lo,ci_hi
pre-IDA,5929.685552137484,4198.9,7192.641047811745,9427,74.08011257196296,5784.488531496436,6074.8825727785315
3-sess,3537.089705882355,2853.1,3574.592151721046,680,137.07935148893148,3268.414176964049,3805.7652348006604
ISP15-win,3053.8655092592603,2621.25,3640.2366823551474,432,175.1409690393079,2710.5892099422167,3397.141808576304
DA60/ID15,2887.747756410257,1937.987499999998,3779.880981989623,780,135.34144966507733,2622.4785150667053,3153.0169977538085
DA15/ID15,3968.680970982139,3181.3499999999995,4319.117510515785,448,204.05912171587804,3568.725092419018,4368.63684954526
