firm,pre-IDA,3-sess,ISP15-win,DA60/ID15,DA15/ID15
GE,2974.810780984724,2969.3982352941175,2131.8138888888893,2458.5594871794888,3019.2154017857133
IB,6370.851972846837,4058.3847058823526,2430.0305555555556,2331.255897435897,3328.494419642859
GN,12161.135596096727,5382.324705882353,5621.367592592595,5261.686923076928,7262.176785714284
HC,2210.6901994060217,1738.2511764705894,2032.250000000001,1499.4887179487189,2264.8372767857136
