regime,mean,median,std,count,sem,ci_lo,ci_hi
pre-IDA,6046.237841296915,4305.650000000003,7482.207220485487,4688,109.27880327491395,5832.051386878084,6260.424295715746
3-sess,3524.222706422018,2671.0999999999995,3690.237095122597,436,176.73030442032848,3177.831309758174,3870.6141030858616
DA60/ID15,2929.155013736267,1987.9875000000002,3808.8490418203487,728,141.16533747573118,2652.470952283834,3205.8390751887
