regime,Big-4,Fringe,gap_b4_minus_fringe
pre-IDA,249.4484191690002,-287.19986487527774,536.648284044278
3-sess,158.11339731790696,-200.5563785659865,358.66977588389346
ISP15-win,132.0326160928742,-160.85237454594372,292.88499063881795
DA60/ID15,123.22573718474737,-221.71760258602268,344.9433397707701
DA15/ID15,167.8120882491742,-289.7634708063022,457.57555905547645
